LABORATORY,FSRI 
TEST IDENT,PTDB_HF50_R2
OPERATOR,Marino
MATERIAL,Pressure Treated Deck Board
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04018017277121544
SPEC HOLDER DIFF,-566
SPECIMEN MASS,127.7699966430664
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,4354
TIME TO IGN,31
END OF TEST SCAN,3874
END OF TEST TIME,968.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.59 x 102.22 x 19.41 mm; with tie wires
POST TEST CMT,"Sample fractured, charred, and reduced in surface area."
