,Surface Area (mm^2),Pretest,Posttest
HF25_R1,10356.77,Dimensions: 101.17 x 102.37 x 2.32 mm, 
HF25_R2,10272.81,Dimensions: 101.51 x 101.20 x 2.35 mm, 
HF25_R3,10283.58,Dimensions: 100.77 x 102.05 x 2.32 mm , 
HF50_R1,10107.68,Dimensions: 99.76 x 101.32 x 2.32 mm, 
HF50_R2,10079.14,Dimensions: 100.27 x 100.52 x 2.32 mm, 
HF50_R3,10063.73,Dimensions: 99.71 x 100.93 x 2.32 mm, 
HF75_R1,10301.23,Dimensions: 101.46 x 101.53 x 2.29 mm, 
HF75_R2,10288.00,Dimensions: 101.64 x 101.22 x 2.18 mm, 
HF75_R3,10285.84,Dimensions: 101.84 x 101.00 x 2.30 mm, 
