##Temp./°C,Time/min,Mass loss(subtr.)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
81.799,14.57202,-0.04100282,0.3328,
81.899,14.58218,-0.04186972,0.33306,
81.999,14.59246,-0.0417675,0.3335,
82.099,14.60274,-0.04179639,0.33292,
82.199,14.61292,-0.04178827,0.3345,
82.299,14.62313,-0.04179041,0.33381,
82.399,14.63332,-0.04179014,0.33359,
82.499,14.64351,-0.04178898,0.33471,
82.599,14.65376,-0.04179419,0.335,
82.699,14.66392,-0.0417735,0.33558,
82.799,14.67407,-0.04185318,0.33628,
82.899,14.68429,-0.04149291,0.33521,
82.999,14.69453,-0.04117679,0.33558,
83.099,14.70473,-0.04166747,0.33518,
83.199,14.71492,-0.0418092,0.3354,
83.299,14.72516,-0.04178506,0.33711,
83.399,14.73531,-0.04179085,0.3378,
83.499,14.74541,-0.04179153,0.33704,
83.599,14.75551,-0.04178304,0.33625,
83.699,14.76562,-0.0418164,0.33709,
83.799,14.77587,-0.04169292,0.33565,
83.899,14.78627,-0.04239328,0.33642,
83.999,14.79643,-0.04307892,0.33487,
84.099,14.80655,-0.04311406,0.33606,
84.199,14.81672,-0.04310896,0.33686,
84.299,14.82689,-0.04311026,0.3374,
84.399,14.8371,-0.04310994,0.3378,
84.499,14.84731,-0.04311002,0.33697,
84.599,14.85744,-0.04311,0.33875,
84.699,14.86767,-0.04311,0.3375,
84.799,14.87783,-0.04311,0.33708,
84.899,14.88801,-0.04311,0.33864,
84.999,14.89815,-0.04311,0.33871,
85.099,14.90827,-0.04310999,0.33725,
85.199,14.91848,-0.04311003,0.3374,
85.299,14.92859,-0.04310989,0.33937,
85.399,14.93871,-0.04311037,0.34033,
85.499,14.94886,-0.04310874,0.34019,
85.599,14.959,-0.04311424,0.34035,
85.699,14.96915,-0.04309618,0.34069,
85.799,14.9793,-0.04367594,0.34161,
85.899,14.98938,-0.0450304,0.34185,
85.999,14.99946,-0.0450912,0.34142,
86.099,15.00963,-0.04507798,0.33989,
86.199,15.01971,-0.04508042,0.34239,
86.299,15.02985,-0.04507994,0.34226,
86.399,15.0399,-0.04508001,0.34389,
86.499,15.04994,-0.04508,0.34232,
86.599,15.06002,-0.04508,0.34089,
86.699,15.0701,-0.04508,0.33915,
86.799,15.08006,-0.04508,0.34379,
86.899,15.09013,-0.04507999,0.3413,
86.999,15.10019,-0.04508003,0.34345,
87.099,15.11029,-0.04507982,0.34004,
87.199,15.12028,-0.04508065,0.34214,
87.299,15.13026,-0.04507775,0.34297,
87.399,15.14035,-0.04509144,0.34323,
87.499,15.15038,-0.04577161,0.34554,
87.599,15.16042,-0.04641196,0.34436,
87.699,15.17049,-0.04639632,0.34305,
87.799,15.18052,-0.04640105,0.34375,
87.899,15.19061,-0.04639966,0.34297,
87.999,15.20065,-0.04640015,0.34442,
88.099,15.21066,-0.04639976,0.34108,
88.199,15.22067,-0.04640081,0.3433,
88.299,15.23071,-0.04639683,0.3442,
88.399,15.24071,-0.04641193,0.34323,
88.499,15.25075,-0.04635249,0.34186,
88.599,15.26076,-0.04536104,0.34224,
88.699,15.27081,-0.04508693,0.34375,
88.799,15.28086,-0.04509086,0.34216,
88.899,15.2909,-0.04508976,0.34203,
88.999,15.30093,-0.04509007,0.34539,
89.099,15.311,-0.04508998,0.3438,
89.199,15.32108,-0.04509001,0.34119,
89.299,15.33115,-0.04508999,0.3432,
89.399,15.34122,-0.04509003,0.34296,
89.499,15.35122,-0.04508989,0.34469,
89.599,15.3612,-0.0450904,0.34232,
89.699,15.37129,-0.04508838,0.34266,
89.799,15.38131,-0.04509693,0.34315,
89.899,15.39136,-0.04554688,0.34536,
89.999,15.40135,-0.04646484,0.34265,
90.099,15.41134,-0.04641319,0.34136,
90.199,15.42146,-0.04583758,0.34324,
90.299,15.43148,-0.0439633,0.34406,
90.399,15.44147,-0.04363671,0.34219,
90.499,15.4515,-0.04234449,0.34229,
90.599,15.4615,-0.04255307,0.34298,
90.699,15.47155,-0.04352867,0.34173,
90.799,15.48154,-0.04514296,0.34355,
90.899,15.49153,-0.04669638,0.34263,
90.999,15.50153,-0.04731069,0.34459,
91.099,15.5115,-0.04727389,0.34419,
91.199,15.52145,-0.04727438,0.34484,
91.299,15.5313,-0.04730551,0.34394,
91.399,15.54121,-0.04718981,0.343,
91.499,15.55115,-0.04623126,0.34038,
91.599,15.56111,-0.04630693,0.34144,
