##Temp./°C,Time/min,Mass loss(subtr.)/mg,DSC(subtr.2)/(mW/mg)
49.866,10.01,-0.06833,0.03956125
49.966,10.41547,-0.07003508,0.04491458
50.066,10.5162,-0.07068282,0.0492181
50.166,10.58445,-0.06883586,0.05582095
50.266,10.63942,-0.06907485,0.05884157
50.366,10.68591,-0.07116213,0.06435934
50.466,10.72783,-0.07122283,0.06883891
50.566,10.76483,-0.07276874,0.07465868
50.666,10.79868,-0.07285586,0.07735819
50.766,10.83051,-0.07246956,0.08117037
50.866,10.86022,-0.07249404,0.08564828
50.966,10.88886,-0.07286183,0.09061483
51.066,10.91552,-0.07256128,0.09467165
51.166,10.94094,-0.07173628,0.09877796
51.266,10.96571,-0.07157754,0.10193
51.366,10.98929,-0.072066,0.10561
51.466,11.01225,-0.07205427,0.10821
51.566,11.03451,-0.07220103,0.11119
51.666,11.05587,-0.0727208,0.11324
51.766,11.07691,-0.07301329,0.11723
51.866,11.09688,-0.07415327,0.12024
51.966,11.11666,-0.07427029,0.12255
52.066,11.136,-0.07384786,0.12698
52.166,11.15509,-0.07423102,0.12837
52.266,11.17348,-0.07386762,0.13027
52.366,11.19158,-0.07275603,0.13242
52.466,11.20938,-0.07405462,0.13493
52.566,11.22699,-0.07342673,0.13874
52.666,11.24425,-0.07285304,0.14272
52.766,11.26124,-0.07148574,0.14303
52.866,11.27796,-0.06979008,0.14704
52.966,11.29441,-0.07125395,0.14832
53.066,11.31092,-0.07183576,0.15083
53.166,11.32706,-0.07331183,0.15258
53.266,11.34309,-0.07288299,0.15645
53.366,11.35882,-0.07200247,0.15772
53.466,11.3743,-0.071811,0.16003
53.566,11.38996,-0.071412,0.16112
53.666,11.40528,-0.07228325,0.16396
53.766,11.42047,-0.07384078,0.16486
53.866,11.43544,-0.07517265,0.16727
53.966,11.45025,-0.07567142,0.16726
54.066,11.4647,-0.07610994,0.17035
54.166,11.47912,-0.07585679,0.17065
54.266,11.49369,-0.0759249,0.17206
54.366,11.50798,-0.07617241,0.17468
54.466,11.52218,-0.07565718,0.17619
54.566,11.53622,-0.07547234,0.17733
54.666,11.55011,-0.07535764,0.17809
54.766,11.56401,-0.07511264,0.17982
54.866,11.57771,-0.07537048,0.18421
54.966,11.59143,-0.07535261,0.18209
55.066,11.60498,-0.07534294,0.18571
55.166,11.61858,-0.07557394,0.18787
55.266,11.63187,-0.07618084,0.18909
55.366,11.64523,-0.07491795,0.19046
55.466,11.65856,-0.07451188,0.18925
55.566,11.67181,-0.07399485,0.19259
55.666,11.68526,-0.07465393,0.19267
55.766,11.69814,-0.07341948,0.1945
55.866,11.71105,-0.07469689,0.19671
55.966,11.72396,-0.07481837,0.1985
56.066,11.73675,-0.07421993,0.19732
56.166,11.74966,-0.07522082,0.19853
56.266,11.76247,-0.07522687,0.19914
56.366,11.77518,-0.07616983,0.2024
56.466,11.78793,-0.07561043,0.20453
56.566,11.80057,-0.07541869,0.20338
56.666,11.81316,-0.07642548,0.20509
56.766,11.8256,-0.07559676,0.206
56.866,11.8381,-0.07537968,0.20712
56.966,11.85052,-0.07611209,0.20913
57.066,11.86285,-0.07525243,0.20826
57.166,11.87515,-0.07542215,0.21033
57.266,11.88744,-0.07654287,0.21204
57.366,11.89966,-0.07571436,0.21223
57.466,11.91199,-0.07534982,0.21544
57.566,11.92407,-0.07534705,0.21533
57.666,11.93628,-0.07544584,0.21551
57.766,11.94839,-0.0765897,0.21684
57.866,11.96035,-0.0759756,0.21655
57.966,11.97235,-0.07532192,0.21949
58.066,11.98445,-0.07622064,0.22089
58.166,11.99634,-0.07710227,0.22157
58.266,12.00818,-0.07598115,0.22126
58.366,12.02002,-0.07667209,0.22215
