Time after Ignition,Nylon_Carpet_High_Pile_R1,Nylon_Carpet_High_Pile_R2,Nylon_Carpet_High_Pile_R3,Mean,Std. Dev.
0.0,24.3,10.4,7.5,14.1,9.0
0.25,30.7,13.7,9.0,17.8,11.4
0.5,36.4,16.0,10.0,20.8,13.8
0.75,41.9,24.7,15.1,27.2,13.5
1.0,52.3,33.2,19.6,35.0,16.4
1.25,61.0,41.0,23.1,41.7,19.0
1.5,67.1,47.5,26.7,47.1,20.2
1.75,75.3,53.1,34.5,54.3,20.4
2.0,87.6,62.4,41.2,63.7,23.2
2.25,96.9,69.9,47.0,71.3,25.0
2.5,107.2,78.2,51.6,79.0,27.8
2.75,117.6,83.5,63.5,88.2,27.4
3.0,127.6,92.2,71.3,97.0,28.4
3.25,124.8,100.9,81.6,102.4,21.6
3.5,136.0,108.8,89.1,111.3,23.6
3.75,145.8,115.8,97.4,119.7,24.4
4.0,149.6,122.8,106.1,126.1,21.9
4.25,161.4,126.3,114.3,134.0,24.5
4.5,169.4,133.3,123.4,142.0,24.2
4.75,174.9,141.0,130.7,148.9,23.1
5.0,177.5,147.8,139.9,155.1,19.8
5.25,186.7,151.2,149.4,162.4,21.0
5.5,190.4,160.2,148.2,166.3,21.7
5.75,198.0,164.8,168.9,177.3,18.1
6.0,201.4,170.0,174.8,182.1,16.9
6.25,202.6,180.4,177.0,186.7,13.9
6.5,207.1,184.8,189.7,193.9,11.7
6.75,212.1,185.5,188.6,195.4,14.5
7.0,218.6,196.1,207.3,207.3,11.2
7.25,226.6,194.4,219.1,213.4,16.9
7.5,226.4,201.1,206.7,211.4,13.3
7.75,228.9,203.8,219.8,217.5,12.7
8.0,235.1,213.1,230.4,226.2,11.6
8.25,233.3,217.9,237.5,229.6,10.3
8.5,239.8,227.1,251.9,239.6,12.4
8.75,240.4,225.4,249.5,238.4,12.2
9.0,241.1,236.4,261.5,246.3,13.4
9.25,250.8,233.2,268.4,250.8,17.6
9.5,253.7,243.0,273.0,256.6,15.2
9.75,250.0,245.8,282.3,259.4,20.0
10.0,255.5,252.5,290.3,266.1,21.0
10.25,257.5,251.5,298.0,269.0,25.3
10.5,262.7,253.6,302.2,272.8,25.9
10.75,266.2,264.8,311.8,280.9,26.8
11.0,270.8,267.4,313.0,283.7,25.4
11.25,264.7,269.5,316.0,283.4,28.3
11.5,269.6,272.7,326.6,289.7,32.1
11.75,275.0,274.0,331.7,293.6,33.0
12.0,271.8,279.2,332.2,294.4,32.9
12.25,275.8,276.7,342.7,298.4,38.4
12.5,278.2,281.5,341.6,300.4,35.6
12.75,280.7,289.3,356.1,308.7,41.3
13.0,288.2,292.0,353.3,311.1,36.5
13.25,284.5,298.5,356.1,313.0,37.9
13.5,284.9,299.7,357.7,314.1,38.5
13.75,298.3,297.6,357.3,317.7,34.2
14.0,294.7,295.1,366.2,318.7,41.2
14.25,298.0,303.2,367.0,322.7,38.4
14.5,292.0,304.5,364.1,320.2,38.5
14.75,297.3,311.3,366.7,325.1,36.7
15.0,299.3,310.8,374.4,328.2,40.5
15.25,298.1,324.4,372.9,331.8,37.9
15.5,306.2,326.9,379.0,337.3,37.5
15.75,310.7,323.5,381.9,338.7,37.9
16.0,307.2,339.1,397.1,347.8,45.6
16.25,309.4,329.7,395.3,344.8,44.9
16.5,315.7,330.2,390.1,345.4,39.4
16.75,315.9,336.4,398.2,350.1,42.8
17.0,312.3,340.7,390.0,347.7,39.3
17.25,321.7,348.2,398.9,356.2,39.2
17.5,320.0,349.6,398.4,356.0,39.6
17.75,320.3,356.2,391.9,356.1,35.8
18.0,315.8,357.7,396.9,356.8,40.5
18.25,323.1,360.1,399.6,360.9,38.3
18.5,328.3,360.2,396.0,361.5,33.9
18.75,327.6,361.3,395.8,361.6,34.1
19.0,324.8,372.1,399.9,365.6,38.0
19.25,325.9,378.1,403.0,369.0,39.3
19.5,327.1,369.2,397.3,364.6,35.3
19.75,331.1,380.9,388.2,366.7,31.1
20.0,335.1,374.7,397.4,369.1,31.5
20.25,338.8,381.6,403.5,374.6,32.9
20.5,329.2,387.6,400.4,372.4,38.0
20.75,329.6,382.6,401.3,371.1,37.2
21.0,341.6,387.1,393.9,374.2,28.4
21.25,341.5,391.4,388.3,373.7,28.0
21.5,346.8,398.6,396.5,380.6,29.3
21.75,352.8,403.7,391.8,382.7,26.6
22.0,352.5,409.3,390.5,384.1,28.9
22.25,345.5,410.8,402.2,386.2,35.5
22.5,355.0,415.5,393.5,388.0,30.6
22.75,351.2,403.8,389.8,381.6,27.2
23.0,357.6,414.6,397.8,390.0,29.3
23.25,362.0,421.7,404.9,396.2,30.8
23.5,364.6,420.5,405.4,396.8,28.9
23.75,369.3,427.9,403.8,400.3,29.4
24.0,375.5,432.6,406.7,404.9,28.6
24.25,376.0,428.8,410.5,405.1,26.8
24.5,379.1,432.2,404.0,405.1,26.6
24.75,375.4,447.1,406.7,409.8,35.9
25.0,382.1,433.6,406.3,407.3,25.8
25.25,382.1,435.1,401.8,406.3,26.8
25.5,394.1,442.4,408.2,414.9,24.8
25.75,398.2,445.5,403.1,415.6,26.0
26.0,393.8,448.9,406.9,416.5,28.8
26.25,402.1,449.2,399.7,417.0,27.9
26.5,407.2,444.5,411.1,420.9,20.5
26.75,396.5,447.4,415.7,419.9,25.7
27.0,404.1,458.3,405.8,422.8,30.8
27.25,413.4,454.7,414.8,427.6,23.4
27.5,408.0,464.3,410.3,427.6,31.9
27.75,404.2,462.3,414.9,427.1,30.9
28.0,418.2,450.9,416.7,428.6,19.3
28.25,412.8,460.6,424.7,432.7,24.9
28.5,422.7,472.9,417.1,437.6,30.7
28.75,432.8,463.5,415.6,437.3,24.2
29.0,441.0,472.9,410.6,441.5,31.2
29.25,425.1,466.6,415.9,435.9,27.0
29.5,425.9,466.0,418.1,436.7,25.7
29.75,426.2,472.0,424.6,440.9,27.0
30.0,436.5,471.2,426.9,444.9,23.3
30.25,435.4,465.8,419.0,440.1,23.7
30.5,446.6,474.9,433.4,451.6,21.2
30.75,432.5,461.5,427.9,440.7,18.2
31.0,442.4,478.2,429.3,449.9,25.3
31.25,447.2,480.9,431.2,453.1,25.4
31.5,442.0,476.9,432.9,450.6,23.2
31.75,453.6,465.8,447.6,455.6,9.3
32.0,441.2,480.3,444.7,455.4,21.7
32.25,450.6,486.1,431.8,456.2,27.6
32.5,458.2,499.9,436.6,464.9,32.2
32.75,450.3,499.3,438.5,462.7,32.3
33.0,470.7,470.0,442.3,461.0,16.2
33.25,458.5,484.6,442.3,461.8,21.3
33.5,450.9,483.2,445.0,459.7,20.5
33.75,448.0,482.5,460.2,463.6,17.5
34.0,465.0,484.8,438.8,462.9,23.1
34.25,453.8,476.2,446.2,458.7,15.6
34.5,461.0,474.9,447.0,461.0,14.0
34.75,464.6,487.6,438.6,463.6,24.5
35.0,457.1,485.3,444.9,462.4,20.8
35.25,459.9,487.2,447.8,465.0,20.2
35.5,459.7,497.5,439.4,465.5,29.5
35.75,464.6,480.9,452.2,465.9,14.4
36.0,467.7,487.5,449.4,468.2,19.1
36.25,476.3,489.0,458.8,474.7,15.1
36.5,483.0,494.3,456.3,477.9,19.5
36.75,460.4,493.3,448.3,467.3,23.3
37.0,483.1,498.9,439.3,473.8,30.9
37.25,482.2,501.1,450.9,478.1,25.4
37.5,485.6,488.4,443.1,472.3,25.4
37.75,478.8,493.9,458.1,476.9,17.9
38.0,498.0,500.2,458.9,485.7,23.2
38.25,489.1,497.6,441.4,476.0,30.3
38.5,481.1,501.4,458.9,480.5,21.3
38.75,488.5,483.5,454.8,475.6,18.2
39.0,482.4,508.2,449.0,479.9,29.7
39.25,480.8,511.6,460.5,484.3,25.7
39.5,476.7,507.8,451.2,478.5,28.4
39.75,487.9,504.8,461.8,484.9,21.6
40.0,498.4,494.5,459.5,484.1,21.4
40.25,482.3,506.1,459.7,482.7,23.2
40.5,486.3,498.7,451.3,478.8,24.6
40.75,500.7,502.5,475.0,492.7,15.4
41.0,499.5,499.1,460.2,486.3,22.6
41.25,489.2,495.4,446.8,477.1,26.5
41.5,494.3,508.4,461.4,488.1,24.1
41.75,504.6,506.3,462.1,491.0,25.0
42.0,493.1,495.9,458.6,482.5,20.8
42.25,485.6,492.3,453.9,477.3,20.5
42.5,494.9,494.4,457.4,482.2,21.5
42.75,487.2,512.9,461.8,487.3,25.5
43.0,508.8,513.3,476.8,499.6,19.9
43.25,496.5,521.3,457.3,491.7,32.3
43.5,517.9,514.8,458.9,497.2,33.2
43.75,505.4,513.6,473.5,497.5,21.2
44.0,510.9,506.3,464.5,493.9,25.6
44.25,509.0,510.7,454.2,491.3,32.1
44.5,504.9,516.7,464.3,495.3,27.5
44.75,492.0,522.6,462.7,492.4,29.9
45.0,512.3,531.8,453.3,499.2,40.9
45.25,516.3,524.1,460.0,500.1,35.0
45.5,513.3,515.6,458.7,495.8,32.2
45.75,512.2,520.0,466.0,499.4,29.2
46.0,515.0,514.2,465.0,498.1,28.6
46.25,508.8,513.0,456.5,492.8,31.5
46.5,512.2,521.6,462.6,498.8,31.7
46.75,534.5,524.5,463.7,507.5,38.3
47.0,516.1,522.3,447.7,495.4,41.4
47.25,510.1,535.1,464.9,503.4,35.6
47.5,518.6,537.0,452.4,502.7,44.5
47.75,519.4,527.2,461.3,502.6,36.0
48.0,517.6,526.4,455.7,499.9,38.5
48.25,528.4,534.8,453.3,505.5,45.3
48.5,517.3,540.1,452.0,503.1,45.7
48.75,520.1,535.8,458.7,504.9,40.8
49.0,522.7,542.2,456.6,507.1,44.9
49.25,511.4,543.3,447.9,500.9,48.6
49.5,528.7,540.8,452.6,507.4,47.8
49.75,511.8,528.1,450.0,496.6,41.2
50.0,527.5,542.9,447.8,506.1,51.1
50.25,519.0,549.8,451.3,506.7,50.4
50.5,523.6,535.6,454.2,504.5,44.0
50.75,520.5,547.6,441.0,503.0,55.4
51.0,514.4,540.8,443.1,499.4,50.5
51.25,510.0,528.8,437.3,492.0,48.3
51.5,516.3,543.2,430.0,496.5,59.1
51.75,510.1,525.0,431.7,488.9,50.1
52.0,514.2,541.2,433.7,496.4,55.9
52.25,516.7,541.2,428.6,495.5,59.2
52.5,516.5,536.8,430.7,494.7,56.3
52.75,525.5,540.5,439.7,501.9,54.4
53.0,518.5,534.0,419.8,490.8,61.9
53.25,516.6,537.2,430.0,494.6,56.9
53.5,506.6,535.2,422.6,488.1,58.5
53.75,519.2,537.7,424.7,493.9,60.6
54.0,499.8,534.4,428.1,487.4,54.2
54.25,505.8,532.9,428.5,489.0,54.2
54.5,525.2,523.0,426.8,491.6,56.2
54.75,517.2,530.1,422.9,490.1,58.6
55.0,522.0,534.2,425.6,493.9,59.5
55.25,501.4,526.6,421.4,483.1,55.0
55.5,501.4,523.1,418.9,481.1,55.0
55.75,514.6,530.1,416.5,487.1,61.6
56.0,506.7,531.2,415.0,484.3,61.3
56.25,512.7,515.7,415.6,481.4,56.9
56.5,505.3,537.7,416.0,486.3,63.0
56.75,499.4,512.3,415.3,475.7,52.7
57.0,510.4,520.5,416.8,482.6,57.2
57.25,505.0,523.1,409.0,479.0,61.3
57.5,489.5,520.2,409.1,473.0,57.4
57.75,498.0,519.6,410.1,475.9,58.0
58.0,500.0,521.4,411.8,477.7,58.1
58.25,516.9,511.8,412.2,480.3,59.0
58.5,490.5,522.1,408.4,473.7,58.7
58.75,493.7,503.9,398.1,465.2,58.3
59.0,503.5,504.8,407.8,472.0,55.6
59.25,507.5,510.8,398.0,472.1,64.2
59.5,505.4,499.9,404.3,469.8,56.8
59.75,501.0,498.6,401.0,466.9,57.0
60.0,510.5,507.7,403.4,473.9,61.0
60.25,505.7,497.7,390.2,464.5,64.5
60.5,509.2,493.7,399.9,467.6,59.2
60.75,499.2,496.8,388.5,461.5,63.2
61.0,494.1,500.2,394.4,462.9,59.4
61.25,485.4,500.5,396.9,460.9,56.0
61.5,494.6,489.7,396.9,460.4,55.0
61.75,482.6,491.9,393.6,456.1,54.3
62.0,489.1,489.6,393.6,457.4,55.3
62.25,485.5,485.6,384.9,452.0,58.1
62.5,492.2,477.7,391.4,453.8,54.5
62.75,483.4,490.3,381.2,451.6,61.1
63.0,483.2,482.3,384.4,450.0,56.8
63.25,496.3,476.0,379.6,450.6,62.4
63.5,492.1,478.1,377.7,449.3,62.4
63.75,473.5,465.0,386.9,441.8,47.7
64.0,477.8,458.5,374.5,436.9,55.0
64.25,474.9,462.4,388.5,442.0,46.7
64.5,482.1,469.3,378.0,443.1,56.8
64.75,476.1,463.1,382.7,440.6,50.6
