Names,Nylon_Carpet_High_Pile_R1,Nylon_Carpet_High_Pile_R2,Nylon_Carpet_High_Pile_R3,Mean,Std. Dev.
698,149.2,124.3,126.8,133.4,13.7
699,151.6,125.3,123.3,133.4,15.8
700,148.6,123.7,123.3,131.8,14.5
701,147.4,123.4,123.9,131.6,13.7
702,147.0,123.7,122.4,131.0,13.9
703,144.5,124.0,121.1,129.9,12.8
704,146.3,122.9,122.1,130.4,13.8
705,146.5,123.0,120.8,130.1,14.3
706,145.8,122.2,121.3,129.7,13.9
707,143.3,122.2,120.8,128.8,12.6
708,145.8,121.1,119.3,128.7,14.8
709,145.6,120.6,119.3,128.5,14.8
710,146.2,118.5,120.3,128.3,15.5
711,143.7,119.1,118.2,127.0,14.4
712,145.4,119.9,118.6,127.9,15.1
713,142.9,120.5,118.8,127.4,13.4
714,142.6,118.7,119.3,126.9,13.7
715,145.7,120.3,116.8,127.6,15.8
716,142.2,119.7,116.9,126.3,13.8
717,142.3,117.0,120.8,126.7,13.6
718,141.0,118.7,116.8,125.5,13.5
719,143.5,117.7,114.7,125.3,15.8
720,145.2,119.9,115.3,126.8,16.1
721,139.7,117.0,114.8,123.9,13.8
722,140.0,117.1,113.3,123.4,14.4
723,140.7,118.9,113.4,124.3,14.4
724,141.3,116.6,113.6,123.8,15.2
725,139.6,117.2,113.2,123.4,14.2
726,140.3,116.5,111.1,122.6,15.5
727,142.5,116.3,110.5,123.1,17.1
728,141.3,116.3,109.7,122.4,16.7
729,140.2,116.4,109.2,122.0,16.2
730,141.2,116.3,108.2,121.9,17.2
731,137.6,117.0,106.1,120.2,16.0
732,138.5,116.9,106.9,120.8,16.1
733,136.3,116.8,106.2,119.8,15.3
734,137.4,115.7,106.1,119.7,16.0
735,135.0,115.2,104.8,118.3,15.4
736,133.9,114.5,103.7,117.4,15.3
737,135.3,116.5,101.0,117.6,17.2
738,135.3,113.1,101.3,116.6,17.2
739,134.9,115.3,100.5,116.9,17.3
740,134.8,115.1,99.8,116.6,17.5
741,133.6,114.8,97.1,115.1,18.3
742,133.3,114.5,97.2,115.0,18.1
743,132.7,114.0,94.8,113.8,18.9
744,131.1,115.6,93.5,113.4,18.9
745,132.4,114.0,92.7,113.0,19.9
746,130.1,113.8,90.6,111.5,19.9
747,131.2,112.1,88.9,110.7,21.2
748,129.4,114.1,88.0,110.5,20.9
749,127.6,113.1,87.1,109.3,20.5
750,129.7,111.8,85.6,109.0,22.2
751,127.5,112.3,82.5,107.4,22.9
752,126.6,113.1,79.9,106.6,24.0
753,125.9,112.0,80.7,106.2,23.1
754,125.8,112.3,77.2,105.1,25.1
755,124.1,112.3,76.8,104.4,24.6
756,123.1,111.7,73.0,102.6,26.3
757,122.6,112.9,71.6,102.4,27.1
758,120.2,111.0,70.5,100.6,26.4
759,118.6,110.6,67.8,99.0,27.3
760,117.8,111.8,65.9,98.5,28.4
761,118.3,110.9,63.1,97.5,29.9
762,117.3,109.7,62.1,96.4,29.9
763,116.6,111.4,59.3,95.8,31.6
764,115.7,111.2,57.6,94.8,32.3
765,113.2,110.0,56.8,93.3,31.7
766,112.3,109.2,54.8,92.1,32.3
767,112.4,109.8,52.9,91.7,33.6
768,112.7,109.2,51.8,91.2,34.2
769,110.1,107.2,50.1,89.1,33.8
770,111.4,107.1,48.8,89.1,35.0
771,109.2,107.8,47.5,88.2,35.2
772,107.9,109.3,46.2,87.8,36.1
773,107.6,105.6,45.1,86.1,35.5
774,105.4,106.6,42.8,84.9,36.5
775,105.4,107.5,42.5,85.1,36.9
776,103.8,106.8,40.3,83.6,37.6
777,103.0,104.2,,103.6,0.9
778,103.6,104.8,,104.2,0.9
779,100.8,107.5,,104.1,4.7
780,99.1,105.9,,102.5,4.8
781,98.2,105.2,,101.7,5.0
782,97.2,104.2,,100.7,4.9
783,93.9,103.1,,98.5,6.5
784,91.8,104.7,,98.3,9.1
785,90.8,102.3,,96.6,8.2
786,89.3,102.9,,96.1,9.6
787,88.2,101.6,,94.9,9.5
788,85.7,102.0,,93.8,11.5
789,82.2,101.7,,92.0,13.8
790,80.9,99.3,,90.1,13.0
791,78.6,98.8,,88.7,14.3
792,76.8,99.5,,88.1,16.1
793,75.2,98.3,,86.8,16.3
794,73.5,98.4,,86.0,17.6
795,72.0,96.8,,84.4,17.5
796,70.2,97.0,,83.6,19.0
797,66.9,96.1,,81.5,20.7
798,65.1,96.4,,80.8,22.1
799,65.2,96.7,,80.9,22.2
800,62.8,96.0,,79.4,23.5
801,62.3,93.9,,78.1,22.3
802,59.5,93.7,,76.6,24.2
803,57.5,94.0,,75.7,25.8
804,55.7,92.5,,74.1,26.1
805,54.5,91.9,,73.2,26.4
806,51.5,92.7,,72.1,29.1
807,49.9,91.9,,70.9,29.7
808,47.2,90.6,,68.9,30.6
809,46.3,90.3,,68.3,31.1
810,44.7,89.8,,67.2,31.9
811,43.2,88.8,,66.0,32.3
812,41.2,88.7,,65.0,33.6
