Names,Nylon_Carpet_High_Pile_R1,Nylon_Carpet_High_Pile_R2,Nylon_Carpet_High_Pile_R3,Mean,Std. Dev.
221,797.7,672.8,765.9,745.5,64.9
222,765.1,660.0,784.3,736.4,66.9
223,810.0,680.7,781.3,757.4,67.9
224,776.8,685.8,768.5,743.7,50.3
225,810.0,676.1,736.4,740.8,67.1
226,783.4,677.4,774.2,745.0,58.7
227,793.5,693.6,754.2,747.1,50.4
228,791.9,671.7,756.1,739.9,61.7
229,786.0,687.8,758.1,744.0,50.6
230,797.2,699.7,729.7,742.2,49.9
231,786.2,695.1,736.6,739.3,45.6
232,799.7,681.4,719.3,733.5,60.4
233,795.6,657.2,718.1,723.6,69.4
234,808.7,691.3,721.4,740.5,61.0
235,802.7,693.1,732.6,742.8,55.5
236,801.9,685.7,721.8,736.5,59.5
237,784.9,695.1,708.2,729.4,48.5
238,783.3,684.2,719.4,729.0,50.3
239,787.7,684.7,710.3,727.6,53.6
240,785.1,714.4,708.3,735.9,42.7
241,797.6,687.4,684.4,723.1,64.5
242,792.7,686.4,707.8,729.0,56.2
243,772.2,696.3,700.0,722.8,42.8
244,787.5,696.4,731.8,738.6,45.9
245,773.5,703.3,707.0,727.9,39.5
246,774.0,695.8,696.3,722.0,45.0
247,761.3,686.7,711.8,719.9,38.0
248,786.4,717.6,704.7,736.3,43.9
249,752.7,696.9,695.9,715.1,32.5
250,771.8,715.6,682.3,723.2,45.2
251,741.5,692.5,703.4,712.5,25.8
252,781.9,702.4,697.7,727.3,47.3
253,755.8,717.4,680.0,717.8,37.9
254,736.4,672.3,713.7,707.5,32.5
255,743.2,677.9,692.4,704.5,34.3
256,736.2,714.4,691.5,714.0,22.3
257,743.3,682.1,703.0,709.5,31.1
258,731.8,712.8,704.6,716.4,14.0
259,735.1,702.0,687.8,708.3,24.3
260,748.0,698.6,697.5,714.7,28.8
261,737.3,699.9,678.9,705.4,29.6
262,751.9,701.8,690.2,714.6,32.8
263,744.7,706.5,690.1,713.8,28.0
264,745.9,720.1,667.1,711.0,40.2
265,733.8,701.2,686.4,707.1,24.3
266,725.3,694.1,693.0,704.1,18.3
267,729.9,705.0,677.4,704.1,26.3
268,715.4,687.3,666.7,689.8,24.5
269,757.4,695.3,677.4,710.1,42.0
270,734.2,709.8,696.4,713.5,19.2
271,716.8,685.2,689.9,697.3,17.0
272,706.2,685.0,682.0,691.1,13.2
273,730.6,688.5,688.0,702.4,24.4
274,718.8,699.2,683.9,700.6,17.5
275,721.3,702.1,685.7,703.1,17.8
276,697.6,668.7,682.3,682.9,14.4
277,705.3,681.7,661.0,682.7,22.2
278,720.2,676.4,661.7,686.1,30.4
279,725.3,697.5,695.7,706.1,16.6
280,713.4,683.3,665.7,687.5,24.1
281,695.3,688.5,668.0,683.9,14.2
282,707.5,686.2,667.8,687.2,19.9
283,728.6,687.4,665.3,693.7,32.1
284,685.1,694.5,653.3,677.6,21.6
285,684.7,672.4,654.3,670.4,15.3
286,688.7,655.2,653.0,665.6,20.0
287,687.5,684.5,649.0,673.7,21.4
288,684.3,668.6,663.2,672.0,11.0
289,690.1,673.9,647.9,670.6,21.3
290,685.7,668.8,649.3,668.0,18.2
291,687.0,668.9,648.4,668.1,19.3
292,667.1,663.9,638.2,656.4,15.8
293,678.9,650.3,639.9,656.4,20.2
294,676.8,651.6,634.0,654.1,21.5
295,663.4,646.6,629.3,646.4,17.1
296,652.7,638.0,640.4,643.7,7.9
297,655.5,641.3,616.8,637.9,19.6
298,652.6,652.0,624.3,643.0,16.2
299,642.5,666.0,606.6,638.4,29.9
300,654.1,631.0,601.2,628.8,26.6
301,638.0,639.1,628.0,635.0,6.1
302,632.7,634.2,616.6,627.8,9.8
303,641.7,629.6,600.1,623.8,21.4
304,618.2,620.4,597.4,612.0,12.7
305,634.0,621.7,603.7,619.8,15.2
306,632.2,617.9,593.1,614.4,19.7
307,610.9,613.9,595.9,606.9,9.6
308,610.0,619.4,580.4,603.3,20.3
309,613.5,612.4,585.0,603.6,16.1
310,603.7,607.6,568.8,593.4,21.4
311,598.4,620.1,567.7,595.4,26.3
312,601.6,608.2,571.8,593.9,19.4
313,585.2,608.6,564.1,585.9,22.3
314,581.4,609.0,555.8,582.1,26.6
315,585.2,590.6,538.9,571.5,28.4
316,580.3,601.0,549.9,577.1,25.7
317,585.6,587.4,538.9,570.7,27.5
318,583.2,585.1,544.0,570.8,23.2
319,555.4,588.8,534.1,559.4,27.6
320,550.8,575.7,527.0,551.2,24.4
321,565.4,564.5,525.4,551.8,22.8
322,554.8,563.9,516.9,545.2,24.9
323,555.1,555.4,517.7,542.7,21.7
324,552.9,557.5,508.4,539.6,27.1
325,550.4,551.4,514.4,538.7,21.1
326,533.2,546.1,518.4,532.6,13.9
327,528.3,539.8,513.1,527.0,13.4
328,534.9,526.5,513.4,524.9,10.9
329,518.0,531.2,506.5,518.6,12.3
330,518.4,537.9,510.9,522.4,13.9
331,503.2,524.3,492.9,506.8,16.0
332,500.3,524.3,491.1,505.2,17.1
333,498.9,507.1,486.0,497.3,10.7
334,487.8,503.9,492.6,494.8,8.3
335,491.0,508.7,483.1,494.2,13.1
336,487.8,500.6,481.5,490.0,9.8
337,468.8,509.2,481.1,486.4,20.7
338,470.2,500.2,477.9,482.8,15.6
339,460.9,487.9,458.8,469.2,16.2
340,457.1,488.5,471.0,472.2,15.7
341,448.2,482.4,473.4,468.0,17.7
342,444.5,483.9,471.9,466.7,20.2
343,440.3,479.8,463.8,461.3,19.9
344,435.3,472.1,452.9,453.4,18.4
345,443.4,466.6,459.9,456.6,11.9
346,428.7,464.5,454.5,449.2,18.5
347,425.2,447.7,459.4,444.1,17.4
348,412.1,460.4,453.2,441.9,26.0
349,408.5,449.4,441.2,433.0,21.6
350,417.9,440.0,447.0,435.0,15.2
351,413.4,440.5,445.0,433.0,17.1
352,413.1,441.2,444.2,432.8,17.2
353,416.4,432.2,444.0,430.9,13.9
354,403.3,424.3,430.9,419.5,14.4
355,395.9,419.8,433.5,416.4,19.0
356,395.4,409.9,434.8,413.4,19.9
357,386.8,412.6,427.6,409.0,20.6
358,394.5,410.7,428.3,411.2,16.9
359,398.0,418.4,424.4,413.6,13.9
360,385.8,408.1,416.8,403.6,16.0
361,384.3,400.8,424.9,403.3,20.4
362,384.1,396.5,421.4,400.6,19.0
363,379.7,397.1,414.4,397.1,17.3
364,370.3,391.9,420.1,394.1,25.0
365,374.6,383.1,409.6,389.1,18.3
366,368.3,387.6,406.7,387.5,19.2
367,373.5,380.8,404.1,386.1,16.0
368,362.6,374.9,408.8,382.1,23.9
369,363.1,384.4,402.6,383.4,19.8
370,366.1,373.3,398.2,379.2,16.8
371,358.4,379.0,397.1,378.2,19.4
372,354.4,364.9,391.4,370.2,19.0
373,349.7,366.8,393.4,370.0,22.1
374,349.1,363.7,385.6,366.1,18.4
375,350.5,359.0,384.9,364.8,17.9
376,343.7,363.8,384.8,364.1,20.5
377,340.9,355.0,376.3,357.4,17.8
378,348.6,350.2,371.3,356.7,12.7
379,329.1,351.1,371.4,350.5,21.1
380,336.6,349.7,372.6,352.9,18.2
381,336.9,348.0,363.5,349.5,13.4
382,328.7,343.8,369.7,347.4,20.7
383,330.0,336.6,362.1,342.9,17.0
384,329.5,341.7,363.8,345.0,17.4
385,323.6,342.1,356.3,340.7,16.4
386,323.4,334.9,360.7,339.7,19.1
