Time after Ignition,Nylon_Carpet_High_Pile_R1,Nylon_Carpet_High_Pile_R2,Nylon_Carpet_High_Pile_R3,Mean,Std. Dev.
0.0,48.793845880348904,134.43836871290148,113.5896216626385,98.94061208529631,44.66196574269546
0.25,48.895959994136696,136.1791254529146,113.86201285461239,99.6456994338879,45.34496023356183
0.5,49.11446553581076,137.6995141328478,114.16403736621211,100.32600567829023,45.88513974569329
0.75,49.14995705048116,137.76148662066907,113.42575949086664,100.11240105400562,45.78138189093166
1.0,50.84146100249625,137.4921406443359,115.02155858967144,101.1183867455012,44.96730713634715
1.25,51.02133038817149,138.4926714581366,115.51367745381944,101.67589310004252,45.3477902880699
1.5,51.06162879143793,139.4574101228198,115.70828261823117,102.07577384416295,45.74754103667927
1.75,51.85925326996587,138.95261599437893,118.28848116339189,103.0334501425789,45.50659772215476
2.0,53.461150393074846,139.10237032247682,117.51522824915637,103.359582988236,44.54089533579014
2.25,53.34084941226817,141.8583085703631,120.28975555539023,105.1629711793405,46.156796337277115
2.5,54.23395763642047,142.34491714805975,118.8591120027368,105.14599559573901,45.628088582684875
2.75,55.30147879958172,144.50161545234877,121.2978080446564,107.03363409886231,46.279218754047506
3.0,55.900588726113035,143.48253130812273,120.26556286261379,106.54956096561652,45.37340297617576
3.25,55.73946386862079,143.04414784166374,121.81858775181834,106.86739982070095,45.532191648567924
3.5,57.651064355645154,144.78097919932287,120.0488520388797,107.4936318646159,44.90134385945272
3.75,58.39461067909589,143.5150155130115,120.5213913779057,107.47700585667103,44.033939467101604
4.0,58.999635412718526,146.28919441375544,120.74827124501788,108.67903369049729,44.87891096060002
4.25,58.52678404801353,146.03755743443404,122.06268007999974,108.8756738541491,45.221197624264974
4.5,59.689324817668634,149.7859808250123,123.66531751554037,111.04687438607378,46.354834550293575
4.75,60.89184268188575,148.74834046672862,124.97690601701771,111.53902972187736,45.4436292591948
5.0,61.06053970532442,151.17352138233224,123.98635586825051,112.07347231863572,46.22255902186938
5.25,61.501685930791375,150.55774360714202,124.55211461388782,112.20384805060708,45.794160299668675
5.5,61.63726793228752,152.95240803584983,127.23459968944061,113.94142521919265,47.08656993937488
5.75,62.69663465622624,151.1284662044015,125.3782692847982,113.06779004847532,45.48305323977452
6.0,63.39788261686307,154.33619363758686,126.62445382907039,114.78617669450676,46.61065014523529
6.25,62.97975763490484,153.6265441870286,128.36663891174112,114.9909802445582,46.78024328327408
6.5,63.67823840311545,154.45157450419597,128.30608726368155,115.47863339033098,46.726409196348854
6.75,64.8866791278547,152.25938820609989,130.65726921643778,115.93444551679745,45.50899610171526
7.0,64.49935819869772,153.6612004063673,131.57814485402128,116.57956781969544,46.43464774559291
7.25,65.26364621487981,155.56826600302986,132.555838968904,117.79591706227124,46.92677870670444
7.5,65.43645544785787,156.72957299589828,133.5494282436276,118.57181889579458,47.45371338728195
7.75,65.97567914027037,156.98485628349763,133.30095739151358,118.7538309384272,47.216329242153016
8.0,66.78074381449862,160.39020090264378,135.42018235537475,120.86370902417237,48.47268097563644
8.25,66.98922333796794,157.8005693499228,136.14566997099854,120.31182088629642,47.43108921112385
8.5,66.47361454173586,158.8553720355362,137.881575610725,121.07018739599903,48.43102682878512
8.75,66.80510857616723,162.14817439739207,138.2087991382844,122.38736070394789,49.601547210205325
9.0,67.48953050007341,163.21794375286754,137.11014546798535,122.60587324030877,49.48497459447004
9.25,68.70037681812919,158.51082959244397,138.21856361029865,121.8099233402906,47.10002084410105
9.5,68.65701161769758,164.10105286639717,140.96794162899468,124.5753353710298,49.78884822344628
9.75,68.69927050188993,162.93857393954997,141.4141247331951,124.350656391545,49.38251757442823
10.0,68.30794272581062,162.62028579250557,141.6462868896762,124.19150513599747,49.519759371728654
10.25,70.67248167315239,162.96652211226697,144.59302401333096,126.07734259958345,48.853559939944766
10.5,70.1780390068333,164.08711690567043,144.62089705777302,126.29535099009225,49.56407930105716
10.75,70.84906222733065,165.72596034921392,144.66502811125613,127.08001689593357,49.822995834150916
11.0,71.62011559090188,166.02869261197011,144.16510380483058,127.27130400256753,49.41958323989541
11.25,71.372899078542,168.56424910231175,145.73509459835253,128.55741425973542,50.82168982061219
11.5,71.59376169681723,168.63903414091683,147.81898282593932,129.3505928878911,51.09067719374279
11.75,73.53159432793551,168.4768061793568,145.33430851341993,129.11423634023743,49.50723552527706
12.0,71.71587168752626,166.48393445837007,146.58124511281238,128.26035041956956,49.96986909233721
12.25,73.11274728554459,170.25041083964373,147.01451538676721,130.12589117065184,50.723275141913
12.5,72.19650581338918,167.39394454959591,146.87973962828883,128.823396663758,50.10151421287615
12.75,74.28121811023773,168.28061900418948,151.1182301602341,131.22668909155377,50.05723620687334
13.0,73.78440656648111,174.34827413314082,150.49436465763156,132.87568178575114,52.54604033222758
13.25,73.4177797424423,172.32412277282594,150.50509222719114,132.08233158081978,51.963109561361854
13.5,74.30351034572325,174.16835247979915,151.86362412434858,133.44516231662365,52.41828378665159
13.75,74.82708055618035,171.41109706850838,152.59392170758807,132.94403311075894,51.20260396517213
14.0,74.19835105538728,172.80387995809656,153.54832216203596,133.5168510585066,52.26573885897345
14.25,76.53949507407363,174.82254682200067,150.78755753914731,134.0498664784072,51.234776195031934
14.5,75.36757689339449,172.138432179557,153.0891305460097,133.5317132063204,51.26420815688989
14.75,76.56106663456106,176.94562209734934,154.0096908390908,135.83879319033375,52.60133919290086
15.0,76.77362997957333,176.5745840148763,156.4602536269912,136.60282254048028,52.78063834026462
15.25,76.16574689631204,177.07868696760423,156.0698828748248,136.43810557958037,53.24387643932031
