LABORATORY,FSRI 
TEST IDENT,Cardboard_HF50_R3
OPERATOR,Marino
MATERIAL,Cardboard
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.0403820239007473
SPEC HOLDER DIFF,-566
SPECIMEN MASS,6.010000228881836
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,710
TIME TO IGN,6.75
END OF TEST SCAN,230
END OF TEST TIME,57.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 102.63 x 100.48 x 3.92 mm; with calcium silicate substrate; with tie wires;
POST TEST CMT,Sample charred and became ash. Sample smoldered when removed.
