Time after Ignition,Corrugated_Cardboard_R1,Corrugated_Cardboard_R2,Corrugated_Cardboard_R3,Mean,Std. Dev.
0.0,0.7,0.3,0.1,0.4,0.3
0.25,0.8,0.2,0.1,0.4,0.4
0.5,0.9,0.2,0.2,0.4,0.4
0.75,1.1,0.2,0.2,0.5,0.5
1.0,1.3,0.2,0.2,0.6,0.6
1.25,1.5,0.3,0.3,0.7,0.7
1.5,1.6,0.4,0.3,0.7,0.7
1.75,1.7,0.5,0.3,0.8,0.8
2.0,1.7,0.5,0.4,0.9,0.7
2.25,1.8,0.6,0.4,0.9,0.8
2.5,1.9,0.6,0.5,1.0,0.8
2.75,1.9,0.7,0.6,1.1,0.7
3.0,2.0,0.7,0.7,1.2,0.7
3.25,2.1,0.8,0.9,1.3,0.8
3.5,2.1,0.8,0.9,1.3,0.7
3.75,2.2,0.8,1.1,1.4,0.7
4.0,2.3,0.9,1.3,1.5,0.7
4.25,2.3,0.9,1.4,1.6,0.7
4.5,2.4,0.9,1.7,1.7,0.7
4.75,2.5,1.0,1.9,1.8,0.8
5.0,2.5,1.0,2.1,1.9,0.8
5.25,2.5,1.0,2.2,1.9,0.8
5.5,2.6,1.0,2.6,2.1,0.9
5.75,2.6,1.0,2.8,2.2,1.0
6.0,2.6,1.0,3.0,2.2,1.1
6.25,2.7,1.1,3.2,2.3,1.1
6.5,2.7,1.1,3.3,2.4,1.1
6.75,2.7,1.1,3.4,2.4,1.2
7.0,2.7,1.2,3.6,2.5,1.2
7.25,2.9,1.3,3.8,2.7,1.2
7.5,3.0,1.4,4.0,2.8,1.3
7.75,3.0,1.5,4.3,2.9,1.4
8.0,3.1,1.9,4.4,3.1,1.2
8.25,3.2,2.2,4.5,3.3,1.1
8.5,3.2,2.6,4.7,3.5,1.1
8.75,3.4,3.3,4.7,3.8,0.8
9.0,3.4,3.9,4.8,4.0,0.7
9.25,3.5,4.5,4.7,4.2,0.6
9.5,3.7,5.0,4.7,4.5,0.7
9.75,3.8,5.6,5.0,4.8,0.9
10.0,3.8,7.4,5.2,5.5,1.8
10.25,4.0,9.4,5.5,6.3,2.8
10.5,4.3,10.9,5.8,7.0,3.4
10.75,4.7,12.4,6.0,7.7,4.2
11.0,4.9,13.6,9.7,9.4,4.3
11.25,5.2,21.0,13.3,13.2,7.9
11.5,8.5,28.3,16.4,17.7,10.0
11.75,11.6,34.9,19.1,21.9,11.9
12.0,14.0,41.1,41.8,32.3,15.9
12.25,16.4,45.5,41.3,34.4,15.7
12.5,40.7,50.7,62.1,51.2,10.7
12.75,62.3,55.1,82.2,66.6,14.0
13.0,81.4,70.6,95.9,82.6,12.7
13.25,97.5,87.1,129.1,104.6,21.9
13.5,134.6,99.7,159.3,131.2,29.9
13.75,167.7,113.7,186.1,155.8,37.6
14.0,190.9,138.0,205.6,178.2,35.6
14.25,214.8,163.2,229.2,202.4,34.7
14.5,240.1,181.6,246.5,222.7,35.8
14.75,260.7,197.0,260.0,239.2,36.6
15.0,274.1,217.8,276.6,256.2,33.3
15.25,291.6,233.2,288.4,271.1,32.8
15.5,314.4,248.5,302.5,288.5,35.1
15.75,324.2,263.1,312.3,299.9,32.4
16.0,327.3,275.0,319.9,307.4,28.3
16.25,345.1,282.1,342.4,323.2,35.6
16.5,356.0,295.6,347.9,333.1,32.8
16.75,362.3,306.7,343.8,337.6,28.3
17.0,380.6,306.1,348.8,345.2,37.4
17.25,370.0,314.7,363.7,349.4,30.3
17.5,380.7,327.9,366.8,358.5,27.4
17.75,376.5,326.5,368.6,357.2,26.9
18.0,376.4,329.2,369.0,358.2,25.4
18.25,373.5,335.6,366.4,358.5,20.2
18.5,367.3,343.6,365.0,358.6,13.1
18.75,362.6,342.5,361.8,355.7,11.4
19.0,362.8,342.2,359.1,354.7,11.0
19.25,357.1,337.6,348.5,347.8,9.7
19.5,352.6,334.6,355.4,347.5,11.3
19.75,343.6,343.2,355.4,347.4,6.9
20.0,333.3,330.6,347.7,337.2,9.2
20.25,337.4,333.8,338.1,336.4,2.3
20.5,328.0,328.6,331.8,329.5,2.0
20.75,319.0,322.1,325.9,322.3,3.4
21.0,313.5,318.6,325.7,319.3,6.1
21.25,307.9,312.2,319.6,313.2,5.9
21.5,302.3,306.5,314.4,307.7,6.1
21.75,296.8,305.3,305.6,302.6,5.0
22.0,290.9,299.5,310.7,300.4,9.9
22.25,295.6,290.8,302.8,296.4,6.1
22.5,289.6,286.2,294.2,290.0,4.0
22.75,282.3,276.7,296.7,285.2,10.3
23.0,277.0,278.7,292.6,282.8,8.6
23.25,273.7,272.4,288.4,278.2,8.9
23.5,274.1,271.3,291.9,279.1,11.2
23.75,273.5,268.8,288.6,277.0,10.3
24.0,270.5,268.4,285.3,274.7,9.2
