Time after Ignition,Corrugated_Cardboard_R1,Corrugated_Cardboard_R2,Corrugated_Cardboard_R3,Mean,Std. Dev.
0.0,8.3,-0.2,13.9,7.3,7.1
0.25,8.2,-0.1,14.1,7.4,7.1
0.5,8.1,-0.0,14.0,7.4,7.0
0.75,7.8,0.0,13.7,7.2,6.8
1.0,7.7,0.1,13.4,7.1,6.7
1.25,7.4,0.1,13.2,6.9,6.6
1.5,7.3,0.1,13.2,6.9,6.6
1.75,6.9,0.0,13.1,6.7,6.6
2.0,6.8,-0.0,13.3,6.7,6.7
2.25,6.7,-0.1,12.9,6.5,6.5
2.5,6.5,-0.0,12.7,6.4,6.3
2.75,6.4,0.0,12.9,6.4,6.4
3.0,6.3,0.1,12.7,6.3,6.3
3.25,6.3,0.1,12.8,6.4,6.3
3.5,6.3,0.2,12.9,6.5,6.4
3.75,6.3,0.2,12.7,6.4,6.2
4.0,6.5,0.3,12.4,6.4,6.1
4.25,6.6,0.3,12.7,6.5,6.2
4.5,6.6,0.3,12.6,6.5,6.2
4.75,6.4,0.4,12.5,6.4,6.1
5.0,6.6,0.4,12.6,6.5,6.1
5.25,6.6,0.4,12.6,6.5,6.1
5.5,6.7,0.4,12.4,6.5,6.0
5.75,6.8,0.5,12.6,6.6,6.1
6.0,6.9,0.5,12.6,6.6,6.0
6.25,7.0,0.5,12.5,6.7,6.0
6.5,7.0,0.5,12.5,6.7,6.0
6.75,7.2,0.5,12.4,6.7,6.0
7.0,7.3,0.6,12.6,6.9,6.0
7.25,7.5,0.7,12.6,6.9,5.9
7.5,8.0,0.9,12.6,7.2,5.9
7.75,8.4,1.0,12.7,7.3,5.9
8.0,8.9,1.0,12.8,7.6,6.0
8.25,9.0,1.1,12.9,7.6,6.0
8.5,9.3,1.2,12.9,7.8,6.0
8.75,9.8,1.2,13.3,8.1,6.2
9.0,10.0,1.3,13.5,8.3,6.3
9.25,10.2,1.8,13.6,8.5,6.1
9.5,10.5,2.3,13.9,8.9,6.0
9.75,10.8,2.7,14.4,9.3,6.0
10.0,12.0,3.1,16.1,10.4,6.7
10.25,13.5,3.5,18.0,11.7,7.5
10.5,14.5,6.1,19.2,13.3,6.6
10.75,15.5,8.3,20.7,14.8,6.2
11.0,16.6,10.5,22.3,16.5,5.9
11.25,19.8,12.7,27.6,20.0,7.5
11.5,23.0,14.2,32.3,23.2,9.0
11.75,25.9,21.2,36.7,27.9,8.0
12.0,28.8,27.2,42.1,32.7,8.2
12.25,31.0,32.4,44.7,36.1,7.5
