LABORATORY,FSRI 
TEST IDENT,Cardboard_HF50_R2
OPERATOR,Marino
MATERIAL,Cardboard
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.0403820239007473
SPEC HOLDER DIFF,-566
SPECIMEN MASS,5.960000038146973
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,712
TIME TO IGN,8
END OF TEST SCAN,232
END OF TEST TIME,58
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.47 x 100.88 x 3.64 mm; with calcium silicate substrate; with tie wires;
POST TEST CMT,Sample charred and became ash. Sample smoldered when removed.
