LABORATORY,FSRI 
TEST IDENT,Cardboard_HF50_R1
OPERATOR,Marino
MATERIAL,Cardboard
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.0403820239007473
SPEC HOLDER DIFF,-566
SPECIMEN MASS,5.920000076293945
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,718
TIME TO IGN,7.25
END OF TEST SCAN,238
END OF TEST TIME,59.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.72 x 99.84 x 3.88 mm; with calcium silicate substrate; with tie wires;
POST TEST CMT,Sample charred and became ash. Sample smoldered when removed.
