Time after Ignition,Polyisocyanurate_Spray_Foam_Insulation_R1,Polyisocyanurate_Spray_Foam_Insulation_R2,Mean,Std. Dev.
0.0,3.6,-0.2,1.7,2.7
0.25,3.5,-0.2,1.6,2.6
0.5,3.5,-0.3,1.6,2.7
0.75,3.5,-0.3,1.6,2.7
1.0,3.4,-0.3,1.5,2.6
1.25,3.4,-0.3,1.5,2.6
1.5,3.3,-0.4,1.4,2.6
1.75,3.1,-0.4,1.3,2.5
2.0,3.0,-0.5,1.3,2.5
2.25,2.9,-0.5,1.2,2.4
2.5,2.8,-0.5,1.1,2.4
2.75,2.7,-0.7,1.0,2.4
3.0,2.7,-0.8,0.9,2.5
3.25,2.6,-1.0,0.8,2.5
3.5,2.5,-1.1,0.7,2.5
3.75,2.5,-1.2,0.7,2.6
4.0,2.5,-1.1,0.7,2.5
4.25,2.4,-1.1,0.6,2.5
4.5,2.4,-1.1,0.7,2.4
4.75,2.3,-1.1,0.6,2.4
5.0,2.3,-1.0,0.6,2.4
5.25,2.3,-1.0,0.6,2.3
5.5,2.3,-1.0,0.6,2.3
5.75,1.9,-1.0,0.5,2.1
6.0,2.0,-1.0,0.5,2.1
6.25,1.8,-1.0,0.4,2.0
6.5,1.8,-1.0,0.4,1.9
6.75,1.7,-0.8,0.4,1.8
7.0,1.7,-0.8,0.4,1.8
7.25,1.7,-0.7,0.5,1.7
7.5,1.7,-0.6,0.5,1.6
7.75,1.8,-0.5,0.6,1.6
8.0,1.8,-0.4,0.7,1.6
8.25,1.8,-0.4,0.7,1.5
8.5,1.8,-0.3,0.8,1.5
8.75,1.9,-0.2,0.8,1.5
9.0,1.9,-0.2,0.9,1.5
9.25,1.9,-0.1,0.9,1.4
9.5,1.9,-0.1,0.9,1.4
9.75,1.9,-0.1,0.9,1.4
10.0,3.8,-0.0,1.9,2.7
10.25,5.5,1.8,3.6,2.6
10.5,6.9,3.3,5.1,2.5
10.75,8.3,4.8,6.5,2.5
11.0,14.1,6.1,10.1,5.6
11.25,19.3,11.5,15.4,5.5
11.5,24.6,16.2,20.4,6.0
11.75,28.3,20.5,24.4,5.5
12.0,27.8,24.8,26.3,2.1
12.25,37.2,34.7,35.9,1.8
12.5,45.1,44.2,44.6,0.7
12.75,52.2,51.8,52.0,0.3
13.0,59.1,58.7,58.9,0.3
13.25,63.8,70.5,67.1,4.7
13.5,71.1,81.5,76.3,7.4
13.75,80.0,91.4,85.7,8.1
14.0,86.0,99.2,92.6,9.3
14.25,95.7,107.9,101.8,8.6
14.5,101.0,112.4,106.7,8.1
14.75,111.3,131.0,121.2,13.9
15.0,122.2,132.2,127.2,7.1
15.25,129.0,140.1,134.5,7.8
15.5,133.1,148.8,141.0,11.1
15.75,139.9,162.4,151.1,15.9
16.0,150.6,163.0,156.8,8.7
16.25,161.4,170.8,166.1,6.6
16.5,165.3,176.9,171.1,8.2
16.75,173.5,182.8,178.1,6.6
17.0,176.8,190.0,183.4,9.3
17.25,180.7,197.7,189.2,12.0
17.5,186.5,202.6,194.6,11.4
17.75,190.6,211.7,201.2,15.0
18.0,197.8,215.4,206.6,12.4
18.25,199.5,221.7,210.6,15.7
18.5,207.1,229.2,218.2,15.6
18.75,215.7,228.0,221.9,8.7
19.0,215.2,238.1,226.6,16.2
19.25,221.3,241.2,231.3,14.0
19.5,226.3,233.7,230.0,5.2
19.75,222.7,249.8,236.3,19.2
20.0,230.2,254.5,242.4,17.1
20.25,233.3,261.1,247.2,19.7
20.5,234.2,258.7,246.4,17.3
20.75,235.8,268.2,252.0,22.9
21.0,238.8,265.7,252.2,19.1
21.25,241.2,263.5,252.4,15.8
21.5,240.6,278.2,259.4,26.6
21.75,237.5,282.5,260.0,31.8
22.0,242.4,274.1,258.2,22.4
22.25,250.1,281.5,265.8,22.3
22.5,248.4,282.3,265.4,24.0
22.75,254.5,276.2,265.3,15.3
23.0,250.4,286.8,268.6,25.8
23.25,248.2,276.7,262.5,20.2
23.5,246.3,286.2,266.3,28.2
23.75,245.2,284.4,264.8,27.7
24.0,254.4,284.3,269.4,21.1
24.25,255.6,295.5,275.6,28.2
24.5,256.2,293.7,275.0,26.5
24.75,258.4,290.8,274.6,22.9
25.0,260.4,298.9,279.6,27.3
25.25,257.8,301.1,279.5,30.6
25.5,262.6,299.2,280.9,25.9
25.75,268.4,296.8,282.6,20.0
26.0,261.9,301.0,281.5,27.6
26.25,266.2,306.6,286.4,28.6
26.5,263.8,294.3,279.0,21.5
26.75,265.4,306.3,285.9,28.9
27.0,264.3,299.5,281.9,24.9
27.25,265.6,302.9,284.2,26.4
27.5,262.5,302.7,282.6,28.4
27.75,267.6,312.0,289.8,31.4
28.0,260.9,307.2,284.1,32.7
28.25,265.8,303.2,284.5,26.4
