Time after Ignition,Polyisocyanurate_Spray_Foam_Insulation_R1,Polyisocyanurate_Spray_Foam_Insulation_R2,Mean,Std. Dev.
0.0,-1.4,3.2,0.9,3.3
0.25,-1.4,3.2,0.9,3.2
0.5,-1.4,2.9,0.8,3.1
0.75,-1.4,3.0,0.8,3.1
1.0,-1.3,2.9,0.8,2.9
1.25,-1.3,2.7,0.7,2.8
1.5,-1.3,2.7,0.7,2.8
1.75,-1.3,2.6,0.6,2.8
2.0,-1.3,2.6,0.7,2.8
2.25,-1.3,2.5,0.6,2.7
2.5,-1.3,2.4,0.6,2.7
2.75,-1.2,2.5,0.6,2.7
3.0,-1.2,2.5,0.6,2.6
3.25,-1.2,2.4,0.6,2.5
3.5,-1.3,2.4,0.6,2.6
3.75,-1.3,2.5,0.6,2.7
4.0,-1.2,2.6,0.7,2.7
4.25,-1.2,2.6,0.7,2.7
4.5,-1.3,2.7,0.7,2.8
4.75,-1.2,2.8,0.8,2.9
5.0,-1.1,2.9,0.9,2.9
5.25,-1.0,2.9,0.9,2.7
5.5,-1.0,2.8,0.9,2.7
5.75,-0.8,2.8,1.0,2.6
6.0,-0.8,3.1,1.1,2.7
6.25,-0.8,3.0,1.1,2.7
6.5,-0.6,3.1,1.3,2.6
6.75,-0.4,3.4,1.5,2.7
7.0,-0.3,3.4,1.5,2.6
7.25,-0.2,3.4,1.6,2.6
7.5,-0.1,3.6,1.7,2.6
7.75,-0.0,3.5,1.7,2.5
8.0,0.1,3.6,1.9,2.5
8.25,0.1,3.7,1.9,2.5
8.5,0.4,3.9,2.2,2.5
8.75,0.6,4.2,2.4,2.5
9.0,0.9,4.1,2.5,2.3
9.25,1.0,4.2,2.6,2.2
9.5,1.2,5.4,3.3,3.0
9.75,6.4,6.3,6.4,0.1
10.0,11.5,7.1,9.3,3.1
10.25,15.9,8.0,12.0,5.6
10.5,19.7,9.0,14.3,7.5
10.75,34.0,15.9,24.9,12.8
11.0,49.6,21.6,35.6,19.8
11.25,61.6,27.6,44.6,24.0
11.5,78.0,32.5,55.2,32.2
11.75,101.1,47.2,74.1,38.1
12.0,117.5,59.5,88.5,41.0
12.25,137.9,74.5,106.2,44.8
12.5,146.8,89.5,118.1,40.5
12.75,158.4,97.3,127.9,43.2
13.0,183.7,105.9,144.8,55.1
13.25,205.6,116.2,160.9,63.2
13.5,224.9,139.3,182.1,60.5
13.75,246.8,158.8,202.8,62.2
14.0,261.2,180.3,220.8,57.2
14.25,272.8,203.5,238.1,49.0
14.5,299.1,223.7,261.4,53.3
14.75,328.9,257.5,293.2,50.5
15.0,332.6,281.8,307.2,36.0
15.25,357.2,306.0,331.6,36.3
15.5,389.1,315.1,352.1,52.3
15.75,380.8,359.3,370.0,15.2
16.0,421.5,379.7,400.6,29.5
16.25,419.1,397.2,408.2,15.4
16.5,444.3,395.4,419.8,34.6
16.75,435.5,424.7,430.1,7.7
17.0,475.2,435.5,455.4,28.1
17.25,474.6,472.8,473.7,1.2
17.5,495.7,500.9,498.3,3.6
17.75,489.3,503.8,496.5,10.2
18.0,518.8,538.9,528.8,14.2
18.25,533.9,544.0,539.0,7.1
18.5,524.5,550.1,537.3,18.1
18.75,561.7,561.9,561.8,0.1
19.0,561.2,551.2,556.2,7.1
19.25,582.7,576.8,579.8,4.2
19.5,575.0,593.7,584.3,13.2
19.75,591.4,593.7,592.5,1.7
20.0,562.7,613.6,588.1,36.0
20.25,595.9,627.2,611.5,22.1
20.5,613.5,629.0,621.2,11.0
20.75,625.0,618.6,621.8,4.5
21.0,615.5,659.3,637.4,31.0
21.25,623.3,630.8,627.0,5.3
21.5,619.6,621.6,620.6,1.3
21.75,658.8,666.9,662.8,5.7
22.0,620.1,662.9,641.5,30.2
22.25,650.7,630.6,640.6,14.2
22.5,614.1,642.6,628.3,20.2
22.75,625.4,661.8,643.6,25.7
23.0,626.4,679.3,652.9,37.4
23.25,631.9,673.4,652.7,29.3
23.5,667.2,676.5,671.8,6.6
23.75,642.3,678.9,660.6,25.9
24.0,667.9,679.2,673.5,8.0
24.25,655.6,660.9,658.2,3.7
24.5,659.4,658.5,658.9,0.7
24.75,654.0,674.2,664.1,14.3
25.0,666.1,683.8,674.9,12.5
25.25,642.1,670.8,656.4,20.2
25.5,679.9,690.2,685.1,7.3
25.75,628.6,684.4,656.5,39.5
26.0,666.3,681.3,673.8,10.6
26.25,648.5,654.9,651.7,4.5
26.5,637.1,675.9,656.5,27.4
26.75,649.7,683.6,666.6,24.0
27.0,657.7,654.5,656.1,2.3
27.25,636.9,655.4,646.2,13.1
27.5,638.2,667.0,652.6,20.4
27.75,632.1,686.7,659.4,38.6
28.0,640.0,671.6,655.8,22.3
28.25,632.2,667.2,649.7,24.8
28.5,649.3,673.6,661.5,17.2
28.75,640.0,644.7,642.4,3.3
29.0,656.4,680.0,668.2,16.7
29.25,675.4,645.2,660.3,21.3
29.5,613.8,641.3,627.6,19.5
29.75,638.1,645.0,641.5,4.8
30.0,624.7,669.9,647.3,31.9
30.25,639.4,666.1,652.7,18.9
30.5,623.4,669.3,646.4,32.5
30.75,628.6,642.9,635.8,10.1
31.0,617.6,626.0,621.8,5.9
31.25,636.2,660.6,648.4,17.2
31.5,608.2,642.5,625.3,24.2
31.75,614.1,642.3,628.2,20.0
32.0,644.9,668.5,656.7,16.7
32.25,630.7,656.4,643.5,18.2
32.5,633.2,663.6,648.4,21.5
32.75,646.6,662.3,654.5,11.1
33.0,616.7,664.0,640.4,33.4
33.25,636.8,662.0,649.4,17.8
33.5,659.9,663.1,661.5,2.3
33.75,628.9,679.9,654.4,36.0
34.0,642.1,684.5,663.3,30.0
34.25,634.2,690.2,662.2,39.6
34.5,632.4,693.5,663.0,43.2
34.75,642.9,686.0,664.5,30.5
35.0,643.0,680.1,661.5,26.3
35.25,648.4,686.7,667.5,27.1
35.5,643.7,705.7,674.7,43.8
35.75,658.2,703.4,680.8,31.9
36.0,661.1,704.4,682.7,30.6
36.25,656.6,713.6,685.1,40.3
36.5,665.3,714.5,689.9,34.8
36.75,681.3,720.2,700.8,27.5
37.0,669.1,726.4,697.8,40.5
37.25,669.9,723.0,696.4,37.6
37.5,671.8,723.4,697.6,36.5
37.75,671.8,737.0,704.4,46.2
38.0,665.5,734.9,700.2,49.1
38.25,670.4,727.4,698.9,40.3
38.5,677.6,738.3,708.0,42.9
38.75,684.7,745.9,715.3,43.2
39.0,683.3,741.0,712.1,40.8
39.25,685.6,734.5,710.0,34.5
39.5,693.3,748.5,720.9,39.0
39.75,688.6,761.1,724.9,51.2
40.0,692.2,745.8,719.0,37.9
40.25,690.7,731.6,711.2,29.0
40.5,707.0,746.2,726.6,27.7
40.75,696.3,755.6,726.0,41.9
41.0,692.9,755.6,724.2,44.4
41.25,691.0,757.2,724.1,46.8
41.5,694.1,756.6,725.4,44.2
41.75,705.9,746.8,726.4,28.9
42.0,709.5,740.5,725.0,21.9
42.25,701.7,736.5,719.1,24.6
42.5,710.9,736.6,723.7,18.2
42.75,702.4,731.2,716.8,20.3
43.0,705.8,712.9,709.3,5.1
43.25,689.9,724.5,707.2,24.4
43.5,696.0,692.2,694.1,2.7
43.75,697.5,701.4,699.5,2.8
44.0,686.5,678.6,682.6,5.6
44.25,681.5,653.8,667.7,19.6
44.5,683.6,,683.6,
44.75,675.7,,675.7,
45.0,678.7,,678.7,
45.25,657.1,,657.1,
45.5,649.0,,649.0,
45.75,633.6,,633.6,
46.0,639.2,,639.2,
46.25,633.0,,633.0,
46.5,605.1,,605.1,
46.75,590.9,,590.9,
47.0,585.5,,585.5,
47.25,580.5,,580.5,
47.5,570.2,,570.2,
47.75,553.0,,553.0,
48.0,536.5,,536.5,
48.25,532.0,,532.0,
48.5,516.0,,516.0,
48.75,502.6,,502.6,
49.0,487.9,,487.9,
49.25,475.9,,475.9,
49.5,466.7,,466.7,
49.75,446.3,,446.3,
50.0,442.8,,442.8,
50.25,424.9,,424.9,
50.5,417.8,,417.8,
50.75,405.2,,405.2,
51.0,388.6,,388.6,
51.25,374.4,,374.4,
51.5,362.3,,362.3,
51.75,351.6,,351.6,
52.0,339.0,,339.0,
52.25,325.7,,325.7,
52.5,312.9,,312.9,
52.75,303.9,,303.9,
53.0,292.3,,292.3,
53.25,284.7,,284.7,
53.5,271.4,,271.4,
53.75,262.9,,262.9,
54.0,257.0,,257.0,
54.25,246.1,,246.1,
54.5,241.2,,241.2,
54.75,235.0,,235.0,
55.0,223.5,,223.5,
55.25,221.4,,221.4,
55.5,212.7,,212.7,
55.75,204.8,,204.8,
56.0,197.0,,197.0,
56.25,190.6,,190.6,
56.5,187.0,,187.0,
56.75,177.6,,177.6,
57.0,171.7,,171.7,
57.25,167.9,,167.9,
