Time after Ignition,Polyisocyanurate_Spray_Foam_Insulation_R1,Polyisocyanurate_Spray_Foam_Insulation_R2,Mean,Std. Dev.
0.0,-0.8,3.7,1.5,3.2
0.25,-0.8,3.7,1.5,3.2
0.5,-0.8,3.8,1.5,3.2
0.75,-0.5,3.9,1.7,3.1
1.0,-0.3,4.0,1.9,3.1
1.25,-0.1,3.9,1.9,2.9
1.5,0.0,3.9,2.0,2.7
1.75,0.2,3.9,2.0,2.6
2.0,0.4,3.9,2.1,2.5
2.25,0.5,4.0,2.3,2.5
2.5,0.6,3.9,2.3,2.3
2.75,0.8,4.1,2.4,2.3
3.0,0.9,4.0,2.4,2.2
3.25,1.1,4.0,2.5,2.1
3.5,1.3,4.0,2.7,1.9
3.75,1.4,4.1,2.7,1.9
4.0,1.6,4.1,2.8,1.8
4.25,1.7,4.0,2.9,1.6
4.5,1.9,4.0,2.9,1.5
4.75,1.9,4.1,3.0,1.5
5.0,2.0,4.1,3.0,1.4
5.25,2.1,4.0,3.0,1.3
5.5,2.2,4.0,3.1,1.3
5.75,2.3,4.2,3.3,1.3
6.0,2.3,4.0,3.2,1.2
6.25,2.4,4.0,3.2,1.2
6.5,2.4,4.0,3.2,1.1
6.75,2.4,4.1,3.3,1.2
7.0,2.6,4.0,3.3,1.0
7.25,2.6,4.1,3.3,1.1
7.5,2.7,4.0,3.3,1.0
7.75,2.6,4.1,3.3,1.1
8.0,2.6,4.0,3.3,1.0
8.25,2.7,4.0,3.3,0.9
8.5,2.7,3.8,3.3,0.7
8.75,2.8,3.7,3.3,0.7
9.0,2.9,3.5,3.2,0.4
9.25,3.1,3.3,3.2,0.1
9.5,3.1,3.2,3.2,0.1
9.75,5.7,3.1,4.4,1.8
10.0,8.0,3.1,5.6,3.4
10.25,10.0,3.1,6.6,4.9
10.5,12.0,5.5,8.7,4.6
10.75,20.6,7.5,14.0,9.2
11.0,27.4,9.3,18.4,12.8
11.25,35.3,10.9,23.1,17.2
11.5,40.8,20.0,30.4,14.7
11.75,46.1,27.9,37.0,12.9
12.0,51.8,35.1,43.4,11.8
12.25,62.3,41.2,51.7,14.9
12.5,77.2,47.4,62.3,21.1
12.75,86.8,48.9,67.8,26.8
13.0,97.2,62.5,79.9,24.5
13.25,106.7,70.5,88.6,25.6
13.5,115.7,81.3,98.5,24.3
13.75,128.2,90.0,109.1,27.0
14.0,142.8,94.5,118.6,34.2
