Time after Ignition,Rebond_Foam_Carpet_Pad_R1,Rebond_Foam_Carpet_Pad_R2,Rebond_Foam_Carpet_Pad_R3,Mean,Std. Dev.
0.0,33.8,62.2,20.5,38.9,21.3
0.25,39.7,70.0,28.4,46.0,21.5
0.5,45.0,77.9,36.2,53.0,22.0
0.75,57.2,85.1,42.5,61.6,21.6
1.0,68.5,98.3,58.4,75.1,20.7
1.25,76.9,111.8,71.4,86.7,21.9
1.5,86.6,120.8,84.4,97.3,20.4
1.75,106.0,132.0,97.7,111.9,17.9
2.0,123.1,137.3,116.1,125.5,10.8
2.25,138.6,147.5,129.5,138.5,9.0
2.5,150.9,164.3,144.7,153.3,10.0
2.75,163.9,171.7,156.9,164.2,7.4
3.0,183.5,183.6,178.6,181.9,2.8
3.25,207.7,197.0,194.5,199.7,7.0
3.5,222.5,211.3,207.8,213.9,7.7
3.75,235.1,223.5,218.1,225.6,8.7
4.0,257.0,235.3,236.0,242.8,12.3
4.25,262.0,249.9,250.4,254.1,6.9
4.5,287.2,271.6,259.2,272.7,14.0
4.75,299.1,285.5,277.0,287.2,11.1
5.0,309.9,308.9,287.5,302.1,12.6
5.25,325.6,325.3,306.7,319.2,10.8
5.5,346.4,329.4,307.6,327.8,19.5
5.75,348.5,355.7,325.4,343.2,15.8
6.0,368.4,368.4,333.4,356.7,20.2
6.25,372.3,394.0,344.6,370.3,24.8
6.5,393.4,407.2,352.2,384.3,28.6
6.75,407.2,405.3,376.1,396.2,17.4
7.0,402.0,425.5,374.7,400.8,25.4
7.25,435.4,420.6,383.2,413.1,26.9
7.5,438.9,433.3,410.5,427.6,15.1
7.75,445.4,458.9,416.1,440.2,21.9
8.0,458.7,454.8,420.0,444.5,21.3
8.25,480.8,466.1,426.7,457.9,28.0
8.5,483.7,480.6,440.1,468.2,24.3
8.75,494.7,492.1,456.0,481.0,21.6
9.0,498.6,486.7,466.3,483.9,16.3
9.25,503.4,494.8,471.2,489.8,16.7
9.5,508.8,497.3,460.3,488.8,25.4
9.75,535.1,494.1,495.5,508.2,23.3
10.0,549.0,497.6,498.2,514.9,29.5
10.25,547.4,514.2,527.4,529.7,16.7
10.5,577.1,517.3,528.8,541.1,31.7
10.75,601.8,521.0,530.3,551.0,44.2
11.0,589.7,559.4,573.6,574.2,15.2
11.25,615.2,519.2,578.4,570.9,48.4
