Names,Rebond_Foam_Carpet_Pad_R1,Rebond_Foam_Carpet_Pad_R2,Rebond_Foam_Carpet_Pad_R3,Mean,Std. Dev.
27,27.5,,,27.5,
28,33.6,,,33.6,
29,38.6,,,38.6,
30,42.9,,,42.9,
31,51.2,,,51.2,
32,57.8,,22.1,39.9,25.3
33,64.7,26.4,27.3,39.5,21.9
34,70.2,31.1,32.6,44.6,22.1
35,77.0,39.2,37.3,51.2,22.4
36,84.9,47.1,46.3,59.4,22.0
37,90.3,54.5,53.8,66.2,20.9
38,96.0,61.4,62.1,73.2,19.8
39,104.3,68.9,67.5,80.3,20.8
40,112.0,77.0,73.2,87.4,21.4
41,116.3,82.9,80.9,93.4,19.9
42,120.8,90.0,89.6,100.1,17.9
43,127.3,100.5,93.4,107.0,17.9
44,134.0,102.4,102.7,113.0,18.2
45,138.3,106.6,108.9,118.0,17.7
46,143.4,114.2,114.6,124.1,16.7
47,147.3,118.0,122.0,129.1,15.9
48,154.0,123.4,127.4,134.9,16.6
49,156.3,131.5,134.4,140.8,13.6
50,159.3,136.9,138.1,144.8,12.6
51,165.0,143.4,144.0,150.8,12.3
52,168.7,145.2,149.7,154.5,12.5
53,170.5,147.6,154.1,157.4,11.8
54,172.6,156.6,155.5,161.6,9.6
55,177.1,162.2,161.6,167.0,8.8
56,184.0,166.9,167.9,172.9,9.6
57,184.3,171.4,171.2,175.6,7.5
58,187.5,174.2,177.8,179.8,6.9
59,192.1,182.2,184.2,186.2,5.2
60,191.3,184.4,184.9,186.9,3.9
61,197.8,189.8,189.3,192.3,4.7
62,198.1,193.0,193.9,195.0,2.7
63,201.9,192.8,198.0,197.6,4.6
64,200.1,200.0,201.3,200.5,0.7
65,202.2,203.9,204.8,203.6,1.3
66,205.6,212.1,215.9,211.2,5.2
67,206.4,212.6,212.6,210.6,3.6
68,209.1,218.2,215.2,214.1,4.6
69,212.8,221.1,223.5,219.1,5.6
70,213.2,225.7,222.9,220.6,6.6
71,216.8,227.7,224.8,223.1,5.7
72,219.6,230.5,228.6,226.2,5.8
73,212.1,236.0,231.6,226.6,12.7
74,216.3,238.7,233.5,229.5,11.7
75,216.1,238.9,237.0,230.6,12.7
76,217.4,247.5,239.7,234.9,15.6
77,225.4,248.3,240.7,238.1,11.6
78,220.9,246.4,241.4,236.2,13.5
79,218.5,252.2,246.4,239.0,18.0
80,221.2,255.9,247.5,241.5,18.1
81,220.5,251.6,245.2,239.1,16.5
82,224.3,261.1,250.1,245.1,18.9
83,224.9,261.3,251.3,245.8,18.8
84,226.4,263.3,254.7,248.1,19.3
85,221.9,265.8,246.8,244.9,22.0
86,230.8,268.5,250.3,249.9,18.9
87,223.4,266.8,252.1,247.4,22.1
88,228.6,269.7,255.5,251.3,20.9
89,232.0,276.0,258.2,255.4,22.1
90,228.3,283.3,255.9,255.8,27.5
91,229.7,278.6,256.3,254.9,24.5
92,232.6,281.2,255.5,256.4,24.3
93,231.4,284.4,258.4,258.1,26.5
94,235.6,276.3,262.6,258.2,20.7
95,230.7,280.4,259.4,256.8,25.0
96,232.6,283.5,257.1,257.7,25.4
97,240.5,284.3,256.9,260.5,22.1
98,238.0,289.6,264.8,264.1,25.8
99,239.5,292.2,268.4,266.7,26.4
100,239.7,289.5,264.9,264.7,24.9
101,241.4,285.7,264.6,263.9,22.2
102,239.3,295.8,275.4,270.1,28.6
103,244.6,292.7,268.8,268.7,24.0
104,239.8,293.6,270.7,268.0,27.0
105,244.0,295.2,274.7,271.3,25.8
106,247.1,292.9,273.7,271.2,23.0
107,247.0,294.0,280.6,273.9,24.2
108,251.5,297.2,283.0,277.3,23.4
109,250.0,300.0,284.2,278.1,25.5
110,253.4,298.0,284.8,278.7,22.9
111,251.0,296.5,282.7,276.7,23.3
112,256.3,303.0,287.9,282.4,23.8
113,254.6,305.2,287.5,282.5,25.7
114,261.5,307.1,300.1,289.6,24.6
115,263.3,310.6,304.8,292.9,25.8
116,269.2,320.8,304.6,298.2,26.4
117,269.9,322.0,305.3,299.0,26.6
118,278.7,329.7,306.4,305.0,25.5
119,279.4,331.1,317.6,309.3,26.8
120,288.2,346.5,319.6,318.1,29.2
121,290.7,340.8,325.7,319.0,25.7
122,292.8,352.7,326.9,324.1,30.1
123,299.3,355.2,334.2,329.6,28.2
124,310.0,376.8,336.7,341.1,33.6
125,308.5,384.5,339.9,344.3,38.2
126,327.5,400.9,358.6,362.3,36.8
127,325.9,405.4,362.2,364.5,39.8
128,338.6,410.9,359.2,369.6,37.2
129,346.7,422.4,363.0,377.4,39.8
