LABORATORY,FSRI 
TEST IDENT,HDPE_HF25_4
OPERATOR,Dow
MATERIAL,HDPE
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.038569219410419464
SPEC HOLDER DIFF,305.8800048828125
SPECIMEN MASS,31.899999618530273
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2051
TIME TO IGN,150.25
END OF TEST SCAN,1571
END OF TEST TIME,392.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.53 x 101.47 x 3.04 mm
POST TEST CMT,"Sample warped prior to ignition and contacted the spark ignitor, causing spike in mass data. Close proximity to spark ignitor likely shortened time to ignition. See test pictures. "
