Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.14020995795726776,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.304586410522461,13.303650856018066,1,1,1,1.0008732080459595,1.1026201248168945,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,50.22861862182617,50.88588333129883,130.77713012695312,99.38925170898438,104.63526916503906,0.00652154628187418,0.08116643875837326,20.96101188659668,-1.3014274835586548,-0.49747514724731445,,
1,0,42.340972900390625,41.43824768066406,133.45452880859375,99.35076141357422,105.16940307617188,0.006250107195228338,0.08832062780857086,20.952970504760742,929.330810546875,-0.5504957437515259,0.0,0.0
2,0.25,42.04293441772461,41.61452865600586,136.6480712890625,99.3491439819336,104.93920135498047,0.006262789946049452,0.08840082585811615,20.952987670898438,929.24072265625,-0.5294589996337891,0.0,0.0
3,0.5,41.7179069519043,41.71493148803711,130.78077697753906,99.33208465576172,104.93148803710938,0.006274204235523939,0.08847300708293915,20.9530029296875,929.0205688476562,-0.5304089784622192,0.0,0.0
4,0.75,42.473655700683594,41.272193908691406,130.97618103027344,99.31706237792969,104.66880798339844,0.0062963212840259075,0.08853796869516373,20.95301628112793,929.08056640625,-0.5076287388801575,0.0,0.0
5,1,42.35353469848633,42.24498748779297,131.84707641601562,99.31625366210938,104.8994140625,0.0063162269070744514,0.08868907392024994,20.952800750732422,929.2807006835938,-0.5289937257766724,0.0,0.0
6,1.25,42.523643493652344,41.98093032836914,135.25662231445312,99.31950378417969,104.9095687866211,0.006334141828119755,0.08882506936788559,20.952606201171875,929.210693359375,-0.5296130180358887,0.0,0.0
7,1.5,42.4299201965332,42.18162536621094,133.50872802734375,99.29473114013672,104.97412109375,0.006350265350192785,0.08894746005535126,20.952430725097656,929.04052734375,-0.5379757285118103,0.0,0.0
8,1.75,43.07002258300781,42.243587493896484,133.3018798828125,99.26468658447266,104.53280639648438,0.006373993586748838,0.08905761688947678,20.952272415161133,929.08056640625,-0.500154972076416,0.0,0.0
9,2,42.15669631958008,41.34918975830078,134.2300262451172,99.25900268554688,104.76625061035156,0.006395348813384771,0.08915675431489944,20.951902389526367,929.20068359375,-0.5222846865653992,0.0,0.0
10,2.25,41.97725296020508,41.35125732421875,131.00823974609375,99.25575256347656,105.0191879272461,0.006414568517357111,0.08930300176143646,20.951568603515625,929.170654296875,-0.545924723148346,0.0,0.0
11,2.5,42.505462646484375,42.11455535888672,133.52474975585938,99.2366714477539,104.84054565429688,0.006431866437196732,0.08943463116884232,20.951269149780273,929.070556640625,-0.5313176512718201,0.0,0.0
12,2.75,41.95447540283203,41.856353759765625,130.31976318359375,99.22164916992188,104.54904174804688,0.006452703382819891,0.0895530954003334,20.950998306274414,929.1005859375,-0.505851149559021,0.0,0.0
13,3,42.49252700805664,41.95145797729492,129.18324279785156,99.21556091308594,104.09310913085938,0.006471456494182348,0.08965971320867538,20.950756072998047,929.190673828125,-0.4641730487346649,0.0,0.0
14,3.25,42.210296630859375,42.06757354736328,127.8818588256836,99.20662689208984,104.36390686035156,0.006488334387540817,0.08980558067560196,20.950536727905273,929.12060546875,-0.4901733100414276,0.0,0.0
15,3.5,42.13409423828125,41.96906280517578,131.17080688476562,99.1895751953125,104.02896118164062,0.006503524724394083,0.08993686735630035,20.950340270996094,929.030517578125,-0.4607442021369934,0.0,0.0
16,3.75,42.08328628540039,41.96139144897461,131.95545959472656,99.17170715332031,104.51331329345703,0.006517196074128151,0.09005501866340637,20.950162887573242,929.08056640625,-0.5074149370193481,0.0,0.0
17,4,42.37376403808594,42.20729446411133,130.6311798095703,99.17252349853516,104.5453872680664,0.006529500242322683,0.09016136080026627,20.950002670288086,929.130615234375,-0.5103030204772949,0.0,0.0
18,4.25,41.95146560668945,41.81023025512695,131.81654357910156,99.15019226074219,104.43739318847656,0.006540573667734861,0.0902642011642456,20.949859619140625,929.110595703125,-0.5024852156639099,0.0,0.0
19,4.5,42.54834747314453,42.0415153503418,128.45889282226562,99.13435363769531,104.51778411865234,0.006550539750605822,0.0903567522764206,20.949729919433594,929.0906372070312,-0.5114724040031433,0.0,0.0
20,4.75,42.402915954589844,42.56640625,130.3044891357422,99.10918426513672,104.74554443359375,0.006559509318321943,0.0904400497674942,20.949613571166992,929.1005859375,-0.534982442855835,0.0,0.0
21,5,42.12887954711914,42.525672912597656,134.56967163085938,99.11811065673828,104.61846923828125,0.006560337729752064,0.09051501750946045,20.94941520690918,929.16064453125,-0.522370457649231,0.0,0.0
22,5.25,42.17736053466797,42.59354782104492,130.6685791015625,99.08685302734375,104.28352355957031,0.0065610832534730434,0.09058248996734619,20.949235916137695,929.130615234375,-0.49440497159957886,0.0,0.0
23,5.5,42.33937454223633,42.574153900146484,128.09329223632812,99.0661392211914,104.49139404296875,0.006561754271388054,0.09065034240484238,20.94907569885254,929.1005859375,-0.5156878232955933,0.0,0.0
24,5.75,42.94160842895508,42.79303741455078,129.85720825195312,99.0499038696289,104.4162826538086,0.006562358234077692,0.09071141481399536,20.948930740356445,929.070556640625,-0.5103182792663574,0.0,0.0
