LABORATORY,FSRI 
TEST IDENT,HDPE_HF25_3
OPERATOR,Dow
MATERIAL,HDPE
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.038569219410419464
SPEC HOLDER DIFF,306.25
SPECIMEN MASS,31.899999618530273
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2406
TIME TO IGN,175.75
END OF TEST SCAN,1926
END OF TEST TIME,481.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.54 x 101.26 x 3.05 mm
POST TEST CMT,"Sample warped prior to ignition and contacted the spark ignitor, causing spike in mass data. Close proximity to spark ignitor likely shortened time to ignition. After ignition some sample spilled out of foil pan and continued burning from lower drip tray. See test pictures. "
