LABORATORY,FSRI 
TEST IDENT,HDPE_HF25_1
OPERATOR,Dow
MATERIAL,HFPE
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04156731069087982
SPEC HOLDER DIFF,-60.30999755859375
SPECIMEN MASS,30.899999618530273
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1960
TIME TO IGN,190.5
END OF TEST SCAN,1480
END OF TEST TIME,370
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.25 x 100.1 x 3.18 mm
POST TEST CMT,"Sample warped prior to ignition. Some of the sample dripped from the foil pan onto the insulation below, and continued to burn."
