Names,HDPE_R1,HDPE_R2,HDPE_R3,Mean,Std. Dev.
118,17.9,,19.8,18.9,1.4
119,19.5,,21.3,20.4,1.3
120,20.6,21.3,23.2,21.7,1.4
121,21.7,22.8,24.7,23.1,1.5
122,24.0,24.2,27.8,25.3,2.1
123,26.7,25.5,30.5,27.6,2.6
124,28.4,28.4,32.3,29.7,2.2
125,30.6,30.3,34.7,31.9,2.5
126,33.0,32.6,36.6,34.1,2.2
127,36.1,34.2,40.0,36.8,3.0
128,38.2,37.1,43.6,39.6,3.5
129,40.4,40.2,46.0,42.2,3.3
130,41.6,43.0,48.2,44.3,3.5
131,45.7,45.5,50.3,47.2,2.7
132,48.1,49.3,55.0,50.8,3.7
133,51.4,52.7,56.3,53.5,2.5
134,54.0,56.2,58.4,56.2,2.2
135,56.0,58.5,62.2,58.9,3.1
136,57.4,63.8,63.9,61.7,3.7
137,61.6,68.1,66.8,65.5,3.4
138,64.7,71.1,71.0,68.9,3.6
139,69.2,72.7,74.5,72.1,2.7
140,71.4,76.0,78.3,75.2,3.5
141,74.5,78.5,82.9,78.6,4.2
142,78.5,83.7,85.0,82.4,3.4
143,81.7,87.3,91.8,86.9,5.1
144,84.1,91.2,93.1,89.5,4.7
145,86.8,94.6,100.5,94.0,6.9
146,93.0,100.3,102.6,98.6,5.0
147,97.2,103.5,108.2,103.0,5.5
148,100.9,108.4,115.6,108.3,7.3
149,107.1,110.9,119.7,112.6,6.4
150,111.2,114.7,123.0,116.3,6.1
151,116.5,120.3,131.1,122.6,7.6
152,122.5,127.1,139.5,129.7,8.8
153,126.4,128.2,145.7,133.4,10.6
154,131.6,132.8,147.6,137.4,8.9
155,136.3,140.2,152.9,143.1,8.7
156,140.4,149.1,157.0,148.8,8.3
157,146.7,152.0,159.9,152.9,6.6
158,153.4,157.3,170.1,160.3,8.7
159,159.3,166.4,178.5,168.1,9.7
160,161.0,171.0,180.8,171.0,9.9
161,168.2,173.9,182.5,174.9,7.2
162,173.2,183.1,191.2,182.5,9.0
163,172.1,188.2,198.7,186.4,13.4
164,180.6,190.7,203.1,191.5,11.3
165,182.7,207.0,218.8,202.8,18.4
166,191.7,210.9,218.6,207.1,13.8
167,193.4,219.4,217.9,210.2,14.6
168,197.0,221.5,237.9,218.8,20.6
169,202.5,231.8,236.6,223.6,18.4
170,207.5,229.2,242.6,226.5,17.7
171,212.4,229.0,250.3,230.6,19.0
