LABORATORY,FSRI 
TEST IDENT,HDPE_HF50_2
OPERATOR,Dow
MATERIAL,HDPE
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.038569219410419464
SPEC HOLDER DIFF,306.55999755859375
SPECIMEN MASS,32
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1563
TIME TO IGN,55.75
END OF TEST SCAN,1083
END OF TEST TIME,270.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.49 x 101.34 x 2.97 mm; 60 mm spacing
POST TEST CMT,Sample warped prior to ignition. Sample dripped from foil pan after ignition and continued burning from lower drip tray. See test pictures.
