LABORATORY,FSRI 
TEST IDENT,HDPE_HF50_3
OPERATOR,Dow
MATERIAL,HDPE
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04156731069087982
SPEC HOLDER DIFF,333.1500244140625
SPECIMEN MASS,30.899999618530273
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1280
TIME TO IGN,52.75
END OF TEST SCAN,800
END OF TEST TIME,200
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.22 x 99.87 x 3.06 mm
POST TEST CMT,Manually adjusted foil pan prior to ignition which caused spikes in mass time history data.
