LABORATORY,FSRI 
TEST IDENT,HDPE_HF50_4
OPERATOR,Dow
MATERIAL,HDPE
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.038569219410419464
SPEC HOLDER DIFF,305.5999755859375
SPECIMEN MASS,31.969999313354492
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1287
TIME TO IGN,59.25
END OF TEST SCAN,807
END OF TEST TIME,201.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.52 x 101.59 x 2.97 mm; 60 mm spacing
POST TEST CMT,"Some sample dripped from foil pan during test, and continued burning from lower drip tray. Less so than in previous replicates."
