Time after Ignition,Roof_Felt_R1,Roof_Felt_R2,Roof_Felt_R3,Mean,Std. Dev.
0.0,32.6,48.6,67.0,49.4,17.2
0.25,36.4,54.8,80.1,57.1,21.9
0.5,46.6,59.4,93.8,66.6,24.4
0.75,55.6,73.9,101.7,77.1,23.2
1.0,62.6,86.4,112.2,87.1,24.8
1.25,69.7,96.0,130.1,98.6,30.3
1.5,87.6,104.5,149.3,113.8,31.9
1.75,100.5,111.4,156.9,122.9,29.9
2.0,116.1,130.5,173.1,139.9,29.7
2.25,126.4,142.6,191.3,153.4,33.8
2.5,136.7,151.5,214.1,167.4,41.1
2.75,160.8,162.7,228.9,184.1,38.7
3.0,184.3,185.3,240.7,203.4,32.3
3.25,204.4,204.3,262.4,223.7,33.5
3.5,220.5,220.6,283.9,241.7,36.6
3.75,262.4,234.0,302.6,266.3,34.5
4.0,280.8,253.6,318.2,284.2,32.4
4.25,309.3,276.0,346.4,310.6,35.2
4.5,332.1,286.1,358.9,325.7,36.8
4.75,356.3,298.7,379.9,345.0,41.8
5.0,373.0,310.8,395.5,359.8,43.9
5.25,396.5,343.2,420.1,386.6,39.4
5.5,436.0,367.1,445.6,416.2,42.8
5.75,430.8,382.1,468.0,426.9,43.1
6.0,449.8,405.1,477.6,444.2,36.6
6.25,485.3,403.5,493.5,460.8,49.7
6.5,499.5,424.5,516.1,480.0,48.8
6.75,515.9,417.3,531.6,488.3,62.0
7.0,530.6,436.8,555.2,507.5,62.5
7.25,567.7,476.7,553.0,532.5,48.8
7.5,588.6,472.3,577.3,546.0,64.1
7.75,612.4,513.7,597.3,574.5,53.1
8.0,614.4,513.3,605.7,577.8,56.0
8.25,683.2,544.2,616.7,614.7,69.5
8.5,686.3,535.3,640.5,620.7,77.4
8.75,711.6,581.7,662.7,652.0,65.6
9.0,724.3,589.6,673.3,662.4,68.0
9.25,755.6,612.2,675.9,681.2,71.9
9.5,741.9,594.2,646.7,660.9,74.9
9.75,752.6,628.1,676.9,685.9,62.7
10.0,755.4,646.4,713.4,705.1,55.0
10.25,763.9,669.0,684.7,705.8,50.9
10.5,783.5,670.0,731.0,728.2,56.8
10.75,789.3,695.0,750.3,744.9,47.4
11.0,803.4,699.5,774.1,759.0,53.6
11.25,826.2,709.0,754.1,763.1,59.1
11.5,840.8,713.8,780.7,778.4,63.5
11.75,845.5,731.3,780.5,785.8,57.3
12.0,878.9,726.8,798.4,801.4,76.1
12.25,905.5,732.9,791.2,809.8,87.8
12.5,883.1,746.2,789.6,806.3,70.0
12.75,874.0,730.4,802.9,802.4,71.8
13.0,886.0,738.3,792.2,805.5,74.7
13.25,883.3,766.3,802.0,817.2,60.0
13.5,901.3,738.6,787.8,809.3,83.4
13.75,877.6,757.4,793.7,809.5,61.6
14.0,913.0,752.1,796.3,820.5,83.2
14.25,887.3,784.1,787.0,819.4,58.7
14.5,864.7,775.3,758.9,799.6,57.0
14.75,871.6,781.8,775.5,809.7,53.8
15.0,840.9,787.7,759.9,796.2,41.1
15.25,834.8,789.5,761.8,795.4,36.9
15.5,823.3,767.0,750.2,780.1,38.3
15.75,798.0,741.5,737.6,759.0,33.8
16.0,796.5,748.3,737.6,760.8,31.4
16.25,760.4,736.2,736.2,744.3,14.0
16.5,760.4,722.4,711.3,731.4,25.7
16.75,732.0,732.3,708.3,724.2,13.8
17.0,715.8,720.6,685.4,707.3,19.1
17.25,690.8,700.5,680.1,690.5,10.2
17.5,665.6,696.9,667.1,676.6,17.7
17.75,644.0,670.4,642.7,652.4,15.6
18.0,613.9,661.9,632.3,636.0,24.2
18.25,604.6,634.2,614.2,617.7,15.1
18.5,585.2,609.1,600.5,598.3,12.1
18.75,565.2,612.2,573.6,583.7,25.0
19.0,536.6,583.3,550.3,556.7,24.0
19.25,525.6,553.2,534.6,537.8,14.1
19.5,505.3,534.8,521.3,520.5,14.8
19.75,477.2,524.7,496.2,499.4,23.9
20.0,475.9,499.6,482.8,486.1,12.2
20.25,452.9,484.3,463.4,466.9,16.0
20.5,438.4,475.9,442.8,452.4,20.5
20.75,421.3,447.9,424.1,431.1,14.6
21.0,394.6,434.4,410.0,413.0,20.1
21.25,388.4,425.8,394.8,403.0,20.0
21.5,372.3,404.4,375.0,383.9,17.8
21.75,363.3,396.0,371.4,376.9,17.0
22.0,347.9,377.5,352.1,359.2,16.0
22.25,339.8,363.9,344.2,349.3,12.8
22.5,327.2,351.9,329.7,336.3,13.6
22.75,313.4,341.4,318.3,324.4,14.9
23.0,305.0,328.5,321.3,318.3,12.0
23.25,294.4,314.6,308.6,305.8,10.4
23.5,281.4,307.8,296.5,295.3,13.2
23.75,268.5,295.8,286.3,283.5,13.9
24.0,263.6,285.1,271.6,273.4,10.9
24.25,255.8,273.4,274.4,267.9,10.5
24.5,248.8,266.5,262.3,259.2,9.2
24.75,237.2,257.3,253.3,249.3,10.7
25.0,229.8,249.9,247.0,242.2,10.8
25.25,224.5,242.8,240.1,235.8,9.9
25.5,217.1,237.1,231.7,228.6,10.4
25.75,208.0,225.9,226.0,220.0,10.4
26.0,200.4,220.6,218.3,213.1,11.1
26.25,199.1,216.7,209.6,208.5,8.8
26.5,193.9,209.0,210.7,204.5,9.2
