Names,Roof_Felt_R1,Roof_Felt_R2,Roof_Felt_R3,Mean,Std. Dev.
271,168.9,246.1,205.6,206.9,38.7
272,164.9,242.6,206.5,204.7,38.8
273,164.3,240.3,199.5,201.4,38.0
274,163.3,238.9,199.2,200.5,37.8
275,161.4,236.4,192.5,196.8,37.7
276,158.5,228.4,192.2,193.0,34.9
277,156.5,229.2,186.2,190.6,36.5
278,152.4,225.7,184.3,187.4,36.7
279,153.2,220.1,181.9,185.1,33.6
280,149.5,222.4,177.4,183.1,36.8
281,148.3,213.9,172.9,178.4,33.2
282,146.8,211.2,172.4,176.8,32.4
283,143.8,207.9,169.9,173.9,32.3
284,143.8,202.9,166.8,171.2,29.8
285,139.2,204.0,162.2,168.4,32.9
286,135.9,201.8,159.6,165.8,33.4
287,135.9,199.7,158.1,164.6,32.4
288,132.4,195.1,155.9,161.1,31.7
289,129.5,193.8,153.6,159.0,32.5
290,126.4,195.3,153.0,158.2,34.7
291,125.1,189.1,148.6,154.3,32.4
292,122.5,191.6,148.3,154.2,34.9
293,118.6,190.5,143.6,150.9,36.5
294,118.0,186.4,142.6,149.0,34.6
295,113.2,186.1,142.1,147.1,36.7
296,112.4,182.3,136.1,143.6,35.6
297,109.7,183.7,133.7,142.4,37.8
298,106.9,183.1,133.3,141.1,38.6
299,104.6,182.0,131.9,139.5,39.3
300,102.4,180.3,130.0,137.6,39.5
301,100.7,180.4,127.6,136.2,40.5
302,99.0,179.1,125.5,134.5,40.8
303,96.9,173.2,124.2,131.4,38.7
304,96.5,171.9,124.3,130.9,38.1
305,95.2,173.6,119.4,129.4,40.1
306,93.3,172.4,118.6,128.1,40.4
307,91.8,170.6,117.3,126.6,40.2
308,90.5,170.1,115.9,125.5,40.7
309,89.7,169.3,113.0,124.0,40.9
310,88.1,165.4,111.8,121.8,39.6
311,86.2,163.5,110.2,120.0,39.6
312,84.1,162.8,109.6,118.8,40.2
313,82.8,158.1,108.9,116.6,38.2
314,84.2,160.3,105.4,116.6,39.3
315,80.6,158.4,105.4,114.8,39.8
316,80.3,156.6,106.1,114.3,38.9
317,79.6,153.5,103.8,112.3,37.7
318,78.3,154.9,101.3,111.5,39.3
319,77.0,153.5,101.8,110.8,39.0
320,76.1,153.3,100.3,109.9,39.5
321,74.8,150.9,97.1,107.6,39.1
322,74.4,152.3,96.8,107.8,40.1
323,72.7,149.0,96.8,106.2,39.0
324,71.6,149.3,96.1,105.7,39.7
325,72.1,149.0,95.3,105.5,39.5
326,69.9,150.6,93.3,104.6,41.5
327,69.4,148.2,93.1,103.6,40.4
328,68.6,144.6,91.7,101.7,39.0
329,68.0,143.6,91.6,101.1,38.6
330,66.3,146.0,88.8,100.4,41.1
331,65.3,146.5,89.5,100.4,41.7
