LABORATORY,FSRI 
TEST IDENT,LDPE_HF25_1
OPERATOR,Dow
MATERIAL,LDPE
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04156731069087982
SPEC HOLDER DIFF,333.78997802734375
SPECIMEN MASS,30
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1917
TIME TO IGN,118.5
END OF TEST SCAN,1437
END OF TEST TIME,359.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.15 x 100.21 x 3.09 mm
POST TEST CMT,ignore spikes in mass measurment prior to ignition
