Names,LDPE_R1,LDPE_R2,LDPE_R3,Mean,Std. Dev.
265,1425.7,1262.5,1355.6,1347.9,81.9
266,1265.3,1332.2,1245.0,1280.8,45.6
267,1373.9,1260.0,1558.4,1397.4,150.6
268,1297.8,1546.1,1348.4,1397.4,131.2
269,1441.5,1231.0,1554.1,1408.9,164.0
270,1290.8,1346.1,1405.1,1347.3,57.2
271,1467.7,1350.7,1642.4,1486.9,146.8
272,1359.0,1471.2,1305.3,1378.5,84.6
273,1389.0,1210.8,1358.5,1319.4,95.3
274,1567.3,1555.9,1309.1,1477.5,145.9
275,1367.6,1510.8,1444.2,1440.9,71.7
276,1457.9,1402.3,1563.3,1474.5,81.8
277,1326.1,1438.2,1440.2,1401.5,65.3
278,1493.8,1445.1,1588.4,1509.1,72.9
279,1540.4,1419.3,1528.4,1496.0,66.7
280,1443.0,1423.3,1595.7,1487.3,94.4
281,1416.3,1475.3,1609.4,1500.3,99.0
282,1549.1,1469.5,1544.6,1521.1,44.7
283,1386.2,1574.4,1603.7,1521.4,118.0
284,1642.1,1555.6,1624.1,1607.3,45.6
285,1670.1,1403.9,1586.0,1553.4,136.1
286,1640.8,1747.8,1554.2,1647.6,97.0
287,1856.7,1734.5,1412.2,1667.8,229.7
288,1794.9,1623.8,1613.5,1677.4,101.9
289,1576.7,1807.4,1773.1,1719.1,124.5
290,1538.2,1494.8,1739.5,1590.8,130.6
291,2008.7,1709.0,1970.9,1896.2,163.2
292,1519.2,1625.5,1670.8,1605.2,77.8
293,1370.8,1601.0,1784.5,1585.4,207.3
294,1717.5,1901.6,1669.2,1762.8,122.7
295,1639.3,1607.5,1778.1,1674.9,90.7
296,2009.0,1479.0,1580.2,1689.4,281.4
297,1787.2,1869.4,1845.6,1834.1,42.3
298,1836.6,1805.4,1784.7,1808.9,26.2
299,1434.4,1854.4,1675.9,1654.9,210.8
300,2088.5,1790.9,1485.4,1788.3,301.5
301,1942.4,2081.3,1752.9,1925.5,164.9
302,1619.7,1564.3,1696.5,1626.8,66.4
303,2086.2,1846.7,2126.5,2019.8,151.3
304,1714.8,1743.0,1706.9,1721.6,19.0
305,1963.9,1866.0,1708.8,1846.2,128.7
306,1597.7,2064.9,2090.1,1917.6,277.3
307,2044.2,2131.9,1665.5,1947.2,247.9
308,1864.0,2260.8,1630.2,1918.3,318.8
309,1709.0,2124.2,1684.8,1839.3,247.0
310,1749.1,2014.0,1652.3,1805.2,187.2
311,2059.5,1926.6,1945.9,1977.3,71.8
312,2002.8,1763.0,1707.7,1824.5,156.9
313,1756.5,1921.2,1995.8,1891.2,122.4
314,2217.7,2102.0,1953.9,2091.2,132.2
315,2121.2,2282.1,2059.5,2154.2,114.9
316,1978.0,2144.3,1837.2,1986.5,153.7
317,2059.7,1582.3,2049.7,1897.2,272.8
318,1916.8,1725.1,1979.1,1873.7,132.4
319,2548.2,2331.9,1922.5,2267.5,317.7
320,2094.4,2054.1,1896.3,2014.9,104.7
321,2116.0,1859.7,1650.3,1875.3,233.3
322,2174.0,1664.5,2016.1,1951.5,260.8
323,2178.5,2141.2,1920.1,2079.9,139.7
324,2009.4,2199.5,2025.3,2078.1,105.4
325,2341.7,2467.3,2033.4,2280.8,223.2
326,2054.1,1800.1,1988.7,1947.6,131.9
327,1783.9,2019.2,2051.8,1951.6,146.2
328,2048.7,2329.2,2047.2,2141.7,162.4
329,1840.6,1945.7,1680.0,1822.1,133.8
330,2279.0,2339.9,1790.2,2136.4,301.3
331,2360.4,1874.6,2058.9,2097.9,245.3
332,2572.5,1617.0,2250.6,2146.7,486.1
333,2340.7,2253.4,1827.1,2140.4,274.8
334,1813.8,2326.2,1934.5,2024.8,267.9
335,2144.0,2087.6,2386.7,2206.1,158.9
336,2204.8,1967.4,2249.3,2140.5,151.5
337,2304.2,2164.4,1694.8,2054.5,319.2
338,2752.4,2193.6,2231.9,2392.6,312.2
339,2383.4,2748.2,1812.2,2314.6,471.8
340,2275.4,2506.9,1960.5,2247.6,274.2
341,2089.6,1985.5,1988.1,2021.0,59.4
342,1966.5,2022.3,2280.5,2089.8,167.5
343,2109.7,2750.8,1787.8,2216.1,490.2
344,2490.6,2542.4,1904.5,2312.5,354.3
345,2015.7,2508.2,2359.5,2294.5,252.6
346,2501.7,2485.6,2275.7,2421.0,126.1
347,2482.8,1966.5,2112.5,2187.3,266.1
348,1976.0,2114.5,2002.6,2031.0,73.5
349,2812.3,2295.7,1997.2,2368.4,412.4
350,2404.0,2709.7,2048.1,2387.3,331.1
351,2396.1,2777.3,1668.8,2280.7,563.2
352,2329.7,2610.5,1841.9,2260.7,388.9
353,2815.7,2476.5,2059.4,2450.5,378.8
354,2436.0,2047.3,1805.5,2096.3,318.1
355,2041.1,2044.8,1864.0,1983.3,103.3
356,2867.3,2255.5,1717.4,2280.1,575.3
357,2198.3,2017.1,1728.8,1981.4,236.8
358,2307.3,2726.4,2345.5,2459.7,231.7
359,2731.7,2698.8,1756.9,2395.8,553.5
360,1922.2,2891.8,2316.4,2376.8,487.6
361,2795.8,2858.7,2053.5,2569.4,447.8
362,2867.5,1997.7,2323.5,2396.2,439.4
363,2706.7,2936.7,2517.1,2720.2,210.1
364,2443.9,2212.4,1882.0,2179.5,282.4
365,1956.3,2390.7,2115.0,2154.0,219.8
366,2776.3,2551.2,2154.0,2493.8,315.1
367,2287.5,2759.8,1709.0,2252.1,526.3
368,2935.5,2381.0,2142.7,2486.4,406.8
369,2388.8,1831.1,2016.4,2078.7,284.0
370,2818.3,2697.5,2170.7,2562.2,344.4
371,2191.1,2715.6,2136.1,2347.6,319.9
372,2431.7,2641.2,1858.8,2310.6,405.0
373,2866.8,2393.6,2273.6,2511.3,313.6
374,2668.1,2433.9,2489.0,2530.3,122.5
375,2302.5,2890.6,2179.4,2457.5,380.1
376,2707.7,1955.7,2275.9,2313.1,377.4
377,2140.9,2651.5,1832.1,2208.1,413.8
378,2644.6,2512.6,2445.3,2534.2,101.3
379,2720.9,2942.2,2270.9,2644.7,342.1
380,2105.3,2926.8,2014.0,2348.7,502.7
381,2443.7,2610.7,2069.0,2374.4,277.4
382,2707.2,2830.0,2021.2,2519.5,435.8
383,2780.0,2928.3,2510.7,2739.7,211.7
384,2742.1,2530.3,1645.0,2305.8,582.0
385,2405.3,2914.7,2002.8,2441.0,457.0
386,2675.0,2949.3,2537.0,2720.5,209.9
387,2330.0,2509.2,2041.4,2293.5,236.0
388,2368.3,3048.2,2471.1,2629.2,366.5
389,2359.8,2394.2,2219.8,2324.6,92.4
390,2508.0,2994.9,2316.2,2606.3,349.9
391,2305.8,2390.5,2263.0,2319.8,64.9
392,2379.3,2713.3,2090.8,2394.5,311.5
393,2464.3,2868.7,2470.4,2601.1,231.7
394,2081.0,2889.2,1927.1,2299.1,516.8
395,2636.6,2490.0,2516.5,2547.7,78.1
396,2316.1,2487.0,1970.4,2257.8,263.1
397,2370.4,2713.8,2316.6,2466.9,215.5
398,2317.2,2987.1,1898.6,2400.9,549.0
399,1920.9,2586.8,2173.8,2227.2,336.1
400,1978.0,2185.3,2303.6,2155.6,164.8
401,2224.7,3218.3,2240.0,2561.0,569.3
402,2105.8,2976.6,2444.2,2508.9,439.0
403,2071.6,2826.3,2368.1,2422.0,380.3
404,2662.4,2673.6,1902.2,2412.7,442.1
405,2175.1,2627.4,2106.7,2303.0,282.9
406,2254.2,2717.5,2374.1,2448.6,240.5
407,2442.3,2755.5,2459.1,2552.3,176.2
408,2418.4,2365.7,1939.0,2241.0,262.9
409,2389.6,2624.6,2539.3,2517.8,119.0
410,2283.5,3063.2,2262.5,2536.4,456.3
411,2387.3,2767.1,2247.1,2467.2,269.0
412,2020.3,3043.0,2383.5,2482.3,518.4
413,2454.8,3128.4,2374.7,2652.6,413.9
414,2643.5,3025.7,2234.1,2634.4,395.9
415,2312.6,2812.9,2369.9,2498.5,273.8
416,2495.2,2436.7,2402.6,2444.8,46.8
417,2087.0,3052.7,2060.5,2400.0,565.4
418,2105.6,2421.4,2406.4,2311.1,178.1
419,1738.8,3397.1,2224.2,2453.4,852.6
420,2557.9,2502.5,2480.4,2513.6,39.9
421,2519.5,2991.6,2438.5,2649.9,298.7
422,1808.0,2581.4,2298.8,2229.4,391.4
423,2083.4,2763.9,2531.7,2459.7,345.9
424,2704.7,2245.5,2113.7,2354.6,310.2
425,2368.1,3287.3,1967.6,2541.0,676.6
426,2223.0,3209.7,2780.2,2737.7,494.7
427,2000.1,2614.0,2687.9,2434.0,377.6
428,2237.8,3037.1,1981.9,2418.9,550.4
429,2617.7,2513.5,2119.9,2417.1,262.5
430,2374.1,2909.2,2482.9,2588.7,282.8
431,2471.2,3098.1,2293.2,2620.8,422.8
432,1832.8,3115.1,2502.5,2483.5,641.4
433,2404.5,2778.3,2402.5,2528.4,216.4
434,2211.8,2927.5,2302.9,2480.7,389.6
435,2576.8,2946.0,2295.5,2606.1,326.2
436,2308.6,2885.8,2432.5,2542.3,303.9
437,2744.6,3290.9,2158.7,2731.4,566.2
438,1995.5,2800.3,2267.6,2354.5,409.4
439,2268.6,2796.1,2357.8,2474.2,282.4
440,2408.8,3045.2,2424.8,2626.3,362.9
441,2199.5,2823.3,2389.6,2470.8,319.7
442,2897.9,2646.6,2437.7,2660.7,230.5
443,2375.3,2775.0,2418.8,2523.0,219.3
444,2249.1,2893.6,2212.3,2451.7,383.2
445,1931.4,2802.3,1874.7,2202.8,520.0
446,1991.9,3028.3,2341.3,2453.8,527.3
447,2602.0,2736.8,2358.1,2565.6,192.0
448,2289.5,2832.0,2605.8,2575.8,272.5
449,2276.2,2674.6,2508.3,2486.4,200.1
450,2359.1,2728.3,2240.4,2442.6,254.4
451,2621.1,2597.6,2531.2,2583.3,46.7
452,2236.8,2641.9,2304.1,2394.3,217.1
453,2192.6,2555.5,2582.7,2443.6,217.8
454,2328.8,2632.6,2389.6,2450.3,160.8
455,2276.6,2535.2,2488.3,2433.4,137.8
456,2426.1,2507.0,2308.2,2413.8,99.9
457,2065.3,2458.2,2536.3,2353.3,252.4
458,2200.7,2464.3,2254.7,2306.5,139.3
459,2524.8,2384.6,2502.5,2470.6,75.3
460,2228.1,2247.5,2374.1,2283.2,79.3
461,2181.1,2200.1,2341.0,2240.7,87.4
462,2227.1,2110.1,2217.3,2184.8,64.9
463,2176.3,2024.3,2397.1,2199.2,187.5
464,2222.8,1993.6,2274.6,2163.7,149.6
465,2314.2,1900.8,2258.1,2157.7,224.3
466,2148.8,1854.6,2249.4,2084.3,205.1
467,2225.6,1780.7,2280.0,2095.4,273.9
468,2257.8,,2294.7,2276.3,26.1
469,2273.6,,2227.4,2250.5,32.6
470,2235.1,,2152.1,2193.6,58.7
471,2274.4,,2127.0,2200.7,104.2
472,2252.2,,2077.1,2164.7,123.8
473,2208.6,,2067.0,2137.8,100.2
474,2256.1,,1989.0,2122.6,188.9
475,2160.4,,1905.9,2033.2,180.0
476,2113.3,,1863.7,1988.5,176.5
477,2020.4,,1799.1,1909.7,156.5
478,1983.6,,1781.4,1882.5,143.0
479,1923.7,,1680.4,1802.0,172.0
480,1838.8,,1647.4,1743.1,135.3
481,1779.9,,1581.4,1680.6,140.3
