Time after Ignition,LDPE_R1,LDPE_R2,LDPE_R3,Mean,Std. Dev.
0.0,29.5,23.2,12.5,21.8,8.6
0.25,29.8,23.9,12.7,22.1,8.6
0.5,30.3,24.9,13.2,22.8,8.8
0.75,30.8,24.8,13.7,23.1,8.7
1.0,31.3,25.2,14.3,23.6,8.6
1.25,31.6,25.6,14.3,23.8,8.8
1.5,32.3,26.0,14.9,24.4,8.8
1.75,32.7,26.7,14.9,24.8,9.0
2.0,33.3,27.3,15.5,25.4,9.1
2.25,34.0,27.7,15.8,25.9,9.2
2.5,35.3,28.8,16.2,26.8,9.7
2.75,35.4,29.0,16.6,27.0,9.6
3.0,35.6,30.1,17.1,27.6,9.5
3.25,36.7,30.8,17.5,28.3,9.8
3.5,38.2,30.8,17.9,29.0,10.2
3.75,38.7,31.1,18.3,29.4,10.3
4.0,39.9,32.0,18.8,30.3,10.6
4.25,39.7,32.4,18.9,30.3,10.6
4.5,40.8,33.0,19.2,31.0,10.9
4.75,41.5,33.4,19.6,31.5,11.1
5.0,42.7,33.1,19.7,31.8,11.5
5.25,42.0,34.2,20.5,32.2,10.9
5.5,42.2,34.3,20.9,32.5,10.8
5.75,43.7,35.3,21.2,33.4,11.3
6.0,45.5,36.4,21.9,34.6,11.9
6.25,46.1,36.4,22.3,34.9,11.9
6.5,46.3,36.9,22.4,35.2,12.0
6.75,46.4,37.2,22.8,35.5,11.9
7.0,46.0,38.6,23.4,36.0,11.5
7.25,47.3,38.2,24.2,36.6,11.7
7.5,47.4,39.0,24.4,36.9,11.7
7.75,48.7,39.6,24.7,37.7,12.1
8.0,49.0,40.4,25.1,38.2,12.1
8.25,49.8,40.3,25.8,38.6,12.1
8.5,51.0,40.8,26.2,39.3,12.5
8.75,51.4,41.7,27.1,40.1,12.2
9.0,51.5,42.6,27.6,40.6,12.1
9.25,52.2,43.4,28.2,41.3,12.2
9.5,53.1,43.5,28.2,41.6,12.6
9.75,53.9,44.3,29.2,42.5,12.4
10.0,54.1,45.9,29.3,43.1,12.6
10.25,54.9,45.1,29.7,43.3,12.7
10.5,55.6,46.7,30.0,44.1,13.0
10.75,55.7,46.5,30.4,44.2,12.8
11.0,56.6,47.5,30.7,44.9,13.1
11.25,56.4,48.3,31.4,45.4,12.8
11.5,57.7,48.3,31.6,45.9,13.2
11.75,58.1,48.9,32.2,46.4,13.1
12.0,57.5,50.0,32.4,46.6,12.9
12.25,59.4,49.7,32.9,47.4,13.4
12.5,60.2,50.2,33.4,47.9,13.6
12.75,60.4,50.9,33.1,48.1,13.8
13.0,61.2,50.4,33.5,48.4,14.0
13.25,63.2,52.8,34.1,50.0,14.7
13.5,64.1,52.0,34.6,50.2,14.8
13.75,64.2,51.7,35.1,50.3,14.6
14.0,66.3,52.9,35.5,51.6,15.5
14.25,68.2,53.3,36.1,52.5,16.1
14.5,68.2,54.3,36.3,52.9,16.0
14.75,69.6,55.0,37.0,53.9,16.3
15.0,71.0,54.7,37.4,54.4,16.8
15.25,71.2,57.0,38.1,55.4,16.6
15.5,72.0,57.4,38.3,55.9,16.9
15.75,73.7,57.2,38.5,56.5,17.6
16.0,73.4,57.9,39.8,57.0,16.8
16.25,74.1,58.3,39.1,57.2,17.5
16.5,76.9,58.7,40.2,58.6,18.3
16.75,77.2,59.4,40.1,58.9,18.5
17.0,76.5,60.4,40.9,59.3,17.8
17.25,76.8,61.7,41.1,59.9,17.9
17.5,78.9,61.9,41.2,60.7,18.9
17.75,78.4,62.8,41.4,60.9,18.6
18.0,79.1,62.7,42.7,61.5,18.3
18.25,80.4,63.1,43.3,62.3,18.5
18.5,79.9,64.0,43.4,62.4,18.3
18.75,81.4,63.9,43.7,63.0,18.9
19.0,80.8,64.7,45.3,63.6,17.8
19.25,80.0,65.2,45.1,63.4,17.6
19.5,81.5,66.1,45.5,64.4,18.1
19.75,82.1,64.7,46.6,64.5,17.7
20.0,83.6,65.9,46.5,65.4,18.6
20.25,82.8,67.3,47.5,65.9,17.7
20.5,84.7,67.2,47.6,66.5,18.6
20.75,84.8,65.9,48.2,66.3,18.3
21.0,85.0,67.9,49.8,67.5,17.6
