LABORATORY,FSRI 
TEST IDENT,LDPE_HF75_1
OPERATOR,Dow
MATERIAL,LDPE
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04156731069087982
SPEC HOLDER DIFF,301
SPECIMEN MASS,30
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,960
TIME TO IGN,27.5
END OF TEST SCAN,480
END OF TEST TIME,120
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.92 x 100.17 x 3.07 mm
POST TEST CMT,sample dripped in lower collection pan and continued to burn (see test pictures)
