LABORATORY,FSRI 
TEST IDENT,LDPE_HF25_2
OPERATOR,Dow
MATERIAL,LDPE
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04156731069087982
SPEC HOLDER DIFF,331.030029296875
SPECIMEN MASS,30.100000381469727
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1775
TIME TO IGN,112.5
END OF TEST SCAN,1295
END OF TEST TIME,323.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.17 x 100.32 x 3.06 mm
POST TEST CMT,"sample warped prior to ignition and touched the spark ignitor, causing spikes in mass measurement; sample dripped from foil tray (see test pictures) - about 2 grams of the sample remained unburned"
