Time after Ignition,LDPE_R1,LDPE_R2,LDPE_R3,Mean,Std. Dev.
0.0,15.9,7.5,13.6,12.3,4.3
0.25,16.5,8.4,14.6,13.1,4.3
0.5,17.3,8.8,15.4,13.8,4.5
0.75,18.0,10.0,16.2,14.7,4.2
1.0,19.2,11.0,16.7,15.6,4.2
1.25,20.6,11.7,18.3,16.9,4.6
1.5,21.3,12.4,19.5,17.8,4.7
1.75,22.3,14.6,20.7,19.2,4.1
2.0,24.4,16.0,21.7,20.7,4.3
2.25,26.0,17.7,23.6,22.4,4.3
2.5,27.6,19.1,25.1,23.9,4.4
2.75,29.0,21.0,26.9,25.6,4.1
3.0,30.5,22.9,28.1,27.2,3.9
3.25,32.3,24.8,30.3,29.1,3.9
3.5,34.7,25.9,32.0,30.8,4.5
3.75,35.0,27.4,33.9,32.1,4.1
4.0,36.3,29.2,35.1,33.5,3.8
4.25,38.9,30.1,36.0,35.0,4.5
4.5,41.1,31.9,39.6,37.5,4.9
4.75,42.8,33.3,42.2,39.4,5.3
5.0,44.0,34.6,44.3,41.0,5.5
5.25,46.5,35.6,46.3,42.8,6.3
5.5,48.1,36.5,47.9,44.2,6.7
5.75,49.3,37.6,50.5,45.8,7.1
6.0,50.6,38.9,52.8,47.4,7.4
6.25,52.6,41.2,55.1,49.6,7.4
6.5,55.1,43.2,56.3,51.5,7.2
6.75,56.3,43.1,59.0,52.8,8.5
7.0,59.2,45.7,60.7,55.2,8.3
7.25,59.5,46.7,61.6,56.0,8.1
7.5,61.7,47.9,62.8,57.5,8.3
7.75,61.7,49.7,65.4,58.9,8.2
8.0,64.2,51.9,66.4,60.8,7.8
8.25,65.7,53.3,68.5,62.5,8.1
8.5,66.9,55.3,71.0,64.4,8.1
8.75,67.7,57.6,72.7,66.0,7.7
9.0,69.9,59.9,73.7,67.8,7.1
9.25,70.8,63.3,77.3,70.5,7.0
9.5,72.7,65.4,77.1,71.7,5.9
9.75,74.7,67.7,80.5,74.3,6.4
10.0,75.2,70.4,81.9,75.9,5.8
10.25,76.9,72.0,83.4,77.4,5.7
10.5,79.6,74.1,85.9,79.9,5.9
10.75,82.6,76.8,88.8,82.7,6.0
11.0,81.9,78.6,90.7,83.7,6.3
11.25,82.5,81.8,92.1,85.4,5.8
11.5,84.6,82.3,93.3,86.7,5.8
11.75,85.4,85.8,95.1,88.8,5.5
12.0,88.3,86.6,97.5,90.8,5.9
12.25,88.8,88.3,100.9,92.7,7.1
12.5,92.7,91.6,106.1,96.8,8.1
12.75,92.8,92.7,106.4,97.3,7.9
13.0,95.0,95.0,107.2,99.1,7.1
13.25,98.5,95.3,110.7,101.5,8.1
13.5,99.2,96.9,112.2,102.8,8.2
13.75,100.6,99.9,115.2,105.3,8.6
14.0,104.5,102.6,116.4,107.9,7.5
14.25,106.0,103.8,118.1,109.3,7.7
14.5,105.8,103.3,121.5,110.2,9.9
14.75,108.3,106.0,124.3,112.8,10.0
15.0,108.5,109.6,124.1,114.1,8.7
15.25,111.8,109.3,128.5,116.5,10.4
15.5,114.0,110.9,129.9,118.3,10.2
15.75,116.5,114.0,130.2,120.2,8.7
16.0,117.8,114.8,132.8,121.8,9.6
16.25,120.8,120.6,137.7,126.4,9.8
16.5,121.6,120.6,138.0,126.8,9.7
16.75,125.3,123.5,139.8,129.6,9.0
17.0,128.3,127.6,140.0,131.9,7.0
17.25,130.6,129.0,143.5,134.4,8.0
17.5,129.5,132.8,144.7,135.7,8.0
17.75,134.6,137.4,147.8,139.9,6.9
18.0,135.0,135.5,147.1,139.2,6.8
18.25,139.6,137.4,154.4,143.8,9.2
18.5,146.0,142.4,153.8,147.4,5.8
18.75,148.6,145.1,159.8,151.2,7.7
19.0,153.3,144.5,158.8,152.2,7.2
19.25,149.4,148.6,161.1,153.0,7.0
19.5,158.2,150.5,170.2,159.7,9.9
19.75,159.7,153.4,172.5,161.9,9.7
20.0,164.7,156.4,172.6,164.6,8.1
20.25,168.6,157.1,172.4,166.0,8.0
20.5,170.6,162.5,177.1,170.1,7.3
20.75,177.9,163.0,177.2,172.7,8.4
21.0,181.7,168.7,188.7,179.7,10.1
21.25,183.5,170.7,186.7,180.3,8.5
21.5,186.2,174.4,183.6,181.4,6.2
21.75,184.3,177.2,192.2,184.6,7.5
22.0,191.3,179.8,195.7,188.9,8.2
22.25,192.4,181.8,201.5,191.9,9.9
22.5,193.9,186.0,203.1,194.3,8.6
22.75,201.0,189.7,205.0,198.6,8.0
23.0,202.5,192.8,207.3,200.9,7.4
23.25,209.2,197.9,207.1,204.7,6.0
23.5,213.0,202.3,212.7,209.3,6.1
23.75,215.1,202.5,213.0,210.2,6.7
24.0,209.8,206.8,216.8,211.1,5.1
24.25,221.9,210.4,216.6,216.3,5.7
24.5,221.8,210.7,220.4,217.6,6.0
24.75,230.7,213.5,222.5,222.2,8.6
25.0,229.2,217.0,224.3,223.5,6.1
25.25,235.9,219.0,231.1,228.7,8.7
25.5,237.5,222.8,230.3,230.2,7.3
25.75,240.6,228.0,234.5,234.4,6.3
26.0,250.7,230.7,238.0,239.8,10.1
26.25,249.1,224.9,245.1,239.7,13.0
26.5,255.7,244.3,238.2,246.1,8.9
26.75,257.0,239.8,238.4,245.1,10.4
27.0,259.4,237.9,250.9,249.4,10.9
27.25,264.7,239.5,257.5,253.9,13.0
27.5,267.7,248.7,251.7,256.1,10.2
27.75,264.2,248.0,254.9,255.7,8.1
28.0,270.6,256.5,269.8,265.6,7.9
28.25,278.0,244.9,272.3,265.1,17.7
28.5,282.3,261.6,273.2,272.4,10.4
28.75,283.1,257.8,270.0,270.3,12.6
29.0,290.3,264.4,277.7,277.5,13.0
29.25,284.7,264.7,284.3,277.9,11.4
29.5,295.0,273.6,279.3,282.6,11.1
29.75,292.4,275.4,289.9,285.9,9.2
30.0,299.9,279.2,302.1,293.8,12.6
30.25,295.6,276.7,296.0,289.5,11.0
30.5,300.0,284.6,311.1,298.5,13.3
30.75,304.0,294.6,326.7,308.4,16.5
31.0,310.9,304.7,310.1,308.6,3.4
31.25,311.0,308.0,332.0,317.0,13.1
31.5,326.3,307.5,340.1,324.6,16.4
31.75,316.6,319.5,333.7,323.3,9.2
32.0,337.5,332.2,334.8,334.8,2.7
32.25,333.9,332.4,338.8,335.1,3.4
32.5,342.4,334.5,353.2,343.4,9.4
32.75,332.4,347.8,355.6,345.3,11.8
33.0,335.8,348.6,357.8,347.4,11.0
33.25,349.9,352.5,370.9,357.8,11.5
33.5,355.1,355.5,386.5,365.7,18.0
33.75,350.1,373.9,393.1,372.4,21.5
34.0,361.9,371.9,388.0,373.9,13.2
34.25,352.7,373.1,399.4,375.1,23.4
34.5,380.4,380.8,420.0,393.7,22.7
34.75,374.6,375.3,429.2,393.0,31.3
35.0,369.1,393.5,451.2,404.6,42.2
35.25,365.0,384.4,434.5,394.6,35.9
35.5,384.4,407.5,445.9,412.6,31.1
35.75,371.3,396.6,447.1,405.0,38.6
36.0,393.9,416.2,453.0,421.0,29.9
36.25,383.7,401.8,462.5,416.0,41.3
36.5,384.2,418.0,462.8,421.7,39.4
36.75,395.5,413.7,480.5,429.9,44.8
37.0,399.2,442.2,470.0,437.1,35.6
37.25,401.6,434.4,494.9,443.7,47.3
37.5,407.8,447.7,472.8,442.8,32.8
37.75,412.2,445.5,494.9,450.9,41.6
38.0,424.3,450.7,496.5,457.2,36.6
38.25,419.0,449.7,508.3,459.0,45.4
38.5,420.3,458.8,510.3,463.1,45.2
38.75,426.8,478.7,518.4,474.6,45.9
39.0,419.4,464.7,525.8,469.9,53.4
39.25,438.0,478.3,531.6,482.6,47.0
39.5,437.3,500.0,521.2,486.1,43.6
39.75,446.7,495.2,531.7,491.2,42.6
40.0,464.3,491.8,548.4,501.5,42.9
40.25,467.3,506.6,564.4,512.8,48.9
40.5,446.0,500.7,567.5,504.7,60.9
40.75,469.1,518.5,562.8,516.8,46.9
41.0,479.3,529.3,571.5,526.7,46.2
41.25,502.2,535.2,575.3,537.5,36.6
41.5,487.4,532.1,613.8,544.4,64.1
41.75,495.4,526.2,605.2,542.3,56.6
42.0,494.8,539.3,613.8,549.3,60.2
42.25,499.3,553.3,617.7,556.8,59.3
42.5,492.3,552.6,628.5,557.8,68.2
42.75,502.5,563.9,627.0,564.4,62.3
43.0,537.9,586.4,626.6,583.7,44.4
43.25,511.9,593.0,639.3,581.4,64.5
43.5,532.5,578.3,663.8,591.5,66.7
43.75,549.8,619.5,668.7,612.7,59.8
44.0,529.9,594.0,686.8,603.6,78.9
44.25,534.2,631.4,675.6,613.7,72.3
44.5,546.5,607.2,642.8,598.8,48.7
44.75,559.1,633.4,707.6,633.4,74.3
45.0,555.6,602.7,695.5,617.9,71.2
45.25,572.6,633.0,687.2,630.9,57.3
45.5,586.8,661.6,704.7,651.0,59.6
45.75,591.4,696.3,720.2,669.3,68.5
46.0,596.6,643.8,732.6,657.7,69.1
46.25,612.1,638.2,736.4,662.2,65.6
46.5,605.3,670.6,719.9,665.3,57.5
46.75,609.1,691.2,698.6,666.3,49.7
47.0,606.3,680.1,711.7,666.0,54.1
47.25,600.6,711.3,743.7,685.2,75.0
47.5,644.2,643.1,696.5,661.3,30.5
47.75,638.3,649.6,784.7,690.9,81.5
48.0,611.3,659.0,716.6,662.3,52.7
48.25,639.6,728.1,733.9,700.5,52.8
48.5,668.7,695.5,754.9,706.4,44.1
48.75,658.3,702.8,761.6,707.6,51.8
49.0,647.2,694.2,792.3,711.2,74.0
49.25,672.8,753.6,772.6,733.0,53.0
49.5,661.4,735.3,778.7,725.2,59.3
49.75,675.9,719.3,775.2,723.5,49.8
50.0,675.2,722.7,803.5,733.8,64.8
50.25,668.0,733.7,798.3,733.3,65.1
50.5,701.2,735.1,826.6,754.3,64.9
50.75,673.9,752.7,838.7,755.1,82.4
51.0,662.9,719.7,839.3,740.6,90.0
51.25,710.9,754.0,807.2,757.4,48.3
51.5,690.1,736.7,853.1,760.0,83.9
51.75,706.8,754.5,891.1,784.1,95.7
52.0,751.7,768.3,864.4,794.8,60.9
52.25,717.0,781.2,831.0,776.4,57.1
52.5,757.0,772.1,842.8,790.6,45.8
52.75,739.6,814.6,842.4,798.9,53.2
53.0,706.5,763.3,909.7,793.2,104.8
53.25,752.9,836.5,912.4,833.9,79.8
53.5,766.6,822.2,973.4,854.1,107.0
53.75,788.4,816.2,960.5,855.0,92.4
54.0,769.6,907.2,855.0,844.0,69.5
54.25,814.3,842.4,952.0,869.6,72.7
54.5,832.7,789.1,931.4,851.1,72.9
54.75,785.4,809.5,942.9,845.9,84.8
55.0,830.4,914.2,975.8,906.8,73.0
55.25,796.3,816.8,1012.4,875.2,119.3
55.5,871.7,859.9,1014.2,915.3,85.8
55.75,865.9,846.2,893.9,868.7,24.0
56.0,837.6,876.4,1001.0,905.0,85.4
56.25,835.4,837.0,961.4,877.9,72.3
56.5,857.6,943.0,1067.6,956.0,105.6
56.75,862.3,917.0,993.6,924.3,66.0
57.0,858.4,912.7,1039.7,937.0,93.0
57.25,910.6,854.8,998.4,921.3,72.4
57.5,888.2,955.1,1013.2,952.2,62.5
57.75,967.7,964.1,1002.4,978.1,21.1
58.0,868.0,917.6,998.3,928.0,65.8
58.25,865.3,884.3,999.2,916.2,72.4
58.5,950.7,927.8,1055.0,977.8,67.8
58.75,930.8,928.1,1048.9,969.3,69.0
59.0,948.7,962.7,1101.6,1004.3,84.5
59.25,913.3,990.7,1055.4,986.5,71.2
59.5,909.7,983.1,1055.2,982.7,72.8
59.75,895.8,937.4,1041.2,958.1,74.9
60.0,1002.2,1018.5,1179.6,1066.8,98.1
60.25,983.1,976.5,1083.9,1014.5,60.2
60.5,957.7,1068.7,1135.2,1053.8,89.7
60.75,982.7,1065.5,1120.5,1056.2,69.4
61.0,967.2,1129.7,1153.1,1083.3,101.3
61.25,977.7,1060.8,1081.8,1040.1,55.1
61.5,991.9,1083.6,1208.9,1094.8,108.9
61.75,934.9,1029.1,1171.9,1045.3,119.3
62.0,967.7,1092.0,1099.7,1053.1,74.1
62.25,1091.1,998.9,1154.6,1081.5,78.3
62.5,935.4,1134.0,1369.8,1146.4,217.4
62.75,1054.2,1111.1,1100.6,1088.6,30.3
63.0,1056.8,1109.8,1168.3,1111.6,55.8
63.25,1012.9,1087.6,1362.5,1154.3,184.1
63.5,1101.4,1055.5,1148.1,1101.7,46.3
63.75,1099.0,1122.8,1154.4,1125.4,27.8
64.0,1057.6,1069.7,1273.5,1133.6,121.3
64.25,1136.0,1307.7,1136.6,1193.4,98.9
64.5,1124.9,1155.3,1330.1,1203.4,110.8
64.75,1210.4,1172.0,1208.5,1197.0,21.6
65.0,1093.4,1229.3,1185.8,1169.5,69.4
65.25,1060.0,1141.5,1100.2,1100.6,40.8
65.5,1183.1,1261.3,1315.6,1253.3,66.6
65.75,1138.2,1219.8,1346.6,1234.9,105.0
66.0,1153.9,1190.7,1310.3,1218.3,81.8
66.25,1188.6,1273.2,1296.2,1252.7,56.6
66.5,1202.0,1177.8,1408.3,1262.7,126.7
66.75,1275.1,1289.0,1483.7,1349.3,116.6
67.0,1174.8,1249.8,1284.7,1236.4,56.1
67.25,1158.0,1234.6,1434.1,1275.6,142.5
67.5,1146.3,1174.0,1356.8,1225.7,114.4
67.75,1195.3,1298.6,1379.9,1291.2,92.5
68.0,1191.9,1276.7,1333.6,1267.4,71.3
68.25,1311.0,1405.1,1257.9,1324.7,74.6
68.5,1266.6,1290.9,1436.1,1331.2,91.7
68.75,1396.8,1344.6,1416.8,1386.0,37.3
69.0,1259.0,1258.5,1306.3,1274.6,27.5
69.25,1220.4,1378.6,1591.5,1396.9,186.2
69.5,1395.5,1432.0,1422.9,1416.8,19.0
69.75,1487.3,1353.7,1389.0,1410.0,69.2
70.0,1391.4,1392.5,1521.6,1435.2,74.8
70.25,1465.4,1495.6,1440.1,1467.0,27.8
70.5,1257.7,1487.0,1499.3,1414.7,136.1
70.75,1398.5,1640.3,1410.3,1483.1,136.3
71.0,1320.3,1356.2,1455.2,1377.3,69.9
71.25,1455.7,1554.7,1640.0,1550.1,92.2
71.5,1406.9,1462.4,1644.6,1504.6,124.3
71.75,1449.9,1555.5,1337.1,1447.5,109.2
72.0,1452.9,1324.3,1467.6,1414.9,78.8
72.25,1579.0,1470.3,1585.1,1544.8,64.6
72.5,1546.8,1408.7,1470.3,1475.3,69.2
72.75,1461.8,1452.1,1632.2,1515.4,101.3
73.0,1634.7,1481.0,1614.0,1576.6,83.4
73.25,1597.6,1555.6,1525.2,1559.4,36.4
73.5,1629.8,1574.9,1551.4,1585.4,40.2
73.75,1572.7,1494.4,1815.5,1627.5,167.5
74.0,1700.1,1582.6,1501.1,1594.6,100.0
74.25,1687.7,1454.5,1608.8,1583.7,118.6
74.5,1411.6,1781.4,1636.8,1609.9,186.3
74.75,1793.8,1344.5,1656.6,1598.3,230.3
75.0,1721.8,1615.4,1512.1,1616.4,104.9
75.25,1876.1,1782.4,1529.0,1729.2,179.6
75.5,1643.8,1617.2,1515.0,1592.0,68.0
75.75,1492.1,1635.0,1892.1,1673.1,202.7
76.0,1716.9,1517.1,1618.5,1617.5,99.9
76.25,1517.5,1464.6,1733.8,1572.0,142.6
76.5,1898.6,1680.1,1930.9,1836.5,136.5
76.75,1739.4,1632.5,1602.9,1658.3,71.8
77.0,1531.7,1466.4,1541.1,1513.1,40.7
77.25,1831.7,1467.2,1646.6,1648.5,182.3
77.5,1787.9,1556.1,1768.7,1704.2,128.6
77.75,1866.4,1731.0,1714.1,1770.5,83.5
78.0,1784.0,1663.1,1804.8,1750.7,76.5
78.25,1643.8,1707.4,1693.5,1681.6,33.5
78.5,1791.2,1519.4,1632.2,1647.6,136.6
78.75,1734.8,1716.4,1742.7,1731.3,13.5
79.0,1814.1,1575.3,1533.2,1640.9,151.5
79.25,2205.9,1781.2,2102.0,2029.7,221.4
79.5,1824.9,1832.5,1871.0,1842.8,24.7
79.75,1965.2,1899.0,1598.4,1820.9,195.5
80.0,1915.9,1832.5,1768.1,1838.9,74.1
80.25,1867.4,1948.3,1700.5,1838.7,126.4
80.5,2079.9,1843.0,1820.9,1914.6,143.6
80.75,1921.2,1676.0,1792.4,1796.5,122.7
81.0,1970.3,2002.9,1840.2,1937.8,86.1
81.25,1557.2,1942.2,1844.3,1781.2,200.1
81.5,2238.6,1790.7,1741.5,1923.6,273.9
81.75,1946.8,2003.5,1940.1,1963.5,34.8
82.0,1617.2,1852.5,1735.7,1735.1,117.6
82.25,1819.4,1916.4,1865.8,1867.2,48.5
82.5,2257.9,1891.9,1969.1,2039.6,192.9
82.75,1990.8,1853.7,1641.1,1828.5,176.2
83.0,1907.0,2054.2,1738.0,1899.8,158.2
83.25,2287.2,1835.2,2004.8,2042.4,228.3
83.5,2120.5,1925.2,1830.6,1958.8,147.8
83.75,2040.5,2034.0,1616.7,1897.1,242.8
84.0,1798.4,2096.9,2082.4,1992.6,168.3
84.25,1968.8,2204.5,2108.3,2093.9,118.5
84.5,1876.0,2046.0,1977.1,1966.4,85.5
84.75,2086.8,1835.8,1654.1,1858.9,217.2
85.0,1913.6,1976.1,1879.2,1923.0,49.2
85.25,1904.1,2035.7,1941.3,1960.4,67.8
85.5,2064.9,1874.0,1943.2,1960.7,96.7
85.75,1626.5,2162.6,2034.2,1941.1,280.0
86.0,2280.2,1900.8,1724.3,1968.5,284.1
86.25,2014.0,1935.5,1903.3,1950.9,57.0
86.5,2148.9,1850.7,1964.6,1988.1,150.5
86.75,1962.6,1871.3,1794.4,1876.1,84.2
87.0,2014.9,1629.4,2055.3,1899.9,235.1
87.25,2043.6,2168.4,2098.7,2103.6,62.6
87.5,1931.0,2043.6,2009.6,1994.7,57.8
87.75,2138.7,1896.3,1978.8,2004.6,123.3
88.0,2299.3,2070.1,2150.0,2173.1,116.3
88.25,2065.3,1920.2,1738.3,1907.9,163.9
88.5,2024.6,2021.1,2247.8,2097.8,129.8
88.75,2053.7,2231.5,2037.8,2107.6,107.5
89.0,2092.6,2004.1,2177.0,2091.2,86.5
89.25,2144.5,2207.8,2043.0,2131.8,83.2
89.5,1989.8,2231.8,2124.0,2115.2,121.2
89.75,1982.6,1811.1,1849.4,1881.0,90.0
90.0,2036.6,2198.7,2265.8,2167.0,117.8
90.25,1958.8,1931.0,2198.3,2029.4,147.0
90.5,2040.7,2019.0,1981.3,2013.7,30.0
90.75,2054.2,1919.6,2281.0,2084.9,182.6
91.0,2046.0,2141.3,2094.4,2093.9,47.7
91.25,2277.0,1963.7,2275.4,2172.1,180.4
91.5,2034.4,1841.4,2288.6,2054.8,224.3
91.75,2034.7,2107.0,2169.7,2103.8,67.5
92.0,1922.0,2003.7,2427.7,2117.8,271.5
92.25,2021.2,1733.5,2159.4,1971.3,217.3
92.5,2118.8,1918.3,2493.8,2177.0,292.1
92.75,1913.7,2368.9,2288.6,2190.4,243.0
93.0,1940.6,1739.4,2126.8,1935.6,193.7
93.25,2043.4,1809.7,2012.9,1955.4,127.0
93.5,1873.3,2147.6,2429.3,2150.1,278.0
93.75,1987.6,1912.3,2313.2,2071.0,213.1
94.0,1698.3,2181.7,1973.9,1951.3,242.5
94.25,1853.2,1599.7,2141.4,1864.8,271.0
94.5,1855.1,1718.7,2302.3,1958.7,305.3
94.75,2067.4,2363.6,2370.7,2267.2,173.1
95.0,1860.6,1944.6,2323.8,2043.0,246.8
95.25,2000.4,2071.4,2343.9,2138.5,181.3
95.5,1973.7,2039.3,2865.9,2293.0,497.3
95.75,2041.2,1938.1,2282.6,2087.3,176.8
96.0,1980.4,1795.6,1972.2,1916.1,104.4
96.25,2033.3,1789.4,1998.0,1940.2,131.8
96.5,1919.7,2209.5,2352.0,2160.4,220.3
96.75,1849.5,2295.5,1905.4,2016.8,243.0
97.0,1911.7,1878.8,2079.3,1956.6,107.5
97.25,1910.6,1961.5,2605.8,2159.3,387.5
97.5,1888.2,1732.0,2512.9,2044.3,413.2
97.75,1814.6,2164.3,2283.6,2087.5,243.8
98.0,1779.9,2148.6,2491.2,2139.9,355.7
98.25,1975.7,1863.7,2101.3,1980.2,118.8
98.5,1819.0,1966.9,2480.0,2088.6,346.9
98.75,1759.9,2176.9,2728.5,2221.8,485.9
99.0,1793.7,1913.4,2148.4,1951.8,180.4
99.25,1989.1,1950.7,2487.7,2142.5,299.5
99.5,1900.9,1987.9,2398.0,2095.6,265.5
99.75,2021.0,2057.1,2108.3,2062.1,43.9
100.0,1860.2,1867.5,2992.9,2240.2,651.9
100.25,1873.6,1967.6,2241.1,2027.4,190.9
100.5,1744.0,2061.2,1897.6,1901.0,158.6
100.75,1761.7,1915.9,2643.7,2107.1,471.0
101.0,1674.5,1893.1,2843.9,2137.2,621.7
101.25,1757.8,1842.3,2099.1,1899.7,177.7
101.5,1851.4,2157.8,2778.2,2262.5,472.2
101.75,1887.9,1843.7,2184.7,1972.1,185.5
102.0,1851.9,2102.7,2185.2,2046.6,173.6
102.25,1590.0,1812.1,2454.0,1952.0,448.7
102.5,1790.4,2182.5,2918.1,2297.0,572.5
102.75,1781.7,1770.9,2317.7,1956.8,312.6
103.0,1675.7,2077.6,2467.3,2073.5,395.8
103.25,1755.7,1924.8,2305.6,1995.4,281.6
103.5,1763.3,1829.4,2625.1,2072.6,479.6
103.75,1723.7,1980.8,2467.3,2057.3,377.7
104.0,1617.7,2120.4,2353.9,2030.7,376.2
104.25,1740.3,1673.9,2264.3,1892.8,323.4
104.5,1806.7,2096.3,2641.9,2181.6,424.1
104.75,1648.7,1871.8,2285.5,1935.3,323.1
105.0,1755.4,2056.1,2854.1,2221.8,567.8
105.25,1629.7,1730.4,2766.9,2042.3,629.5
105.5,1684.7,1910.3,2246.6,1947.2,282.7
105.75,1681.0,1919.3,2363.3,1987.9,346.3
106.0,1774.7,1946.4,2729.3,2150.1,508.9
106.25,1601.8,1958.4,2625.0,2061.7,519.3
106.5,1642.9,1999.6,2642.3,2094.9,506.5
106.75,1542.3,2146.8,2388.6,2025.9,435.9
107.0,1662.1,2029.1,2505.7,2065.6,423.0
107.25,1822.7,1862.4,2193.7,1959.6,203.7
107.5,1691.9,1863.6,2351.6,1969.1,342.3
107.75,1673.1,1936.8,2457.8,2022.5,399.3
108.0,1506.3,2112.1,2428.5,2015.6,468.6
108.25,1502.2,1739.4,2164.3,1802.0,335.4
108.5,1668.9,1806.2,2621.7,2032.3,515.1
108.75,1641.1,2050.7,2168.5,1953.4,276.8
109.0,1593.2,1998.7,2428.5,2006.8,417.7
109.25,1707.0,1960.3,2463.7,2043.6,385.2
109.5,1631.5,2107.6,2162.4,1967.2,292.0
109.75,1625.0,1798.3,2409.3,1944.2,412.0
110.0,1668.0,2005.0,2154.3,1942.4,249.1
110.25,1538.0,1736.2,2317.8,1864.0,405.3
110.5,1635.2,1747.5,1992.6,1791.8,182.8
110.75,1672.8,1958.9,2134.3,1922.0,233.0
111.0,1721.5,1997.1,2293.1,2003.9,285.9
111.25,1517.3,1968.6,2179.0,1888.3,338.1
111.5,1649.9,2153.7,2075.2,1959.6,271.1
111.75,1653.5,1940.6,2346.2,1980.1,348.0
112.0,1830.0,1793.3,2274.3,1965.9,267.8
112.25,1424.8,1998.7,2217.4,1880.3,409.4
112.5,1692.8,1808.3,2081.7,1860.9,199.7
112.75,1675.6,1906.6,2166.6,1916.2,245.6
113.0,1582.2,1815.1,2133.7,1843.7,276.9
113.25,1491.3,1752.5,1945.6,1729.8,228.0
113.5,1656.6,1837.7,2013.8,1836.0,178.6
113.75,1560.7,1644.0,2119.1,1774.6,301.3
114.0,1596.0,1931.5,1866.4,1798.0,177.9
114.25,1506.9,1911.6,1866.5,1761.7,221.8
114.5,1532.0,1675.8,1858.6,1688.8,163.7
114.75,1779.1,1774.6,1917.7,1823.8,81.4
115.0,1528.7,1853.7,1931.8,1771.4,213.7
115.25,1561.7,1727.2,1841.2,1710.0,140.6
115.5,1511.1,1739.4,1903.0,1717.8,196.8
115.75,1632.5,1820.6,1750.4,1734.5,95.1
116.0,1609.8,1808.4,1701.2,1706.4,99.4
116.25,1552.9,1828.1,1824.5,1735.2,157.9
116.5,1426.9,1814.0,1715.7,1652.2,201.2
116.75,1501.7,1820.5,1724.7,1682.3,163.6
117.0,1580.3,1777.9,1690.7,1683.0,99.0
117.25,1549.3,1591.6,1681.8,1607.6,67.6
117.5,1407.8,1669.0,1638.3,1571.7,142.8
117.75,1652.1,1622.0,1680.3,1651.5,29.1
118.0,1475.7,1593.5,1654.1,1574.4,90.7
118.25,1571.6,1752.0,1595.5,1639.7,98.0
118.5,1479.1,1625.0,1634.7,1579.6,87.2
118.75,1583.8,1723.3,1614.9,1640.7,73.2
119.0,1514.9,1629.8,1587.1,1577.3,58.1
119.25,1658.3,1614.9,1530.3,1601.2,65.1
119.5,1493.3,1555.0,1530.5,1526.3,31.1
119.75,1441.5,1721.7,1490.4,1551.2,149.6
120.0,1587.1,1698.0,1451.3,1578.8,123.6
120.25,1525.4,1599.8,1428.2,1517.8,86.0
120.5,1550.2,1616.0,1382.0,1516.1,120.7
120.75,1505.1,1604.4,1356.7,1488.7,124.7
121.0,1634.8,1572.2,1309.6,1505.5,172.5
121.25,1528.2,1470.2,1285.9,1428.1,126.5
121.5,1590.5,1538.0,1241.0,1456.5,188.5
121.75,1487.4,1568.3,1194.2,1416.6,196.8
122.0,1526.4,1623.4,1157.9,1435.9,245.6
122.25,1457.9,1497.0,1123.1,1359.3,205.5
122.5,1407.2,1529.1,1088.3,1341.5,227.6
122.75,1626.1,1545.0,1042.8,1404.6,316.0
123.0,1577.7,1498.7,991.0,1355.8,318.4
123.25,1433.8,1536.0,955.9,1308.6,309.7
123.5,1459.9,1428.3,941.9,1276.7,290.4
123.75,1397.2,1469.5,873.8,1246.8,325.1
