LABORATORY,FSRI 
TEST IDENT,LDPE_HF25_3
OPERATOR,Dow
MATERIAL,LDPE
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04156731069087982
SPEC HOLDER DIFF,301.45001220703125
SPECIMEN MASS,30
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1762
TIME TO IGN,103.5
END OF TEST SCAN,1282
END OF TEST TIME,320.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.66 x 100.06 x 3.03 mm
POST TEST CMT,"sample warped prior to ignition and touch the spark ignitor, affecting mass data"
