##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/mW,DTG(subtr.2)/(mg/min),Sensit./(uV/mW)
49.818,10.00917,-0.03467,-0.11857999999999999,0.0,1.0358399999999999
49.918,11.03262,-0.03731264,-0.10834,-0.0029359909999999998,1.0358399999999999
50.018,11.3894,-0.03883001,-0.10176,-0.002286366,1.03583
50.118,11.63154,-0.03882979,-0.09955661,-0.002232506,1.03583
50.218,11.82198,-0.0401435,-0.08307251,-0.0019110479999999998,1.03582
50.318,11.986089999999999,-0.03595086,-0.08296171,-0.0019807460000000002,1.03582
50.418,12.13376,-0.03996932,-0.06418509,-0.002086456,1.0358100000000001
50.518,12.267389999999999,-0.03810752,-0.06442509,-0.0018830989999999998,1.0358100000000001
50.618,12.39098,-0.03971578,-0.06013602,-0.002022407,1.0358
50.718,12.50588,-0.03927647,-0.04087974,-0.002084802,1.0358
50.818,12.614360000000001,-0.03873074,-0.05088253,-0.002124207,1.03579
50.918,12.71594,-0.03852513,-0.04459234,-0.001874355,1.03579
51.018,12.81215,-0.04188556,-0.04403356,-0.001935444,1.03578
51.118,12.90587,-0.04059126,-0.03835023,-0.002078022,1.03578
51.218,12.99656,-0.04191245,-0.03997529,-0.001893637,1.03577
51.318,13.08419,-0.04049847,-0.03292206,-0.001918906,1.03577
51.418,13.1691,-0.04201,-0.03022018,-0.002167964,1.03576
51.518,13.251510000000001,-0.04163521,-0.02656782,-0.002017107,1.03576
51.618,13.33165,-0.04297539,-0.02696528,-0.001926281,1.03575
51.718,13.41009,-0.04165679,-0.02613965,-0.001755633,1.03575
51.818,13.48741,-0.04026651,-0.02262212,-0.00167298,1.0357399999999999
51.918,13.56155,-0.04150841,-0.01940767,-0.001745477,1.0357399999999999
52.018,13.634920000000001,-0.04166706,-0.002355856,-0.0018936060000000002,1.0357299999999998
52.118,13.70674,-0.04158089,-0.004922654,-0.001531744,1.03572
52.218,13.77762,-0.04167052,-0.004031925,-0.001832056,1.03572
52.318,13.84781,-0.04168005,-0.006409191,-0.001973228,1.0357100000000001
52.418,13.91651,-0.04309291,-0.009359938,-0.001937165,1.0357100000000001
52.518,13.983839999999999,-0.04181364,-0.0037054809999999996,-0.001664341,1.0357
52.618,14.05101,-0.0418005,-0.007737385,-0.0016099520000000002,1.0357
52.718,14.11699,-0.04233446,0.0007696869,-0.001695277,1.03569
52.818,14.182210000000001,-0.04309625,0.004065665,-0.0017105820000000002,1.03568
52.918,14.247370000000002,-0.04359449,0.008324735,-0.0014971939999999999,1.03568
53.018,14.31078,-0.04322734,0.005404193000000001,-0.001566211,1.03567
53.118,14.37359,-0.0431143,0.000970741,-0.001773324,1.03567
53.218,14.4347,-0.04313523,0.00236827,-0.002019019,1.03566
53.318,14.496120000000001,-0.04310629,-3.3918179999999995e-05,-0.001931641,1.03565
53.418,14.55686,-0.04328419,0.003368043,-0.00308215,1.03565
53.518,14.616420000000002,-0.04441935,0.01310092,-0.0011417530000000001,1.03564
53.618,14.67636,-0.04301301,0.01308103,-0.001451407,1.0356299999999998
53.718,14.73525,-0.04408721,0.01458435,-0.0019644610000000002,1.0356299999999998
53.818,14.79372,-0.04443486,0.009167354,-0.0020343410000000003,1.03562
53.918,14.851370000000001,-0.04491214,0.009228597,-0.0023524460000000002,1.0356100000000001
54.018,14.90846,-0.04469225,0.01520475,-0.002153699,1.0356100000000001
54.118,14.96512,-0.04507888,0.02430229,-0.002002143,1.0356
54.218,15.02179,-0.04511617,0.03071217,-0.00214854,1.0356
54.318,15.077620000000001,-0.04442041,0.03377576,-0.002220006,1.03559
54.418,15.133820000000002,-0.04447582,0.02058837,-0.00229897,1.03558
54.518,15.188479999999998,-0.04575874,0.03070346,-0.002385233,1.03558
54.618,15.242870000000002,-0.0444268,0.03067818,-0.002264966,1.03557
54.718,15.29744,-0.04443969,0.0394085,-0.002135789,1.03556
54.818,15.35085,-0.04441408,0.02808145,-0.001823525,1.03556
54.918,15.40361,-0.04543771,0.03099489,-0.0018170929999999999,1.03555
55.018,15.456079999999998,-0.04534535,0.03323085,-0.00205061,1.03554
55.118,15.5083,-0.04573789,0.03662049,-0.0019350139999999999,1.0355299999999998
55.218,15.560139999999999,-0.04567645,0.03665394,-0.0016892720000000001,1.0355299999999998
55.318,15.61214,-0.04559795,0.04063516,-0.001931665,1.03552
55.418,15.663520000000002,-0.04612739,0.04149824,-0.001873998,1.03551
55.518,15.714429999999998,-0.04705988,0.03533882,-0.0016166879999999998,1.03551
55.618,15.765229999999999,-0.04705998,0.04040313,-0.001620632,1.0355
55.718,15.81541,-0.04707211,0.03508296,-0.00182316,1.03549
55.818,15.865689999999999,-0.04708163,0.04058373,-0.0017817870000000002,1.03548
55.918,15.91569,-0.04705998,0.04113294,-0.0018773470000000001,1.03548
56.018,15.965229999999998,-0.04706457,0.04108939,-0.002031795,1.0354700000000001
56.118,16.01462,-0.04717085,0.04691227,-0.002141623,1.03546
56.218,16.06369,-0.04717057,0.04470272,-0.002238962,1.03546
56.318,16.11245,-0.04641266,0.04517745,-0.002217284,1.03545
56.418,16.16006,-0.04717025,0.04958846,-0.001939247,1.03544
56.518,16.20864,-0.04688227,0.04996609,-0.002127726,1.0354299999999999
56.618,16.2562,-0.04584828,0.05578054,-0.002297179,1.03542
56.718,16.30357,-0.04744244,0.05348398,-0.002167985,1.03542
56.818,16.35107,-0.04891867,0.05224325,-0.002186476,1.03541
56.918,16.39776,-0.04892007,0.04992308,-0.002156209,1.0354
57.018,16.44473,-0.04878537,0.04946288,-0.0018372360000000001,1.03539
57.118,16.49165,-0.04898205,0.0550756,-0.001705636,1.03539
57.218,16.53794,-0.04761043,0.06124497,-0.002014815,1.03538
57.318,16.58417,-0.04761,0.05659028,-0.0020591579999999997,1.0353700000000001
57.418,16.63046,-0.04760998,0.05763922,-0.002262257,1.03536
57.518,16.676579999999998,-0.04759859,0.06056597,-0.002444256,1.03535
57.618,16.72243,-0.04758792,0.06415557,-0.002384511,1.03535
57.718,16.76838,-0.04759999,0.06635705,-0.002133682,1.03534
57.818,16.814410000000002,-0.04759953,0.06481764,-0.0019870720000000003,1.0353299999999999
57.918,16.86048,-0.04897827,0.06291901,-0.001979442,1.03532
58.018,16.90585,-0.04892234,0.05950522,-0.001951431,1.03531
58.118,16.951629999999998,-0.05006163,0.06841696,-0.001970426,1.03531
58.218,16.99671,-0.04891615,0.06368939,-0.001953527,1.0353
58.318,17.041220000000003,-0.04892579,0.06396763,-0.001995865,1.03529
58.418,17.08625,-0.05036112,0.06300194,-0.002084362,1.03528
58.518,17.13061,-0.04891964,0.06182121,-0.002035023,1.0352700000000001
58.618,17.17511,-0.04891996,0.0645838,-0.0021581120000000002,1.03526
58.718,17.21919,-0.04892008,0.05969802,-0.002254711,1.03526
58.818,17.26303,-0.04963907,0.06915991,-0.002223859,1.03525
58.918,17.30667,-0.04925062,0.06439477,-0.002776855,1.03524
59.018,17.35021,-0.04924871,0.06409331,-0.004133813,1.0352299999999999
59.118,17.3935,-0.05047318,0.06505751,-0.00318326,1.03522
59.218,17.436870000000003,-0.0502196,0.0634243,-0.002088973,1.03521
59.318,17.47956,-0.04892024,0.05619997,-0.0017026510000000001,1.0352
59.418,17.522479999999998,-0.05024674,0.06887014,-0.001613165,1.03519
59.518,17.5651,-0.05024003,0.06355639,-0.001626456,1.03519
59.618,17.60755,-0.05024,0.06413936,-0.001766859,1.03518
59.718,17.65005,-0.05023999,0.07214679,-0.001965948,1.0351700000000001
59.818,17.692320000000002,-0.05023511,0.06563464,-0.0019028089999999999,1.03516
59.918,17.734779999999997,-0.0515361,0.0760525,-0.0017249720000000002,1.03515
60.018,17.776970000000002,-0.05019809,0.07795652,-0.0020631679999999998,1.03514
60.118,17.819129999999998,-0.05024054,0.07666769,-0.0021486260000000003,1.0351299999999999
60.218,17.86101,-0.05148011,0.0692758,-0.001960965,1.03512
60.318,17.90296,-0.05124393,0.06614002,-0.0016126089999999999,1.03511
60.418,17.9448,-0.05123006,0.07323417,-0.0009664771,1.0351
60.518,17.9863,-0.05123,0.07493037,-0.0007802028,1.0351
60.618,18.02763,-0.05123001,0.07759799,-0.001165593,1.03509
60.718,18.06918,-0.05122997,0.0796023,-0.001442242,1.03508
60.818,18.11051,-0.0499115,0.07800142,-0.001746516,1.0350700000000002
60.918,18.15171,-0.05024626,0.07496496,-0.002006119,1.03506
61.018,18.19301,-0.05160279,0.0828731,-0.001904895,1.03505
61.118,18.23402,-0.05070757,0.0782188,-0.00172298,1.03504
61.218,18.27515,-0.05023149,0.07541061,-0.0016577220000000001,1.03503
61.318,18.31618,-0.05023183,0.07378065,-0.001672166,1.03502
61.418,18.35716,-0.05102657,0.07950823,-0.001685501,1.03501
61.518,18.39797,-0.05155018,0.08617999,-0.0016026760000000001,1.035
61.618,18.438570000000002,-0.05155812,0.08349276,-0.0017056520000000002,1.0349899999999999
61.718,18.478939999999998,-0.05287028,0.07979709,-0.001859538,1.03498
61.818,18.51925,-0.05286747,0.07445945,-0.00192368,1.0349700000000002
61.918,18.55954,-0.05191304,0.08173119,-0.001912222,1.03496
62.018,18.59981,-0.0525396,0.09193993,-0.00197303,1.03495
62.118,18.64003,-0.05254004,0.09026062,-0.002242767,1.03494
62.218,18.68021,-0.05254988,0.08885391,-0.0024372589999999998,1.03493
62.318,18.72044,-0.05122026,0.08131843,-0.002460738,1.03492
62.418,18.76004,-0.05158218,0.08938764,-0.002720962,1.03491
62.518,18.79972,-0.0528711,0.08930551,-0.0028389340000000004,1.0349
62.618,18.8395,-0.05287001,0.0905933,-0.002542103,1.0348899999999999
62.718,18.87922,-0.05287,0.09065357,-0.002280507,1.03488
62.818,18.91895,-0.05286999,0.08249411,-0.0021257470000000003,1.0348700000000002
62.918,18.95852,-0.05286105,0.08722406,-0.0020194370000000002,1.0348600000000001
63.018,18.99803,-0.05154859,0.09156161,-0.001748515,1.03485
63.118,19.037329999999997,-0.05155077,0.09323015,-0.0015109470000000001,1.03484
63.218,19.07664,-0.05200474,0.09170015,-0.001392177,1.03483
63.318,19.11585,-0.05173008,0.09557112,-0.001206055,1.03482
63.418,19.15486,-0.05290233,0.09334946,-0.001117906,1.03481
63.518,19.19379,-0.05483991,0.09016763,-0.001115544,1.0348
63.618,19.23293,-0.05485022,0.09691504,-0.001123375,1.0347899999999999
63.718,19.271910000000002,-0.05485002,0.089568,-0.001125941,1.03478
63.818,19.31094,-0.05485233,0.09271171,-0.001115886,1.03477
63.918,19.34972,-0.05353767,0.09829589,-0.001079194,1.03475
64.018,19.3886,-0.05352995,0.10664000000000001,-0.0008730928,1.03474
64.118,19.4274,-0.05352998,0.10338,-0.0002632605,1.03473
64.218,19.4662,-0.05352404,0.09391231,0.0005084044,1.03472
64.318,19.504179999999998,-0.05301102,0.09766123,0.0009044958999999999,1.03471
64.418,19.54277,-0.05317429,0.09442978,0.00024134369999999998,1.0347
64.518,19.581129999999998,-0.05353553,0.09253008,-0.000735775,1.0346899999999999
