Time after Ignition,Overstuffed_Chair_Polyurethane_Foam_R1,Overstuffed_Chair_Polyurethane_Foam_R2,Overstuffed_Chair_Polyurethane_Foam_R3,Mean,Std. Dev.
0.0,33.55988718852538,29.515751228579905,6.911155367875561,23.328931261660284,14.36127720258665
0.25,38.71177827889893,34.021107047861356,7.879197238691295,26.870694188483856,16.613498019529366
0.5,46.98948428545975,33.795948026046624,8.839319228198576,29.874917179901654,19.37497446827694
0.75,57.3903711863091,37.37770174044811,14.146769983539095,36.304947636765434,21.641750443789867
1.0,63.21007785683015,41.060918213347726,19.53375077838408,41.26824894952065,21.838901673194826
1.25,77.70116187929202,51.83848707129384,24.232325439646353,51.257324796744065,26.73915536707199
1.5,90.08406549208208,60.51307770223929,28.36900620982287,59.65538313471475,30.8664683035096
1.75,100.48649451349503,68.08205838554038,39.70862787802701,69.42572692568747,30.411204383401525
2.0,109.22642389500568,77.61111613645039,48.77697728988757,78.53817244044787,30.235384465214636
2.25,117.46652141129624,92.92848232072402,56.76202163252318,89.05234178818114,30.537311971075336
2.5,130.41395900388045,106.96641038328931,64.62131300816301,100.66722746511091,33.34558210403518
2.75,142.61864489675796,115.39614099518947,82.55852249059292,113.52443612751345,30.073776536953975
3.0,148.82840841647493,128.70009943773394,96.80448903070989,124.77766562830625,26.23282604497943
3.25,156.9285815897067,136.69331500466714,125.22035555256232,139.61408404897873,16.05462763390409
3.5,170.30079584824767,148.38965830145474,121.67981795777442,146.79009070249228,24.349924745966057
3.75,179.69067152024942,161.33269729533424,135.27325901981803,158.76554261180058,22.319707562718232
4.0,189.02830186186998,174.05258781641527,152.06399244752456,171.71496070860326,18.59269797504519
4.25,204.47562942709476,179.17564690215727,158.52152118918585,180.72426583947927,23.016161309939072
4.5,209.54378233438166,193.48887818356934,172.37954215102857,191.80406755632654,18.63931670525349
4.75,220.20301512787628,207.3508656743317,183.28811154457915,203.61399744892904,18.739014508280544
5.0,224.00189851284446,219.9088619770981,185.207773738767,209.7061780762365,21.314715534868103
5.25,237.18667474237458,224.62425795040568,203.1957457988103,221.6688928305302,17.18710126389676
5.5,236.7548124965908,235.72347986359492,212.01478846085897,228.16436027368158,13.99544261726317
5.75,244.72236135484445,241.84877067986034,219.06299465580156,235.2113755635021,14.058521803410905
6.0,256.331424576207,256.0985805899889,230.01633934543366,247.48211483720988,15.126253310959944
6.25,262.7632388907406,266.14688248503376,237.79324385857976,255.56778841145137,15.485899603827143
6.5,272.2588968668007,270.93568359186366,245.6835256718018,262.9593687101554,14.975940299597719
6.75,280.14573888719053,278.1887026391604,249.59380661132747,269.30941604589276,17.1022349197778
7.0,283.01917146022595,290.39469558854404,268.7440099152356,280.7192923213352,11.007049130953735
7.25,286.68024650338634,294.3245522723663,266.61293684481683,282.5392452068565,14.31238366605982
7.5,300.2401007582693,306.08536289194353,273.5156094530215,293.2803577010781,17.364496172784108
7.75,300.28799213124387,306.2710467689775,294.24960753793556,300.269548812719,6.010740837318409
8.0,308.56779632647766,313.1525765650636,290.6193589815664,304.11324395770254,11.908767831766937
8.25,310.5655495071606,316.5402717122552,297.6347294460655,308.2468502218271,9.663703062311374
8.5,321.48576366214814,328.25339556048,302.75640328260425,317.49852083507744,13.207866323749405
8.75,324.2230907060021,323.7775565586504,308.6814331987831,318.89402682114525,8.847170538694693
9.0,322.7945106023598,335.78575109879625,323.81734800772784,327.4658699029613,7.223355620766637
9.25,328.9679911915353,339.22428546094795,313.97461022073463,327.38896229107263,12.698681984183741
9.5,331.49720889916733,345.2769978866606,322.3648400458709,333.0463489438996,11.534366926232229
9.75,346.1228395331388,336.56420479113075,330.6887039609608,337.79191609507683,7.789967361900182
10.0,338.1031119288166,345.21621171386715,335.6675113051649,339.66227831594955,4.961619669106203
10.25,340.89765323922603,355.5661377848491,342.1236958915479,346.19582897187433,8.138047098918285
10.5,343.39629891570274,357.30660114501677,341.58364269511907,347.4288475852795,8.602263782498275
10.75,352.6225050808864,359.7695310733201,348.7946587849593,353.72889831305525,5.570460925686403
11.0,345.6632765151016,357.7256057713751,353.7032197816499,352.3640340227089,6.141661879687041
11.25,356.9762435540778,362.42159175852834,365.7260793880548,361.70797156688695,4.418353439215294
11.5,366.9402469959038,371.1817613795986,364.2228329033923,367.44828042629825,3.5071704918691036
11.75,364.88926324432083,389.5342665682034,364.11816607554886,372.84723196269107,14.45653798995796
12.0,377.7178010015171,383.5707065535424,367.4134112757661,376.23397294360853,8.180211302429191
12.25,374.61046531352963,373.04800802898916,378.12074426203816,375.25973920151904,2.597947393374363
12.5,378.86768133507945,404.10005443768944,383.78883996484905,388.918858579206,13.3755740562813
12.75,376.41474669342944,411.1756710157533,380.73040729502713,389.4402750014033,18.946683391362008
13.0,401.9501061987382,423.4719310076457,389.832390519015,405.08480924179963,17.037442397487073
13.25,387.4330155351572,427.1381112025859,399.97693520875555,404.8493539821662,20.29603419433288
13.5,417.0552110964317,444.11808523384985,396.3436050379149,419.17230045606556,23.957499661180226
13.75,434.58382020750963,478.53942805481284,391.69750986510667,434.94025270914307,43.422056282643624
14.0,456.2580900608851,478.45843346960294,413.0357281044317,449.25075054497324,33.26950104289131
