Names,Overstuffed_Chair_Polyurethane_Foam_R1,Overstuffed_Chair_Polyurethane_Foam_R2,Overstuffed_Chair_Polyurethane_Foam_R3,Mean,Std. Dev.
164,415.6,396.8,396.7,403.0,10.9
165,406.2,405.7,405.3,405.7,0.4
166,406.0,400.8,403.5,403.4,2.6
167,438.0,409.4,405.8,417.7,17.6
168,424.4,403.8,401.4,409.9,12.6
169,429.3,414.2,415.7,419.7,8.4
170,432.7,415.9,424.3,424.3,8.4
171,430.9,405.7,427.4,421.3,13.7
172,432.2,410.6,426.2,423.0,11.1
173,446.6,408.4,427.6,427.5,19.1
174,444.1,408.6,421.8,424.9,17.9
175,466.4,407.8,416.3,430.1,31.7
176,472.5,419.5,435.2,442.4,27.2
177,447.3,408.9,434.0,430.1,19.5
178,473.7,416.4,438.5,442.9,28.9
179,464.4,412.1,423.8,433.5,27.5
180,454.3,421.4,418.5,431.4,19.9
181,442.0,417.5,437.5,432.4,13.0
182,460.7,406.1,426.4,431.1,27.6
183,450.5,413.6,424.6,429.6,18.9
184,460.6,399.8,428.8,429.7,30.4
185,466.7,425.7,438.7,443.7,21.0
186,464.9,423.0,431.0,439.6,22.2
187,454.8,413.6,428.5,432.3,20.8
188,473.9,423.5,440.8,446.1,25.6
189,463.2,427.4,434.2,441.6,19.0
190,461.7,426.7,431.0,439.8,19.1
191,452.4,421.7,440.9,438.3,15.5
192,471.1,436.1,431.0,446.1,21.8
193,462.6,411.1,448.0,440.6,26.6
194,454.5,444.9,434.3,444.6,10.1
195,462.2,422.0,447.6,443.9,20.4
196,462.8,420.2,450.9,444.6,21.9
197,456.5,415.5,428.3,433.4,21.0
198,479.9,423.8,437.6,447.1,29.2
199,468.2,413.7,430.3,437.4,27.9
200,467.5,420.4,439.9,442.6,23.7
201,471.4,427.3,438.1,445.6,23.0
202,464.6,424.9,432.6,440.7,21.0
203,473.5,429.1,436.8,446.5,23.7
204,454.6,434.3,428.1,439.0,13.8
205,475.8,430.7,435.2,447.2,24.8
206,471.5,414.6,415.2,433.8,32.7
207,469.7,412.6,423.5,435.3,30.3
208,468.0,420.4,434.0,440.8,24.5
209,459.6,415.4,426.8,433.9,22.9
210,446.5,420.8,432.7,433.3,12.9
211,461.1,412.0,413.7,428.9,27.8
212,460.6,412.7,417.5,430.2,26.4
213,452.0,421.7,435.1,436.2,15.2
214,463.5,421.9,422.6,436.0,23.8
215,465.2,411.5,412.1,429.6,30.9
216,448.7,398.1,415.2,420.6,25.7
217,449.6,395.1,423.2,422.6,27.3
218,446.1,411.3,419.0,425.5,18.3
219,442.5,419.4,410.8,424.3,16.4
220,443.4,412.9,408.0,421.4,19.2
221,446.1,418.2,406.6,423.6,20.3
222,444.0,394.3,418.1,418.8,24.9
223,445.1,402.0,407.7,418.2,23.4
224,434.3,398.3,405.4,412.7,19.1
225,439.6,407.8,407.3,418.2,18.5
226,430.8,406.0,402.6,413.1,15.4
227,423.8,411.0,402.3,412.4,10.8
228,431.7,408.3,404.4,414.8,14.8
229,429.6,400.5,405.2,411.8,15.6
230,422.9,397.4,398.8,406.4,14.4
231,431.2,392.7,401.7,408.5,20.1
232,424.8,392.6,398.1,405.2,17.2
233,441.7,397.3,393.8,410.9,26.7
234,429.2,380.4,388.1,399.2,26.2
235,425.7,386.1,388.8,400.2,22.1
236,418.3,393.2,392.7,401.4,14.6
237,410.3,393.3,401.2,401.6,8.5
238,406.5,387.9,398.9,397.8,9.3
239,424.1,385.3,410.6,406.7,19.7
240,421.7,390.8,412.6,408.3,15.9
241,406.1,397.0,386.6,396.6,9.8
242,423.4,396.3,408.8,409.5,13.5
243,401.5,390.9,408.5,400.3,8.9
244,407.6,391.3,409.4,402.8,9.9
245,404.5,387.1,401.4,397.6,9.3
246,421.9,381.7,398.6,400.7,20.2
247,404.3,379.0,395.0,392.8,12.8
248,392.0,372.5,398.4,387.6,13.5
249,402.0,391.4,407.9,400.4,8.4
250,406.2,393.8,392.7,397.6,7.5
251,407.2,371.1,393.5,390.6,18.2
252,397.6,390.3,384.7,390.8,6.5
253,394.4,392.0,401.7,396.1,5.0
254,391.8,375.0,392.3,386.4,9.8
255,388.4,381.2,396.5,388.7,7.7
256,377.1,376.0,396.2,383.1,11.4
257,380.8,380.8,387.2,382.9,3.7
258,384.3,372.8,391.2,382.8,9.3
259,385.2,377.5,381.5,381.4,3.9
260,375.8,376.6,388.9,380.5,7.3
261,373.3,370.3,388.1,377.2,9.6
262,368.6,372.1,393.2,378.0,13.3
263,371.4,374.0,380.9,375.5,4.9
264,365.9,372.0,377.9,372.0,6.0
265,352.9,377.5,372.1,367.5,12.9
266,353.5,368.7,373.4,365.2,10.4
267,354.5,369.9,368.7,364.4,8.6
268,352.2,365.0,380.2,365.8,14.0
269,341.1,365.2,370.8,359.0,15.8
270,340.5,362.4,360.4,354.4,12.1
271,327.7,347.8,364.2,346.6,18.2
272,328.7,350.5,359.0,346.0,15.6
273,322.1,356.1,350.2,342.8,18.1
274,311.7,340.7,355.7,336.0,22.3
275,306.2,341.8,351.5,333.2,23.8
276,305.1,332.5,346.6,328.1,21.1
277,295.1,325.3,352.8,324.4,28.9
278,288.4,318.1,341.8,316.1,26.8
279,284.2,317.4,338.3,313.3,27.3
280,281.2,306.6,344.4,310.7,31.8
281,277.0,307.3,333.6,305.9,28.3
282,270.0,302.0,329.1,300.4,29.6
283,259.1,297.4,327.8,294.8,34.4
284,261.5,290.9,314.7,289.0,26.7
285,252.2,280.7,310.3,281.1,29.1
286,246.3,288.0,316.2,283.5,35.1
287,244.1,280.6,314.3,279.7,35.1
288,238.5,271.2,306.3,272.0,33.9
289,239.9,264.7,303.9,269.5,32.2
290,229.6,260.8,297.2,262.5,33.8
291,223.2,260.3,302.4,262.0,39.6
292,222.1,256.1,286.9,255.0,32.4
293,218.4,247.5,291.3,252.4,36.7
294,212.5,240.6,278.8,244.0,33.3
295,210.9,243.7,282.4,245.7,35.8
296,208.9,236.7,278.2,241.3,34.9
297,210.4,237.9,278.5,242.2,34.2
298,202.1,227.2,274.1,234.5,36.6
299,197.4,230.7,268.1,232.1,35.4
300,192.6,222.6,267.5,227.6,37.7
301,191.8,216.6,261.8,223.4,35.5
302,188.1,212.1,261.8,220.7,37.6
303,182.4,212.7,246.1,213.7,31.9
304,177.2,211.5,241.5,210.0,32.2
305,175.7,207.3,240.3,207.8,32.3
306,172.1,202.7,231.3,202.0,29.6
307,164.6,202.5,226.0,197.7,30.9
308,163.0,197.9,215.5,192.2,26.7
309,159.0,195.5,210.6,188.4,26.5
310,151.4,194.3,205.2,183.6,28.4
311,147.5,191.5,193.3,177.4,26.0
312,145.9,181.0,187.3,171.4,22.3
313,141.4,180.9,180.0,167.4,22.6
314,138.4,175.7,176.9,163.7,21.9
315,135.5,171.6,168.9,158.7,20.1
316,129.8,164.4,164.5,152.9,20.0
317,127.3,157.5,160.5,148.4,18.3
318,122.4,152.5,155.1,143.3,18.2
319,118.7,150.5,149.1,139.4,17.9
320,116.5,142.6,146.2,135.1,16.2
321,114.2,135.9,138.2,129.4,13.3
322,109.2,130.5,134.6,124.8,13.6
323,108.4,128.1,130.1,122.2,12.0
