Time after Ignition,Overstuffed_Chair_Polyurethane_Foam_R1,Overstuffed_Chair_Polyurethane_Foam_R2,Overstuffed_Chair_Polyurethane_Foam_R3,Mean,Std. Dev.
0.0,12.8,6.0,28.3,15.7,11.4
0.25,16.3,6.7,35.0,19.3,14.4
0.5,19.9,11.4,41.1,24.1,15.3
0.75,29.5,15.3,47.3,30.7,16.0
1.0,38.6,19.3,52.8,36.9,16.8
1.25,46.7,22.9,57.8,42.5,17.8
1.5,54.9,31.7,60.5,49.0,15.2
1.75,59.7,40.5,68.9,56.4,14.5
2.0,70.7,47.3,77.7,65.2,16.0
2.25,79.6,54.8,87.2,73.9,17.0
2.5,90.3,66.8,91.1,82.7,13.8
2.75,95.7,79.6,101.3,92.2,11.3
3.0,100.8,88.9,111.7,100.5,11.4
3.25,111.9,99.7,117.8,109.8,9.2
3.5,120.6,109.4,125.3,118.4,8.2
3.75,129.3,119.4,131.4,126.7,6.4
4.0,135.5,130.0,141.3,135.6,5.7
4.25,147.4,138.3,150.6,145.4,6.4
4.5,156.3,142.8,155.5,151.5,7.6
4.75,161.5,155.6,163.9,160.4,4.3
5.0,167.9,159.6,170.7,166.0,5.8
5.25,175.8,166.7,180.8,174.5,7.1
5.5,181.3,172.2,188.4,180.6,8.1
5.75,188.4,177.0,191.6,185.7,7.6
6.0,196.2,186.1,193.9,192.1,5.3
6.25,199.0,192.6,204.1,198.6,5.8
6.5,206.1,200.8,209.7,205.5,4.5
6.75,210.2,196.1,212.5,206.2,8.9
7.0,216.2,208.3,223.6,216.0,7.7
7.25,223.1,205.3,223.4,217.3,10.4
7.5,228.8,214.5,231.4,224.9,9.1
7.75,231.5,212.5,230.9,224.9,10.8
8.0,232.1,224.8,236.4,231.1,5.8
8.25,242.4,225.4,243.5,237.1,10.1
8.5,244.6,233.4,247.5,241.8,7.4
8.75,246.8,233.1,250.2,243.4,9.0
9.0,246.0,244.0,250.8,247.0,3.5
9.25,253.4,245.1,251.9,250.2,4.4
9.5,258.9,251.5,258.7,256.4,4.2
9.75,258.7,260.2,264.7,261.2,3.1
10.0,256.4,254.6,258.9,256.6,2.2
10.25,258.2,260.7,258.9,259.3,1.3
10.5,265.7,276.8,276.7,273.1,6.3
10.75,268.0,278.7,267.2,271.3,6.5
11.0,268.9,282.8,268.4,273.4,8.2
11.25,263.5,285.6,267.7,272.3,11.7
11.5,271.6,285.7,286.3,281.2,8.3
11.75,271.1,290.1,276.8,279.3,9.8
12.0,274.7,297.4,288.2,286.7,11.4
12.25,270.6,292.7,280.9,281.4,11.1
12.5,274.1,296.5,285.5,285.4,11.2
12.75,273.3,294.0,292.5,286.6,11.5
13.0,280.1,300.4,285.5,288.7,10.5
13.25,279.9,300.1,288.8,289.6,10.1
13.5,280.6,314.1,301.6,298.7,16.9
13.75,284.3,312.8,299.4,298.9,14.3
14.0,281.6,317.2,297.8,298.9,17.8
14.25,280.7,317.1,307.5,301.8,18.8
14.5,288.3,313.0,300.2,300.5,12.3
14.75,287.8,322.6,297.0,302.5,18.1
15.0,282.8,325.8,305.8,304.8,21.5
15.25,288.0,332.7,309.8,310.1,22.4
15.5,288.4,321.4,314.7,308.2,17.4
15.75,289.0,322.6,318.3,310.0,18.3
16.0,292.1,332.3,316.7,313.7,20.3
16.25,300.9,328.5,321.1,316.8,14.3
16.5,298.1,332.2,313.3,314.5,17.1
16.75,295.4,336.9,308.7,313.7,21.2
17.0,302.4,338.5,321.2,320.7,18.0
17.25,314.8,356.3,326.6,332.6,21.4
17.5,317.4,379.9,334.2,343.8,32.3
17.75,316.6,363.5,331.8,337.3,23.9
18.0,336.7,374.1,330.3,347.0,23.7
18.25,331.9,399.5,347.1,359.5,35.4
18.5,348.0,413.7,373.7,378.5,33.1
18.75,366.9,423.9,368.4,386.4,32.5
19.0,360.8,442.1,389.2,397.4,41.3
19.25,361.2,421.0,401.7,394.6,30.5
19.5,379.6,422.9,420.7,407.7,24.4
19.75,392.6,453.6,417.7,421.3,30.6
20.0,407.1,481.8,503.6,464.1,50.6
20.25,424.9,490.1,522.3,479.1,49.6
20.5,449.3,514.7,516.5,493.5,38.3
20.75,461.1,507.8,517.8,495.6,30.3
21.0,491.7,544.6,585.5,540.6,47.0
21.25,525.9,507.8,585.4,539.7,40.6
21.5,518.9,505.8,645.9,556.9,77.4
21.75,514.8,577.4,624.8,572.4,55.2
22.0,556.6,628.3,755.1,646.7,100.5
22.25,559.5,541.7,630.4,577.2,47.0
22.5,563.0,596.1,731.8,630.3,89.4
22.75,634.7,597.9,708.0,646.9,56.1
23.0,586.2,606.6,743.1,645.3,85.3
23.25,600.1,667.7,752.3,673.4,76.2
23.5,642.5,639.8,807.2,696.5,95.9
23.75,645.0,683.0,848.8,725.6,108.4
24.0,637.5,689.1,810.1,712.2,88.6
24.25,684.0,676.5,805.7,722.0,72.5
24.5,691.7,756.0,901.1,782.9,107.3
24.75,674.9,791.4,917.6,794.6,121.4
25.0,723.2,786.3,944.9,818.1,114.2
25.25,712.9,769.2,879.4,787.1,84.7
25.5,697.5,766.6,892.8,785.6,99.0
25.75,775.0,747.8,934.1,818.9,100.7
26.0,750.2,796.5,1036.5,861.1,153.7
26.25,785.1,865.2,1013.0,887.7,115.6
26.5,753.5,869.2,1020.4,881.0,133.8
26.75,782.8,813.6,992.1,862.9,113.0
27.0,756.6,833.8,980.7,857.0,113.8
27.25,803.0,898.6,967.6,889.7,82.6
27.5,754.0,874.9,1055.3,894.7,151.6
27.75,755.6,856.6,1060.3,890.8,155.2
28.0,837.4,902.6,1069.7,936.6,119.8
28.25,786.6,902.9,1053.6,914.4,133.9
28.5,820.0,886.0,986.5,897.5,83.9
