LABORATORY,FSRI 
TEST IDENT,EPDM_HF25_2
OPERATOR,Dow
MATERIAL,EPDM Roofing Membrane
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.00884
C FACTOR,0.03706778958439827
SPEC HOLDER DIFF,735.1400146484375
SPECIMEN MASS,82.69999694824219
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,4097
TIME TO IGN,110
END OF TEST SCAN,3617
END OF TEST TIME,904.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.61 x 99.77 x 5.94 mm; with frame; primary interest on time to ignition
POST TEST CMT,After ignition the sample expanded vertically several centimeters above starting surface height. See test picture. 
