Time after Ignition,EPDM_Membrane_R1,EPDM_Membrane_R2,EPDM_Membrane_R3,EPDM_Membrane_R4,Mean,Std. Dev.
0.0,19.4,9.2,14.0,12.5,13.8,4.2
0.25,22.5,13.9,21.4,13.9,17.9,4.7
0.5,25.3,17.7,28.4,15.3,21.7,6.2
0.75,27.6,21.5,34.4,16.7,25.0,7.7
1.0,30.2,24.5,39.2,22.9,29.2,7.4
1.25,32.2,33.7,44.3,27.6,34.5,7.1
1.5,37.1,41.7,55.9,32.8,41.9,10.0
1.75,41.8,49.4,65.4,47.4,51.0,10.1
2.0,46.8,56.1,76.7,62.8,60.6,12.6
2.25,50.3,66.6,82.8,73.0,68.2,13.6
2.5,57.4,75.3,92.0,83.7,77.1,14.8
2.75,64.6,83.3,102.8,106.0,89.2,19.2
3.0,70.7,90.4,113.3,125.2,99.9,24.3
3.25,76.9,98.3,120.7,144.5,110.1,29.1
3.5,85.9,107.5,131.1,164.3,122.2,33.6
3.75,93.6,118.0,136.7,185.1,133.4,38.8
4.0,102.6,124.5,143.0,199.4,142.4,41.4
4.25,107.3,133.4,154.5,220.4,153.9,48.4
4.5,111.8,143.0,162.2,236.9,163.5,53.2
4.75,125.2,153.1,172.3,261.8,178.1,59.0
5.0,135.5,162.5,181.4,287.4,191.7,66.5
5.25,144.6,169.1,186.3,305.5,201.4,71.5
5.5,154.7,182.5,188.9,324.9,212.7,76.2
5.75,152.9,189.0,196.4,342.5,220.2,83.7
6.0,164.3,197.2,208.8,348.6,229.7,81.5
6.25,174.6,209.6,214.8,368.6,241.9,86.3
6.5,185.6,213.1,220.2,381.9,250.2,89.1
6.75,196.6,224.2,229.2,395.6,261.4,90.6
7.0,209.3,220.7,237.6,404.2,268.0,91.6
7.25,217.8,226.3,245.9,413.0,275.7,92.2
7.5,228.6,241.2,254.1,440.4,291.1,100.1
7.75,239.7,253.2,260.1,453.6,301.7,101.7
8.0,247.9,260.3,269.2,470.9,312.1,106.3
8.25,251.0,270.8,274.2,462.7,314.7,99.2
8.5,258.3,270.4,287.4,504.3,330.1,116.8
8.75,263.9,282.2,294.2,501.9,335.6,111.6
9.0,277.5,293.9,301.6,516.6,347.4,113.2
9.25,291.2,304.3,315.2,524.5,358.8,110.9
9.5,289.6,306.6,316.6,556.1,367.2,126.4
9.75,299.8,313.4,324.8,545.5,370.9,116.9
10.0,305.9,316.7,336.1,562.3,380.2,122.0
10.25,323.0,324.6,345.6,586.8,395.0,128.3
10.5,321.8,325.7,352.3,592.8,398.1,130.5
10.75,330.8,336.2,355.8,595.5,404.6,127.7
11.0,334.5,342.1,357.8,615.4,412.4,135.7
11.25,344.0,350.3,373.6,634.9,425.7,140.0
11.5,355.3,360.8,377.0,627.7,430.2,132.0
11.75,356.8,368.1,384.0,627.7,434.2,129.5
12.0,372.1,368.8,392.8,634.6,442.1,128.8
12.25,372.9,382.2,389.7,657.0,450.5,137.9
12.5,382.7,382.3,403.7,667.6,459.1,139.4
12.75,396.0,386.6,415.1,663.6,465.3,132.8
13.0,401.0,396.6,404.4,683.2,471.3,141.3
13.25,414.5,404.6,414.6,695.7,482.3,142.3
13.5,430.2,407.4,419.4,685.2,485.5,133.4
13.75,441.0,423.8,431.8,681.6,494.5,124.9
14.0,446.3,419.7,421.8,709.5,499.3,140.6
14.25,455.5,432.9,435.7,704.7,507.2,132.0
14.5,472.3,442.6,428.7,692.1,508.9,123.4
14.75,469.6,454.7,451.5,699.3,518.8,120.6
15.0,489.4,452.4,438.8,728.3,527.3,135.8
15.25,484.6,454.2,467.2,726.6,533.2,129.6
15.5,504.2,463.6,471.4,735.8,543.7,129.2
15.75,516.0,466.3,460.3,724.9,541.9,124.6
16.0,508.2,485.4,483.2,730.3,551.8,119.6
16.25,525.2,485.5,477.2,729.1,554.3,118.4
16.5,519.8,478.8,492.6,707.9,549.8,106.8
16.75,514.8,493.8,499.7,734.1,560.6,116.0
17.0,546.6,498.0,503.9,732.0,570.1,110.1
17.25,545.0,497.8,500.5,751.4,573.7,120.5
17.5,553.2,508.3,507.8,728.7,574.5,105.0
17.75,544.9,505.6,510.6,726.5,571.9,104.5
18.0,548.8,515.2,520.4,753.4,584.5,113.6
18.25,561.2,526.0,518.8,734.7,585.2,101.4
18.5,564.7,535.8,518.5,749.8,592.2,106.8
18.75,570.0,525.7,524.8,738.9,589.9,101.6
19.0,565.2,515.0,525.8,750.7,589.2,109.9
19.25,574.3,526.6,534.4,740.1,593.9,99.7
19.5,563.3,524.8,523.0,761.0,593.0,113.5
19.75,574.4,530.6,534.1,743.4,595.6,100.5
20.0,581.7,536.5,542.5,732.2,598.2,91.5
20.25,594.2,549.5,544.2,730.2,604.5,86.7
20.5,595.2,551.8,552.6,744.8,611.1,91.4
20.75,600.5,553.2,541.9,740.5,609.0,91.2
21.0,599.1,544.8,554.7,746.6,611.3,93.3
21.25,584.3,547.6,546.7,739.1,604.4,91.5
21.5,588.7,553.4,566.0,742.3,612.6,87.7
21.75,591.2,567.6,567.7,735.8,615.6,80.9
22.0,623.0,574.2,559.7,729.8,621.6,77.0
22.25,601.5,556.3,564.0,733.1,613.8,82.0
22.5,606.3,564.2,572.9,729.0,618.1,76.1
22.75,603.9,555.8,566.5,727.3,613.4,78.7
23.0,604.7,551.9,567.5,735.9,615.0,83.6
23.25,611.5,565.9,567.4,731.0,618.9,77.6
23.5,614.4,572.9,582.0,739.2,627.1,76.8
23.75,598.7,552.2,564.5,710.7,606.5,72.2
24.0,604.9,583.1,571.0,723.6,620.7,70.1
24.25,626.3,578.5,585.0,725.3,628.8,67.8
24.5,617.9,568.7,585.8,693.6,616.5,55.3
24.75,613.1,586.6,564.9,702.1,616.7,60.2
25.0,627.6,571.6,581.1,712.4,623.2,64.3
25.25,626.3,581.5,557.6,691.9,614.3,59.0
25.5,603.5,578.9,572.4,691.9,611.7,55.1
