Names,Feather_Pillow_Feathers_R1,Feather_Pillow_Feathers_R2,Feather_Pillow_Feathers_R3,Mean,Std. Dev.
8,-0.7,-0.3,2.9,0.6,2.0
9,-0.7,-0.3,2.9,0.6,2.0
10,-0.7,-0.2,3.0,0.7,2.0
11,-0.7,-0.2,3.1,0.7,2.0
12,-0.8,-0.2,3.1,0.7,2.1
13,-0.7,-0.1,3.2,0.8,2.1
14,-0.8,-0.1,3.2,0.8,2.1
15,-0.8,-0.1,3.4,0.8,2.2
16,-0.8,-0.1,3.2,0.8,2.1
17,-0.8,0.1,3.2,0.8,2.1
18,-0.8,0.2,3.1,0.8,2.0
19,-0.8,0.3,3.1,0.9,2.0
20,-0.8,0.4,3.0,0.9,1.9
21,-0.8,0.5,3.0,0.9,2.0
22,-0.8,0.5,3.0,0.9,1.9
23,-0.8,0.6,2.9,0.9,1.9
24,-0.8,0.7,2.9,0.9,1.9
25,-0.8,0.8,2.9,0.9,1.9
26,-0.8,0.8,2.9,0.9,1.9
27,-0.7,0.8,2.8,1.0,1.8
28,-0.6,0.8,2.8,1.0,1.7
29,-0.5,0.9,2.9,1.1,1.7
30,-0.5,0.8,2.9,1.1,1.7
31,-0.4,0.7,2.9,1.0,1.7
32,-0.4,0.6,2.8,1.0,1.6
33,-0.3,0.5,2.8,1.0,1.6
34,-0.3,0.4,2.8,1.0,1.6
35,-0.2,0.3,2.8,1.0,1.6
36,-0.2,0.3,2.8,1.0,1.6
37,-0.1,0.2,2.8,1.0,1.6
38,-0.1,0.3,2.8,1.0,1.6
39,-0.1,0.3,2.8,1.0,1.5
40,-0.0,0.4,2.8,1.0,1.5
41,0.2,0.4,2.9,1.1,1.5
42,0.4,0.5,3.0,1.3,1.5
43,0.6,0.7,3.0,1.4,1.4
44,0.8,0.8,3.1,1.6,1.4
45,1.3,0.9,3.2,1.8,1.2
46,1.8,2.4,3.3,2.5,0.7
47,2.3,3.7,3.3,3.1,0.7
48,2.7,4.7,3.6,3.7,1.0
49,6.5,6.0,3.9,5.5,1.4
50,9.9,6.9,4.0,6.9,2.9
51,12.8,12.9,4.4,10.0,4.9
52,15.8,17.8,6.7,13.4,5.9
53,26.9,23.0,6.5,18.8,10.8
54,37.1,27.7,8.7,24.5,14.5
55,47.4,30.2,10.6,29.4,18.4
56,54.9,41.0,12.0,36.0,21.9
57,67.8,50.9,21.7,46.8,23.3
58,80.4,59.1,30.7,56.7,24.9
59,97.6,66.6,38.9,67.7,29.4
60,102.5,81.9,46.0,76.8,28.6
61,109.6,95.4,62.4,89.2,24.2
62,124.2,106.9,73.8,101.6,25.6
63,120.3,116.4,87.4,108.0,18.0
64,135.8,134.7,97.8,122.8,21.7
65,147.5,147.9,113.4,136.3,19.8
66,157.5,166.3,131.1,151.6,18.3
67,174.4,176.0,149.1,166.5,15.1
68,184.2,191.7,153.1,176.4,20.4
69,194.7,209.0,165.0,189.5,22.4
70,195.9,218.2,175.9,196.6,21.2
71,209.0,233.3,190.6,210.9,21.4
72,222.0,242.8,202.1,222.3,20.4
73,230.1,260.9,211.6,234.2,24.9
74,238.9,263.4,220.6,241.0,21.5
75,237.7,272.9,232.3,247.6,22.1
76,245.1,280.3,249.1,258.2,19.3
77,250.1,291.5,250.2,263.9,23.8
