#EXPORTTYPE,DATA ALL
#FILE,Polyester_batting_test_10K.ngb-ds3
#FORMAT,NETZSCH5
#FTYPE,ANSI
#IDENTITY,PET_Batting
#DECIMAL,POINT
#SEPARATOR,SEMICOLON
#MTYPE,DSC
#INSTRUMENT,NETZSCH STA 449F3
#PROJECT,
#DATE/TIME,15.02.2021 08
#CORR. FILE,Correction_10K (02 Feb).ngb-bs3
#TEMPCAL,28-01-2021 12
#SENSITIVITY,28-01-2021 12
#LABORATORY,
#OPERATOR,
#REMARK,236.69 mg crucible mass  Sample melted prior to test (Up to 275 C)
#SAMPLE,PET_Batting
#SAMPLE MASS /mg,4.82
#MATERIAL,
#REFERENCE,
#REFERENCE MASS /mg,0
#TYPE OF CRUCIBLE,"PtRh20 0.19 ml, with lid"
#SAMPLE CRUCIBLE MASS /mg,0
#REFERENCE CRUCIBLE MASS /mg,0
#DSC RANGE /µV,5000
#TG RANGE /mg,35000
#TAU-R,---
#CORR. CODE,020
#EXO,-1
#RANGE,50°C/10.0(K/min)/650°C
#SEGMENT,S2/3
#SEG. 2,50°C/10.0(K/min)/650°C
