##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/mW,DTG(subtr.2)/(mg/min),Sensit./(uV/mW)
49.379,10.01,0.00669,-0.01230537,-0.07641981,1.0540100000000001
49.479,10.58347,0.0076681959999999995,0.001435866,0.001139038,1.0540100000000001
49.579,10.73351,0.007894077,0.01861238,-0.0001317124,1.0540100000000001
49.679,10.825289999999999,0.006294787,0.02620754,-0.001966829,1.0540200000000002
49.779,10.90039,0.00641377,0.03904356,-0.0006425168,1.0540200000000002
49.879,10.9661,0.00647386,0.06296671,-0.001124632,1.0540200000000002
49.979,11.01683,0.005888363000000001,0.07894116,-0.001331595,1.0540200000000002
50.079,11.0625,0.0063228419999999995,0.0881669,0.0002547851,1.0540200000000002
50.179,11.10565,0.005783101999999999,0.10335,0.002944521,1.05403
50.279,11.14405,0.006096239,0.11544000000000001,0.004406229,1.05403
50.379,11.17929,0.006435239000000001,0.12730999999999998,0.003600117,1.05403
50.479,11.21082,0.007743036,0.14137,0.001288276,1.05403
50.579,11.24115,0.007729745,0.14977000000000001,-0.001280446,1.05403
50.679,11.269810000000001,0.0075730269999999995,0.15477,-0.002899459,1.05403
50.779,11.29882,0.004149959,0.17092000000000002,-0.0031463840000000003,1.0540399999999999
50.879,11.325339999999999,0.0048833109999999996,0.18784,-0.0022832829999999997,1.0540399999999999
50.979,11.34951,0.006626364,0.20315,-0.001052215,1.0540399999999999
51.079,11.37309,0.007021145,0.20963,0.00013640790000000002,1.0540399999999999
51.179,11.396230000000001,0.007138666,0.22030999999999998,0.001054103,1.0540399999999999
51.279,11.41756,0.006578633,0.23035,0.001617873,1.0540399999999999
51.379,11.43851,0.006495108,0.2413,0.001939028,1.0540399999999999
51.479,11.4588,0.006745745,0.24629,0.002097009,1.05405
51.579,11.47798,0.006890616,0.26959,0.002145696,1.05405
51.679,11.49658,0.0067882409999999995,0.27197,0.002086489,1.05405
51.779,11.515360000000001,0.006369807,0.28158,0.001871808,1.05405
51.879,11.53347,0.006741491999999999,0.29052,0.0014569270000000002,1.05405
51.979,11.54994,0.007350921,0.3054,0.0008544308,1.05405
52.079,11.56715,0.006574815,0.31277,-2.582453e-05,1.05405
52.179,11.583969999999999,0.006413694,0.31871,-0.001111903,1.05405
52.279,11.59998,0.007459978000000001,0.33221999999999996,-0.002286915,1.05405
52.379,11.615739999999999,0.007090335,0.34285,-0.003480995,1.05406
52.479,11.63218,0.007107963,0.34756,-0.004644045,1.05406
52.579,11.6477,0.007528541999999999,0.36302,-0.0055444069999999995,1.05406
52.679,11.6626,0.007137528000000001,0.36868,-0.006119955,1.05406
52.779,11.67724,0.0067486840000000005,0.3759,-0.006323263000000001,1.05406
52.879,11.69179,0.006312024,0.38764,-0.006111184,1.05406
52.979,11.70585,0.005418681999999999,0.39893,-0.005489821999999999,1.05406
53.079,11.71945,0.004957978,0.40878000000000003,-0.004510042,1.05406
53.179,11.73325,0.004756054,0.40913,-0.003175351,1.05406
53.279,11.74624,0.005213998,0.42275,-0.0016651,1.05406
