LABORATORY,FSRI 
TEST IDENT,LPC_HF75_R1
OPERATOR,Marino
MATERIAL,Engineered Wood Table
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04036014527082443
SPEC HOLDER DIFF,-566
SPECIMEN MASS,21.049999237060547
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,746
TIME TO IGN,5.25
END OF TEST SCAN,266
END OF TEST TIME,66.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 104.93 x 101.48 x 34.83 mm
POST TEST CMT,"Sample melted and shrank. Delayed flame verification, actual time to ignitions was less than 2 seconds after start of test."
