Time after Ignition,Latex_Pillow_Foam_R1,Latex_Pillow_Foam_R2,Latex_Pillow_Foam_R3,Latex_Pillow_Foam_R4,Mean,Std. Dev.
0.0,-0.9,-0.1,0.4,-1.3,-0.5,0.8
0.25,-1.0,-0.1,0.4,-1.2,-0.5,0.7
0.5,-0.9,-0.1,0.4,-1.1,-0.4,0.7
0.75,-0.8,-0.1,0.3,-1.0,-0.4,0.6
1.0,-0.8,-0.1,0.3,-1.0,-0.4,0.6
1.25,-0.8,-0.1,0.3,-0.9,-0.4,0.6
1.5,-0.8,-0.1,0.3,-0.9,-0.4,0.6
1.75,-0.8,-0.1,0.3,-0.8,-0.3,0.5
2.0,-0.7,-0.1,0.3,-0.8,-0.3,0.5
2.25,-0.7,-0.1,0.3,-0.7,-0.3,0.5
2.5,-0.6,-0.1,0.3,-0.7,-0.3,0.5
2.75,-0.5,-0.1,0.3,-0.7,-0.2,0.4
3.0,-0.4,-0.1,0.3,-0.6,-0.2,0.4
3.25,-0.3,-0.1,0.3,-0.6,-0.2,0.4
3.5,-0.2,0.0,0.3,-0.6,-0.1,0.4
3.75,0.1,0.2,0.3,-0.6,0.0,0.4
4.0,0.4,0.2,0.3,-0.6,0.1,0.4
4.25,0.7,0.2,0.3,-0.6,0.2,0.5
4.5,1.0,0.3,0.3,-0.5,0.3,0.6
4.75,1.4,0.4,0.3,-0.5,0.4,0.8
5.0,1.8,0.4,0.3,-0.5,0.5,1.0
5.25,2.0,0.5,0.3,-0.5,0.6,1.1
5.5,2.3,0.5,0.0,-0.5,0.6,1.2
5.75,2.6,0.6,-0.2,-0.5,0.7,1.4
6.0,2.9,0.7,-0.4,-0.5,0.7,1.6
6.25,3.5,0.8,-0.6,-0.4,0.8,1.9
6.5,4.5,0.9,-0.7,-0.4,1.1,2.4
6.75,4.9,1.0,-0.8,-0.4,1.2,2.6
7.0,5.4,1.3,-0.9,-0.3,1.4,2.8
7.25,10.4,1.7,-0.9,-0.2,2.7,5.2
7.5,15.2,1.9,-0.9,-0.2,4.0,7.5
7.75,19.1,2.3,-0.9,-0.1,5.1,9.4
8.0,22.1,2.7,-0.9,0.3,6.1,10.8
8.25,37.2,2.7,-0.8,0.6,10.0,18.2
8.5,49.0,3.2,-0.8,0.9,13.1,24.0
8.75,62.2,3.3,-0.7,1.2,16.5,30.5
9.0,70.8,3.5,-0.4,1.6,18.9,34.7
9.25,97.7,3.8,-0.1,1.8,25.8,48.0
9.5,119.3,4.4,0.2,2.1,31.5,58.6
9.75,139.8,4.8,0.4,2.4,36.8,68.7
10.0,171.5,5.2,1.0,2.7,45.1,84.3
10.25,170.2,5.1,1.6,2.8,44.9,83.5
10.5,207.9,6.8,1.8,3.4,55.0,102.0
10.75,239.2,7.9,2.3,4.2,63.4,117.2
11.0,239.4,8.6,6.6,4.8,64.9,116.4
11.25,282.1,9.8,10.8,5.1,77.0,136.8
11.5,322.9,16.4,15.0,5.6,90.0,155.3
11.75,335.1,22.3,18.5,9.3,96.3,159.3
12.0,370.1,28.5,33.4,13.4,111.3,172.7
12.25,381.4,44.2,43.9,15.7,121.3,173.9
12.5,380.1,61.5,56.0,28.2,131.5,166.4
12.75,402.6,75.9,61.9,37.0,144.4,172.9
13.0,450.2,89.8,69.9,46.9,164.2,191.5
13.25,488.7,100.4,81.6,53.1,180.9,206.1
13.5,484.6,126.4,101.9,63.0,194.0,195.5
13.75,483.6,151.1,122.6,89.4,211.7,183.0
14.0,544.7,181.9,137.5,103.4,241.9,204.4
14.25,568.5,203.4,160.5,128.5,265.2,204.5
14.5,593.6,204.0,193.2,153.7,286.1,206.1
14.75,607.6,233.7,207.0,156.9,301.3,206.6
15.0,600.7,256.8,233.4,187.7,319.7,189.5
15.25,654.8,275.6,260.6,216.1,351.8,203.6
15.5,661.5,291.4,267.7,232.3,363.2,200.3
15.75,675.0,307.3,287.7,263.4,383.3,195.3
16.0,672.8,328.7,329.8,278.3,402.4,181.9
16.25,704.3,375.5,352.9,292.7,431.4,185.3
16.5,691.5,380.5,351.4,306.5,432.5,175.3
16.75,755.4,388.4,395.1,337.5,469.1,192.6
17.0,755.2,427.7,441.4,345.3,492.4,180.3
17.25,769.3,484.0,474.9,365.7,523.5,172.5
17.5,828.5,494.4,483.9,392.9,549.9,191.2
17.75,862.5,497.3,509.7,421.8,572.8,197.0
18.0,826.3,490.8,557.8,424.9,574.9,176.1
18.25,803.1,582.2,586.9,449.1,605.3,146.5
18.5,860.0,626.5,622.6,477.6,646.7,158.2
18.75,868.6,606.0,565.1,481.4,630.3,167.1
19.0,834.1,654.9,641.7,490.2,655.2,140.7
19.25,943.0,680.8,590.6,537.2,687.9,180.1
19.5,929.1,678.8,656.2,534.0,699.5,165.7
19.75,895.7,710.2,637.2,565.2,702.0,142.0
20.0,925.1,785.6,663.0,569.8,735.9,154.0
20.25,957.5,758.2,685.7,595.8,749.3,153.9
20.5,985.9,830.7,760.0,600.5,794.3,160.0
20.75,941.9,816.7,702.2,638.2,774.7,133.7
21.0,909.4,792.1,732.3,698.1,782.9,92.8
21.25,973.5,829.2,743.8,700.5,811.8,120.4
21.5,944.8,874.5,821.1,693.2,833.4,106.3
21.75,1001.0,838.6,829.5,721.4,847.6,115.3
22.0,1030.0,844.4,789.7,764.8,857.2,119.9
22.25,999.5,896.7,784.7,764.8,861.4,108.8
22.5,1088.6,889.6,920.3,800.2,924.7,120.6
22.75,1032.1,898.2,812.9,816.7,890.0,102.6
23.0,1033.0,946.5,862.8,832.3,918.7,90.3
23.25,1051.1,937.3,864.9,822.4,918.9,100.1
23.5,1016.1,932.2,854.4,805.1,901.9,92.3
23.75,1075.0,936.5,913.0,894.9,954.8,81.9
24.0,1092.1,928.8,914.8,825.9,940.4,110.9
24.25,1029.4,922.2,904.9,871.4,932.0,68.3
24.5,980.6,945.1,882.7,858.6,916.8,56.1
24.75,1048.4,1028.9,971.8,870.4,979.9,79.9
25.0,1056.2,948.3,1008.4,903.0,979.0,67.2
25.25,1101.0,953.1,932.3,938.9,981.3,80.2
25.5,1070.5,1012.4,1049.9,957.2,1022.5,49.7
25.75,1031.1,994.1,959.8,881.1,966.5,64.0
26.0,1078.3,981.8,934.0,904.0,974.5,76.2
26.25,1087.2,1041.0,1030.6,971.8,1032.7,47.4
26.5,1154.5,997.2,1037.9,954.1,1035.9,86.1
26.75,995.6,1005.4,1004.4,928.8,983.6,36.8
