Time after Ignition,Latex_Pillow_Foam_R1,Latex_Pillow_Foam_R2,Latex_Pillow_Foam_R3,Latex_Pillow_Foam_R4,Mean,Std. Dev.
0.0,1.5,2.0,3.2,3.1,2.5,0.9
0.25,1.5,2.0,3.2,3.3,2.5,0.9
0.5,1.5,2.1,3.1,3.5,2.6,0.9
0.75,1.5,2.2,3.2,3.5,2.6,0.9
1.0,1.5,2.3,3.1,3.6,2.6,0.9
1.25,1.6,2.3,3.2,3.7,2.7,0.9
1.5,1.6,2.4,3.3,3.8,2.8,1.0
1.75,1.7,2.5,3.4,4.0,2.9,1.0
2.0,1.7,2.5,3.5,4.1,2.9,1.1
2.25,1.7,2.5,3.6,4.2,3.0,1.1
2.5,1.8,2.5,3.6,4.3,3.1,1.1
2.75,1.8,2.6,3.7,4.4,3.1,1.2
3.0,1.8,2.6,3.7,4.5,3.1,1.2
3.25,1.8,2.6,3.8,4.5,3.2,1.2
3.5,1.9,2.6,3.8,4.7,3.3,1.3
3.75,1.9,2.6,3.6,4.8,3.2,1.3
4.0,1.9,2.8,3.6,4.8,3.3,1.3
4.25,1.9,2.9,3.4,4.8,3.3,1.2
4.5,1.9,3.0,3.2,4.9,3.3,1.3
4.75,1.9,3.1,3.1,5.1,3.3,1.3
5.0,1.9,3.2,3.1,5.3,3.3,1.4
5.25,2.0,3.3,2.9,5.3,3.4,1.4
5.5,1.9,3.5,3.0,5.4,3.4,1.5
5.75,1.9,3.3,2.8,5.5,3.4,1.5
6.0,1.9,3.4,2.7,5.7,3.4,1.6
6.25,1.9,3.5,2.8,5.7,3.5,1.6
6.5,1.9,3.6,2.6,6.0,3.5,1.8
6.75,2.0,3.6,2.5,5.9,3.5,1.7
7.0,2.0,3.7,2.5,6.3,3.6,1.9
7.25,1.9,3.6,2.5,6.5,3.6,2.0
7.5,2.0,3.6,2.4,6.8,3.7,2.2
7.75,2.0,3.8,2.5,6.8,3.8,2.2
8.0,2.2,4.0,2.6,7.1,4.0,2.2
8.25,2.4,4.3,2.9,7.2,4.2,2.1
8.5,2.6,4.3,3.0,7.3,4.3,2.1
8.75,2.7,4.5,3.0,7.4,4.4,2.1
9.0,2.9,4.5,4.1,7.7,4.8,2.0
9.25,3.1,4.3,5.2,8.1,5.2,2.1
9.5,3.1,4.2,6.0,8.0,5.3,2.2
9.75,3.3,4.1,6.8,8.1,5.6,2.3
10.0,3.4,4.0,7.4,8.1,5.7,2.3
10.25,4.0,5.0,12.5,9.6,7.8,4.0
10.5,4.6,5.9,16.3,11.4,9.5,5.4
10.75,5.1,6.7,21.1,12.5,11.4,7.3
11.0,5.6,7.5,26.8,13.6,13.4,9.6
11.25,6.0,12.3,37.8,18.8,18.7,13.7
11.5,6.5,16.8,46.2,23.9,23.4,16.8
11.75,8.8,20.6,54.2,28.3,28.0,19.3
12.0,10.6,24.5,64.8,32.1,33.0,23.0
12.25,12.2,39.1,70.4,35.6,39.3,23.9
12.5,14.2,53.5,70.4,48.2,46.6,23.6
12.75,20.0,63.8,85.9,56.6,56.6,27.4
13.0,25.2,74.9,102.4,68.2,67.7,32.0
13.25,30.7,89.0,113.0,86.1,79.7,34.8
13.5,34.0,103.5,122.0,103.9,90.8,38.9
13.75,45.5,115.4,138.6,115.3,103.7,40.3
14.0,57.0,131.9,149.8,129.3,117.0,41.0
14.25,66.1,144.9,173.8,135.6,130.1,45.7
14.5,74.8,165.8,180.1,149.1,142.4,46.8
14.75,86.9,173.9,195.7,167.5,156.0,47.6
15.0,101.3,190.0,202.5,179.0,168.2,45.6
15.25,115.0,191.5,225.0,185.6,179.3,46.2
15.5,125.6,209.4,239.1,199.7,193.5,48.3
15.75,135.7,216.9,250.3,207.2,202.5,48.2
16.0,147.7,231.9,259.2,222.6,215.3,47.7
16.25,160.8,237.9,278.9,238.3,229.0,49.3
16.5,170.3,253.1,284.6,246.7,238.7,48.5
16.75,183.5,260.2,293.5,252.0,247.3,46.2
17.0,196.5,276.7,310.1,269.3,263.2,47.8
17.25,212.5,283.2,315.5,270.8,270.5,43.0
17.5,220.7,292.8,319.6,277.0,277.6,41.8
17.75,218.6,301.5,345.4,289.2,288.7,52.6
18.0,234.2,305.4,339.9,302.3,295.4,44.2
18.25,239.0,323.8,365.5,300.2,307.1,52.8
18.5,249.6,327.7,358.1,308.8,311.0,45.7
18.75,261.4,337.4,366.0,322.6,321.9,44.1
19.0,258.8,345.3,383.3,332.5,330.0,52.1
19.25,268.8,344.3,392.0,335.9,335.2,50.8
19.5,273.4,360.5,401.7,342.7,344.5,53.5
19.75,276.4,355.2,405.1,346.9,345.9,53.0
20.0,292.1,369.8,407.8,347.7,354.4,48.3
20.25,290.0,388.5,438.9,349.2,366.6,63.0
20.5,294.0,392.6,432.3,352.6,367.9,59.0
20.75,297.7,390.7,437.4,360.4,371.5,58.5
21.0,302.9,387.5,439.4,367.1,374.2,56.5
21.25,315.9,400.7,455.4,369.0,385.2,58.4
21.5,317.2,404.8,442.4,377.8,385.5,52.7
21.75,320.9,405.6,476.7,385.4,397.2,64.2
22.0,332.2,410.5,464.0,383.0,397.4,55.0
22.25,331.8,417.8,457.3,407.2,403.5,52.5
22.5,337.5,420.0,474.6,391.8,406.0,57.1
22.75,345.2,414.7,476.5,406.6,410.8,53.7
23.0,332.9,426.5,471.8,410.8,410.5,57.8
23.25,348.5,425.8,484.6,414.9,418.5,55.8
23.5,357.9,422.4,476.9,429.0,421.6,48.9
23.75,362.4,444.3,478.3,425.2,427.5,48.7
24.0,365.1,426.7,483.7,417.0,423.1,48.6
24.25,367.0,444.6,481.4,410.8,425.9,48.7
24.5,377.4,440.4,472.1,416.6,426.6,39.9
24.75,381.9,436.8,491.3,423.8,433.5,45.1
25.0,382.4,449.9,478.1,423.8,433.6,40.7
25.25,395.9,448.2,484.5,423.1,437.9,37.7
25.5,396.5,452.7,492.7,425.2,441.8,41.0
25.75,388.4,453.7,494.5,432.8,442.4,44.2
26.0,395.7,459.7,506.7,423.4,446.4,48.0
26.25,399.4,458.6,518.5,437.8,453.6,49.8
26.5,404.3,479.3,492.5,433.1,452.3,40.9
26.75,392.7,463.0,484.1,425.7,441.4,40.5
27.0,402.2,469.6,503.9,443.9,454.9,42.9
27.25,416.2,467.2,501.0,438.0,455.6,36.8
27.5,411.4,465.7,474.5,431.4,445.8,29.5
27.75,420.0,475.0,493.5,426.0,453.6,36.2
28.0,428.4,480.7,492.7,450.0,463.0,29.2
28.25,421.8,470.8,501.4,443.1,459.3,34.5
28.5,413.9,472.0,509.9,428.9,456.2,43.5
28.75,419.9,463.3,494.5,445.0,455.7,31.4
29.0,424.7,468.9,499.9,452.1,461.4,31.5
29.25,432.9,477.7,482.4,446.2,459.8,24.1
29.5,420.6,479.6,507.3,438.0,461.4,39.4
29.75,419.9,473.4,493.4,443.5,457.6,32.4
30.0,429.8,473.5,483.6,443.6,457.6,25.1
30.25,431.7,477.0,494.3,455.3,464.6,27.1
30.5,429.3,470.7,501.6,455.4,464.3,30.2
30.75,434.0,475.1,481.5,457.9,462.1,21.3
31.0,429.5,474.7,494.8,452.1,462.8,28.2
31.25,427.4,471.3,488.5,458.9,461.5,25.8
31.5,448.4,450.9,481.2,451.1,457.9,15.6
31.75,420.5,471.5,491.0,453.7,459.2,29.9
32.0,438.3,460.2,470.7,451.6,455.2,13.7
32.25,432.6,476.5,480.2,463.5,463.2,21.6
32.5,442.8,467.0,503.6,468.5,470.5,25.0
32.75,436.3,457.7,488.6,463.4,461.5,21.5
33.0,437.5,477.5,488.7,462.1,466.4,22.2
33.25,437.0,463.0,501.9,467.2,467.3,26.6
33.5,433.4,473.5,495.7,464.5,466.8,25.8
33.75,448.9,464.1,495.6,467.9,469.1,19.5
34.0,437.0,468.2,513.4,468.5,471.8,31.4
34.25,440.1,463.2,492.1,468.1,465.9,21.3
34.5,441.2,460.3,505.9,472.7,470.0,27.2
34.75,435.0,465.2,497.7,480.5,469.6,26.6
35.0,444.4,454.7,504.3,464.7,467.0,26.2
35.25,437.3,454.4,496.7,472.7,465.3,25.5
35.5,453.1,465.7,488.2,484.0,472.8,16.4
35.75,439.8,457.3,517.8,480.5,473.8,33.7
36.0,458.2,471.8,516.6,476.0,480.6,25.2
36.25,445.5,454.5,509.1,481.1,472.5,28.7
36.5,448.0,454.3,510.0,496.4,477.2,30.7
36.75,451.6,460.9,503.6,495.3,477.8,25.5
37.0,465.1,471.0,512.1,500.3,487.1,22.7
37.25,441.6,453.0,513.2,465.7,468.4,31.5
37.5,445.6,464.1,528.3,486.1,481.0,35.6
37.75,461.3,460.4,511.8,477.2,477.7,24.0
38.0,446.7,458.9,520.3,474.6,475.1,32.2
38.25,452.1,467.4,525.2,499.3,486.0,32.7
38.5,458.7,447.3,516.1,485.2,476.8,30.6
38.75,448.0,459.0,512.8,487.7,476.9,29.2
39.0,438.6,455.4,530.4,496.8,480.3,41.4
39.25,459.9,461.0,519.4,497.7,484.5,29.2
39.5,446.3,448.4,522.2,490.1,476.7,36.4
39.75,450.0,456.2,525.2,498.9,482.6,35.8
40.0,458.2,454.3,509.1,510.1,482.9,30.8
40.25,448.7,450.7,523.1,501.4,480.9,37.2
40.5,458.9,455.6,530.4,506.9,488.0,36.8
40.75,447.7,463.1,535.2,497.2,485.8,38.9
41.0,454.0,467.9,547.7,501.4,492.8,41.7
41.25,440.5,464.4,534.7,508.8,487.1,42.5
