LABORATORY,FSRI 
TEST IDENT,LPC_HF75_R3
OPERATOR,Marino
MATERIAL,Engineered Wood Table
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04036014527082443
SPEC HOLDER DIFF,-566
SPECIMEN MASS,21.540000915527344
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,754
TIME TO IGN,1
END OF TEST SCAN,274
END OF TEST TIME,68.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.72 x 107.30 x 33.74 mm
POST TEST CMT,"Delayed flame verification, actual time to ignition was less than 2 seconds after start of test. Sample melted and shrank."
