LABORATORY,FSRI 
TEST IDENT,LPC_HF50_R2
OPERATOR,Marino
MATERIAL,Engineered Wood Table
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04036014527082443
SPEC HOLDER DIFF,-566
SPECIMEN MASS,23.239999771118164
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,898
TIME TO IGN,6.75
END OF TEST SCAN,418
END OF TEST TIME,104.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.51 x 101.98 x 35.89 mm
POST TEST CMT,"Spark igniter did not activate, sample auto-ignited. Sample melted and shrank."
