Time after Ignition,Eucalyptus_Flooring_R1,Eucalyptus_Flooring_R2,Eucalyptus_Flooring_R3,Mean,Std. Dev.
0.0,16.919587312008737,14.80874827701622,15.116138894132098,15.61482482771902,1.1403622683954997
0.25,22.663968443933403,18.279875493802695,17.934857860839212,19.626233932858437,2.6364052252254067
0.5,34.451027969774465,21.027829211969074,20.46341002745194,25.314089069731825,7.91785208255983
0.75,44.67638078934271,24.339660867049485,22.70728809313698,30.574443249843057,12.239879165833901
1.0,54.49255384731202,31.08341600586727,37.17768466913339,40.91788484077089,12.144494909747298
1.25,61.91752125551774,37.723644975338416,49.72114703571185,49.78743775552267,12.097074365721893
1.5,82.80967884470093,43.56448349028371,60.238879417690285,62.20434725089164,19.696284864260683
1.75,101.53637741920876,49.586791434089456,70.63025567716441,73.91780817682087,26.13036303010014
2.0,114.6018570241697,59.59506735013285,94.63937837760244,89.61210091730167,27.845859055846493
2.25,129.67473307037673,68.69797121874586,114.24815195919771,104.20695208277344,31.70426852485882
2.5,147.91578751576967,76.34371864776456,132.9939131967718,119.08447312010202,37.75903405738112
2.75,174.39714094974818,82.85834671118904,150.57383892619174,135.9431088623763,47.49085606000897
3.0,190.3593621399215,89.6081081698121,174.26571037070354,151.4110602268124,54.12444058867601
3.25,200.7386784587975,94.97257013265349,199.9469180001048,165.21938886385192,60.836817615210414
3.5,213.57481707127792,109.39914178090643,220.4044302352529,181.1261296958124,62.21118468974198
3.75,236.22683954567856,119.61129663731705,237.65396777723333,197.83070132007632,67.74374971494619
4.0,249.22265770377558,127.21134435494228,252.35215331132176,209.59538512334655,71.3638288328687
4.25,265.1589071269494,135.91048242489904,263.42672589026256,221.49870514737032,74.12663498738287
4.5,283.84888457636686,151.28576102809774,275.7763770793206,236.97034089459507,74.31471432022117
4.75,293.833188709111,163.50738465220053,305.5330259044083,254.29119975523994,78.8384256634812
5.0,315.35219541243333,176.11278881531925,326.53972463446127,272.6682362874046,83.80636031903789
5.25,315.30532559034896,193.9577353787229,340.8576333189661,283.37356476267934,78.48326583342522
5.5,322.1258654267101,206.6421380493925,359.4496558351947,296.07255310376576,79.66564934281415
5.75,338.70328504554345,217.9445211775299,378.439676855136,311.69582769273643,83.58663657243615
