LABORATORY,FSRI 
TEST IDENT,Oak_Flooring_50_3
OPERATOR,Dow
MATERIAL,Oak Flooring
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.041159629821777344
SPEC HOLDER DIFF,-566
SPECIMEN MASS,160.57000732421875
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,7467
TIME TO IGN,32
END OF TEST SCAN,6987
END OF TEST TIME,1746.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.21 x 100.46 x 14.17 mm; with tie wires
POST TEST CMT,Test ended according to average mass loss rate less than 150 g/m^2 over one minute. Very small flames remained at end of test.
