LABORATORY,FSRI 
TEST IDENT,Oak_Flooring_75_3
OPERATOR,Dow
MATERIAL,Oak Flooring
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04145139455795288
SPEC HOLDER DIFF,-566
SPECIMEN MASS,159.6300048828125
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5364
TIME TO IGN,15.5
END OF TEST SCAN,4884
END OF TEST TIME,1221
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.27 x 100.11 x 14.15 mm; with tie wires
POST TEST CMT,"Test ended at 20 minutes according to average mass loss rate less than 150 g/m^2 over one minute. Small flames remained at end of test, see test pictures."
