LABORATORY,FSRI 
TEST IDENT,Dekalb_XPS_HF25_R2
OPERATOR,Marino
MATERIAL,Dekalb_XPS
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03883075341582298
SPEC HOLDER DIFF,-566
SPECIMEN MASS,3.24000001907349
SCAN TIME,0.25
O2 DELAY TIME,9
CO DELAY TIME,8
CO2 DELAY TIME,7
FLOW FACTOR,1
SCAN COUNT,1488
TIME TO IGN,181.75
END OF TEST SCAN,1008
END OF TEST TIME,252
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.55 x 100.29 x 20.68 mm;
POST TEST CMT,"When heat was applied the sample shriveled and melted into a pool increasing distance between itself and the cone heater, and reducing its surface area. The sample ignited momentarily 4 times prior to achieving sustained combustion. The sample burned with a sooty flame."
