LABORATORY,FSRI 
TEST IDENT,Dekalb_XPS_HF25_R3
OPERATOR,Marino
MATERIAL,Dekalb_XPS
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03883075341582298
SPEC HOLDER DIFF,-566
SPECIMEN MASS,3.2300000190734863
SCAN TIME,0.25
O2 DELAY TIME,9
CO DELAY TIME,8
CO2 DELAY TIME,7
FLOW FACTOR,1
SCAN COUNT,1287
TIME TO IGN,149.5
END OF TEST SCAN,807
END OF TEST TIME,201.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.38 x 100.16 x 20.77 mm;
POST TEST CMT,"When heat was applied the sample shriveled and melted into a pool increasing distance between itself and the cone heater, and reducing its surface area. The sample ignited momentarily prior to achieving sustained combustion. The sample burned with a sooty flame."
