LABORATORY,FSRI 
TEST IDENT,Dekalb_XPS_HF75_R2
OPERATOR,Marino
MATERIAL,Dekalb_XPS
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.03883075341582298
SPEC HOLDER DIFF,-566
SPECIMEN MASS,3.259999990463257
SCAN TIME,0.25
O2 DELAY TIME,9
CO DELAY TIME,8
CO2 DELAY TIME,7
FLOW FACTOR,1
SCAN COUNT,608
TIME TO IGN,9.5
END OF TEST SCAN,128
END OF TEST TIME,32
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.29 x 99.76 x 20.99 mm;
POST TEST CMT,"When heat was applied the sample shriveled and melted into a pool increasing distance between itself and the cone heater, and reducing its surface area. The sample burned with a sooty flame."
