LABORATORY,FSRI 
TEST IDENT,Dekalb_XPS_HF50_R3
OPERATOR,Marino
MATERIAL,Dekalb_XPS
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03883075341582298
SPEC HOLDER DIFF,-566
SPECIMEN MASS,3.140000104904175
SCAN TIME,0.25
O2 DELAY TIME,9
CO DELAY TIME,8
CO2 DELAY TIME,7
FLOW FACTOR,1
SCAN COUNT,713
TIME TO IGN,26.5
END OF TEST SCAN,233
END OF TEST TIME,58.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.46 x 99.83 x 21.00 mm;
POST TEST CMT,"When heat was applied the sample shriveled and melted into a pool increasing distance between itself and the cone heater, and reducing its surface area. The sample burned with a sooty flame."
