##Temp./°C,Time/min,Mass(subtr.2)/%,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
49.785,10.01,101.83261999999999,0.02043446,1.0358399999999999
49.885,10.81982,101.86936999999999,0.02847334,1.0358399999999999
49.985,11.03236,101.90904,0.03333317,1.0358399999999999
50.085,11.180480000000001,101.90607,0.04047325,1.03583
50.185,11.29342,101.8955,0.04946975,1.03583
50.285,11.38642,101.91039,0.05297366,1.03582
50.385,11.46993,101.95945,0.05863004,1.03582
50.485,11.54381,101.94924,0.06616672,1.0358100000000001
50.585,11.610560000000001,101.97057,0.06994788,1.0358100000000001
50.685,11.67106,102.02320999999999,0.07645878,1.0358
50.785,11.72898,102.04683,0.08031941,1.0358
50.885,11.78241,102.00684,0.0851506,1.03579
50.985,11.832989999999999,102.01437,0.08794986,1.03579
51.085,11.88215,102.08974,0.09288816,1.03578
51.185,11.92654,102.05481999999999,0.09499153,1.03578
51.285,11.9715,102.04098,0.09990017,1.03577
51.385,12.01442,102.07635,0.10236,1.03576
51.485,12.05516,102.09421,0.10525,1.03576
51.585,12.09497,102.01369,0.11049,1.03575
51.685,12.13435,101.99549,0.11667999999999999,1.03575
51.785,12.17272,101.95427,0.12043,1.0357399999999999
51.885,12.20856,102.00121,0.12095999999999998,1.0357399999999999
51.985,12.24383,102.01804,0.12687,1.0357299999999998
52.085,12.27849,102.04626,0.12900999999999999,1.0357299999999998
52.185,12.3125,102.01689,0.13297,1.03572
52.285,12.34564,102.01696,0.13507,1.0357100000000001
52.385,12.377419999999999,102.03979,0.13909000000000002,1.0357100000000001
52.485,12.40869,102.06376,0.13979,1.0357
52.585,12.43943,102.10719,0.14232,1.0357
52.685,12.47,102.10670999999999,0.14531,1.03569
52.785,12.499989999999999,102.08017,0.1498,1.03569
52.885,12.52949,102.05771,0.1507,1.03568
52.985,12.55833,102.0631,0.15523,1.03567
53.085,12.58756,102.11151,0.15664,1.03567
53.185,12.61665,102.10649000000001,0.16054000000000002,1.03566
53.285,12.64516,102.11536,0.16267,1.03565
53.385,12.672839999999999,102.13538,0.16095,1.03565
53.485,12.70013,102.14626,0.16577999999999998,1.03564
