LABORATORY,FSRI 
TEST IDENT,OlefinCarpet_HF25_3
OPERATOR,Dow
MATERIAL,Polyolefin carpet - low pile
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03854366019368172
SPEC HOLDER DIFF,-566
SPECIMEN MASS,13.90999984741211
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1207
TIME TO IGN,37.75
END OF TEST SCAN,727
END OF TEST TIME,181.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 95.39 x 102.95 x 6.05 mm; with frame; with calcium silicate substrate
POST TEST CMT,Test pictures available.
