LABORATORY,FSRI 
TEST IDENT,OlefinCarpet_HF25_1
OPERATOR,Dow
MATERIAL,Polyolefin carpet - low pile
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.00884
C FACTOR,0.03854366019368172
SPEC HOLDER DIFF,-566
SPECIMEN MASS,13.640000343322754
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1226
TIME TO IGN,39.5
END OF TEST SCAN,746
END OF TEST TIME,186.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.32 x 100.31 x 6.04 mm; with frame; with calcium silicate substrate
