LABORATORY,FSRI 
TEST IDENT,OlefinCarpet_HF50_3
OPERATOR,Dow
MATERIAL,Polyolefin carpet - low pile
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.00884
C FACTOR,0.03969724476337433
SPEC HOLDER DIFF,-566
SPECIMEN MASS,13.539999961853027
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,985
TIME TO IGN,10.5
END OF TEST SCAN,505
END OF TEST TIME,126.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.01 x 98.87 x 5.61 mm; with frame; with calcium silicate substrate
