LABORATORY,FSRI 
TEST IDENT,OlefinCarpet_HF75_1
OPERATOR,Dow
MATERIAL,Polyolefin carpet - low pile
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.00884
C FACTOR,0.03969724476337433
SPEC HOLDER DIFF,-566
SPECIMEN MASS,13.680000305175781
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1482
TIME TO IGN,6.25
END OF TEST SCAN,1002
END OF TEST TIME,250.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 98.45 x 101.39 x 5.99 mm; with frame; with calcium silicate substrate
