Time after Ignition,Overstuffed_Chair_Polyester_Batting_R1,Overstuffed_Chair_Polyester_Batting_R2,Overstuffed_Chair_Polyester_Batting_R3,Mean,Std. Dev.
0.0,18.1,20.8,18.3,19.1,1.5
0.25,18.0,23.1,19.7,20.3,2.6
0.5,21.2,25.2,27.3,24.5,3.1
0.75,23.3,32.1,33.6,29.7,5.6
1.0,25.3,39.4,40.6,35.1,8.5
1.25,27.4,44.8,44.1,38.8,9.9
1.5,37.7,49.8,55.8,47.7,9.2
1.75,47.7,54.8,64.5,55.7,8.4
2.0,56.4,63.0,73.2,64.2,8.5
2.25,63.9,72.0,79.8,71.9,8.0
2.5,70.0,80.6,87.0,79.2,8.6
2.75,85.0,87.7,98.6,90.4,7.2
3.0,97.2,97.1,107.3,100.5,5.9
3.25,107.6,104.4,113.9,108.6,4.9
3.5,117.9,112.6,128.6,119.7,8.2
3.75,126.4,114.9,138.0,126.5,11.6
4.0,140.4,119.0,144.8,134.7,13.8
4.25,152.5,129.2,151.4,144.4,13.2
4.5,157.2,135.7,161.9,151.6,14.0
4.75,163.6,143.2,171.5,159.5,14.6
5.0,173.3,150.9,176.0,166.7,13.8
5.25,185.7,152.8,183.6,174.0,18.4
5.5,187.6,158.9,196.1,180.9,19.5
5.75,196.7,167.8,193.1,185.9,15.7
6.0,200.1,176.4,205.0,193.8,15.3
6.25,207.4,183.7,217.6,202.9,17.4
6.5,213.8,187.1,229.0,210.0,21.2
6.75,220.5,198.0,236.3,218.3,19.2
7.0,221.8,206.2,236.4,221.4,15.1
7.25,229.6,214.7,241.9,228.7,13.6
7.5,234.4,214.4,255.5,234.7,20.5
7.75,243.6,237.4,259.7,246.9,11.5
8.0,251.3,243.6,267.3,254.1,12.1
8.25,251.7,258.6,279.9,263.4,14.7
8.5,253.2,255.3,286.8,265.1,18.8
8.75,269.5,267.6,303.6,280.2,20.3
9.0,275.3,286.7,307.1,289.7,16.1
9.25,278.2,291.5,313.3,294.3,17.7
9.5,291.8,303.9,334.0,309.9,21.8
9.75,298.8,319.7,331.7,316.7,16.6
10.0,303.7,327.7,348.9,326.8,22.6
10.25,303.2,331.8,351.4,328.8,24.2
10.5,314.8,338.7,367.7,340.4,26.5
10.75,313.3,351.8,366.5,343.9,27.5
11.0,317.7,359.4,384.0,353.7,33.5
11.25,322.8,365.7,381.2,356.6,30.2
11.5,325.5,367.5,393.1,362.0,34.1
11.75,339.5,376.4,403.7,373.2,32.2
12.0,332.1,363.5,402.1,365.9,35.0
12.25,345.4,384.6,419.6,383.2,37.1
12.5,347.6,384.3,419.2,383.7,35.8
12.75,343.8,383.7,424.0,383.8,40.1
13.0,363.9,385.5,425.1,391.5,31.0
13.25,355.3,393.2,424.7,391.1,34.7
13.5,349.9,401.0,430.6,393.8,40.8
13.75,358.3,380.5,435.5,391.4,39.7
14.0,367.7,394.0,437.5,399.7,35.3
14.25,369.6,401.1,452.4,407.7,41.7
14.5,366.5,392.0,429.5,396.0,31.7
14.75,375.8,402.3,428.9,402.3,26.6
15.0,370.1,402.6,442.9,405.2,36.4
15.25,374.8,397.1,450.2,407.4,38.7
15.5,384.0,387.0,441.2,404.1,32.2
15.75,386.8,400.0,452.3,413.0,34.6
16.0,395.5,405.7,465.7,422.3,37.9
16.25,390.0,396.8,447.3,411.4,31.3
16.5,404.1,402.5,436.7,414.4,19.3
16.75,394.6,393.2,453.4,413.7,34.3
17.0,397.7,389.7,457.1,414.8,36.8
17.25,413.4,404.7,457.0,425.1,28.0
17.5,420.0,386.8,460.9,422.6,37.2
17.75,408.9,386.2,455.9,417.0,35.5
18.0,408.6,391.2,457.1,419.0,34.2
18.25,431.6,397.6,448.2,425.8,25.8
18.5,432.2,402.6,429.2,421.3,16.3
18.75,422.8,395.7,425.3,414.6,16.4
19.0,424.5,387.0,440.8,417.4,27.6
19.25,445.6,384.8,436.5,422.3,32.8
19.5,434.4,397.8,439.1,423.8,22.6
19.75,420.5,394.2,441.0,418.6,23.5
20.0,431.2,386.2,443.6,420.3,30.2
20.25,438.8,398.2,443.6,426.9,25.0
20.5,458.1,381.1,443.1,427.4,40.8
20.75,445.9,373.0,451.3,423.4,43.7
21.0,432.5,389.8,443.8,422.0,28.5
21.25,434.4,393.9,454.4,427.5,30.8
21.5,448.8,374.7,447.4,423.6,42.4
21.75,456.1,376.8,431.6,421.5,40.6
22.0,463.4,387.4,422.9,424.6,38.0
22.25,459.3,389.3,425.8,424.8,35.0
22.5,443.6,386.8,419.2,416.5,28.5
22.75,457.1,401.0,418.6,425.6,28.7
23.0,461.6,390.4,399.1,417.0,38.8
23.25,469.5,392.3,406.9,422.9,41.1
23.5,458.3,379.2,392.8,410.1,42.3
23.75,461.6,379.9,388.9,410.1,44.8
24.0,452.6,378.9,378.2,403.3,42.8
24.25,452.1,371.8,367.8,397.3,47.6
24.5,448.1,371.7,365.0,394.9,46.2
24.75,436.2,364.1,350.6,383.6,46.0
25.0,430.4,353.6,344.8,376.3,47.1
25.25,425.1,344.2,335.8,368.3,49.3
25.5,422.9,332.3,323.0,359.4,55.2
25.75,414.3,324.7,319.9,352.9,53.2
26.0,396.9,318.9,300.9,338.9,51.1
26.25,395.4,313.3,297.5,335.4,52.5
26.5,380.0,307.1,290.6,325.9,47.6
26.75,369.6,301.6,279.5,316.9,46.9
27.0,358.1,291.2,271.6,307.0,45.4
27.25,344.2,283.1,269.3,298.9,39.9
27.5,335.3,278.5,258.3,290.7,39.9
27.75,320.0,271.9,254.4,282.1,34.0
28.0,306.4,265.2,248.1,273.2,29.9
28.25,293.4,260.6,240.0,264.7,26.9
28.5,283.2,255.3,236.9,258.5,23.4
28.75,268.7,246.1,224.7,246.5,22.0
29.0,255.0,236.5,215.3,235.6,19.8
29.25,243.4,227.9,213.4,228.3,15.0
29.5,234.3,224.7,206.6,221.9,14.0
29.75,222.7,212.0,198.9,211.2,11.9
30.0,222.8,205.8,194.4,207.7,14.3
30.25,210.0,198.4,188.2,198.9,10.9
30.5,198.6,196.3,181.0,192.0,9.5
30.75,191.5,185.0,178.6,185.0,6.5
31.0,181.1,180.1,170.3,177.2,6.0
31.25,173.7,173.8,163.8,170.4,5.7
31.5,164.8,168.3,159.3,164.1,4.6
31.75,153.5,158.1,155.4,155.7,2.3
32.0,149.9,154.2,149.0,151.1,2.7
32.25,144.3,149.7,141.8,145.3,4.0
32.5,133.4,143.0,135.7,137.4,5.0
32.75,130.6,137.7,131.0,133.1,4.0
