LABORATORY,FSRI 
TEST IDENT,PC_HF75_2
OPERATOR,Dow
MATERIAL,Polycarbonate
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.03936708718538284
SPEC HOLDER DIFF,301.219970703125
SPECIMEN MASS,64.5
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,3301
TIME TO IGN,59
END OF TEST SCAN,2821
END OF TEST TIME,705.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 98.40 x 98.71 x 5.40 mm
POST TEST CMT,"Sample expanded vertically after ignition, affecting incident heat flux. Likely extended test duration by maintaining combustion at elevated areas. See post test pictures."
