Time after Ignition,PC_R1,PC_R2,PC_R3,Mean,Std. Dev.
0.0,7.300970451713498,2.209286455346524,20.15406439797369,9.888107101677905,9.247903594152646
0.25,9.049097363870446,3.6887052163588154,23.6619896166537,12.133264065627655,10.337653777184485
0.5,15.005861402676619,5.1529937773012096,26.04617020537676,15.40167512845153,10.452210612727187
0.75,20.413020756666945,6.284106634281581,28.456291717853375,18.3844730362673,11.22442436098595
1.0,25.029021544026275,8.000694811642283,34.60461821072525,22.544778188797935,13.474820363999873
1.25,29.32453209655775,9.5906944724804,39.32527610256205,26.08016755720007,15.130458093764988
1.5,33.56040281072857,10.90037330693079,44.21783174088112,29.559535952846826,17.015242015186686
1.75,40.137932742404985,12.27453964995435,48.29166768977587,33.56804669404507,18.88599825467402
2.0,46.850115099102176,13.80254965838931,54.73888687220319,38.46385054323156,21.718494446474867
2.25,53.708173251136365,15.529137652663339,61.35972156460744,43.532344156135714,24.55139973108323
2.5,60.242047696446505,16.905479831694493,65.4244368980289,47.52398814205663,26.642711532855586
2.75,63.945475948820544,18.158191458863996,71.33818937984104,51.14728559584186,28.807521621133745
3.0,68.42871006456322,20.19001768843378,75.65324120682477,54.75732298660726,30.153315062182234
3.25,73.24881976312774,21.98405077951433,80.68293918886026,58.63860324383412,31.96065855358259
3.5,77.63860365875902,23.89716338528969,85.41177317697289,62.31584674034053,33.49779043670594
3.75,81.20878704405285,25.32182052375215,89.40398419323675,65.31153058701392,34.87367197881953
4.0,81.35882958459813,29.63005038695317,92.87137048605662,67.95341681920264,33.68449139481384
4.25,83.88462437651461,33.376644660433286,95.29595094380231,70.85240666025007,32.952680416113424
4.5,87.85679194242594,36.408808877690326,100.55673243452588,74.94077775154739,33.96846465617245
4.75,89.98254407277079,38.98570916555706,101.73867058524178,76.90230794118987,33.358701633584985
5.0,92.38374418939335,42.87566949124314,106.88812011526495,80.71584459863381,33.5634230877639
5.25,95.49445460414212,48.97307424567186,109.90318450430681,84.79023778470693,31.844226750236256
5.5,96.89291656914112,55.211637770278266,111.29683734743239,87.80046389561726,29.127168153074983
5.75,98.51470011305155,59.255884138264484,114.21042234094429,90.66033553075344,28.306688246970765
6.0,102.1160329862859,63.26600602492701,117.17124914188516,94.18442938436601,27.81414317659421
6.25,101.55186654354145,72.08278622508506,120.54049917289477,98.05838398050709,24.4170186826064
6.5,104.02111264507407,81.87428189410846,121.48761259361748,102.4610023776,19.852693779741188
6.75,105.56241504064735,87.75751867537544,123.03767011992018,105.45253461198098,17.640332388278743
7.0,105.50291850058345,91.91440093546215,124.76301262364548,107.39344401989702,16.505707725348994
7.25,107.91399949293553,98.91654093920528,130.9507937519593,112.59377806136672,16.521912235120386
7.5,109.19765955531247,103.9864063365163,133.42623669531324,115.53676752904732,15.710318911966338
7.75,112.31470446965858,104.14611025622143,134.65997018988193,117.04026163858732,15.79626791145216
8.0,114.7877715052293,107.6755621694673,137.23346754058974,119.89893373842877,15.427586558260522
8.25,116.85275272672334,113.20964775975963,143.11802837489697,124.39347628712665,16.317925469121274
